aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,133,0,34,79,285,-152,-53,270,3,2015-01-01,015e1be0,55.9301479272389,-116.83658388307
0,0,234,0,47,79,609,-156,-54,226,7,2015-02-01,015e1be0,55.9301479272389,-116.83658388307
0,0,189,0,12,79,1223,-92,39,336,22,2015-03-01,015e1be0,55.9301479272389,-116.83658388307
821,0,154,841,25,583,2040,-28,110,383,53,2015-04-01,015e1be0,55.9301479272389,-116.83658388307
549,857,-189,1406,15,214,2757,20,189,541,91,2015-05-01,015e1be0,55.9301479272389,-116.83658388307
616,880,-222,1496,58,148,2771,75,231,904,103,2015-06-01,015e1be0,55.9301479272389,-116.83658388307
648,840,-233,1488,65,115,2647,83,248,1132,98,2015-07-01,015e1be0,55.9301479272389,-116.83658388307
506,621,-232,1127,51,94,1993,74,233,1102,85,2015-08-01,015e1be0,55.9301479272389,-116.83658388307
584,67,-159,651,60,83,1343,15,167,788,51,2015-09-01,015e1be0,55.9301479272389,-116.83658388307
258,163,-158,427,26,72,789,-13,128,605,41,2015-10-01,015e1be0,55.9301479272389,-116.83658388307
0,0,-180,0,25,72,377,-109,3,349,10,2015-11-01,015e1be0,55.9301479272389,-116.83658388307
0,0,-200,0,21,72,214,-150,-57,276,2,2015-12-01,015e1be0,55.9301479272389,-116.83658388307
0,0,-230,0,30,70,293,-154,-58,257,7,2016-01-01,015e1be0,55.9301479272389,-116.83658388307
0,0,-190,0,22,70,610,-123,-11,303,17,2016-02-01,015e1be0,55.9301479272389,-116.83658388307
0,0,-170,0,16,70,1194,-80,30,354,23,2016-03-01,015e1be0,55.9301479272389,-116.83658388307
741,0,-190,741,20,583,1966,-21,112,446,61,2016-04-01,015e1be0,55.9301479272389,-116.83658388307
700,496,-240,1196,33,214,2356,27,187,638,81,2016-05-01,015e1be0,55.9301479272389,-116.83658388307
739,581,-210,1320,71,148,2436,73,225,958,88,2016-06-01,015e1be0,55.9301479272389,-116.83658388307
658,626,-180,1284,66,115,2445,90,241,1245,82,2016-07-01,015e1be0,55.9301479272389,-116.83658388307
