aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,78,0,26,372,343,-304,-201,114,0,2015-01-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,-25,0,9,372,817,-350,-250,40,2,2015-02-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,-56,0,22,372,1489,-226,-95,189,1,2015-03-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,8,0,22,372,2028,-109,8,356,10,2015-04-01,0286eae1,55.6631921499138,-91.2810688199265
790,0,35,817,54,372,2609,-20,95,511,35,2015-05-01,0286eae1,55.6631921499138,-91.2810688199265
744,289,-8,1033,48,137,2447,60,171,949,50,2015-06-01,0286eae1,55.6631921499138,-91.2810688199265
987,107,80,1094,99,95,2319,102,207,1345,51,2015-07-01,0286eae1,55.6631921499138,-91.2810688199265
677,0,182,677,102,372,1543,96,179,1329,30,2015-08-01,0286eae1,55.6631921499138,-91.2810688199265
391,0,349,391,97,372,1018,61,135,1049,20,2015-09-01,0286eae1,55.6631921499138,-91.2810688199265
29,0,353,68,37,372,634,-25,43,583,9,2015-10-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,470,0,70,372,271,-100,-46,387,0,2015-11-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,409,0,29,372,208,-177,-119,282,0,2015-12-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,360,0,24,372,309,-264,-179,151,0,2016-01-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,330,0,13,372,826,-293,-176,120,0,2016-02-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,300,0,25,372,1486,-208,-75,220,3,2016-03-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,200,0,3,372,2418,-137,-9,287,11,2016-04-01,0286eae1,55.6631921499138,-91.2810688199265
744,0,190,744,46,372,2347,4,113,636,39,2016-05-01,0286eae1,55.6631921499138,-91.2810688199265
809,212,170,1021,58,137,2528,64,170,959,60,2016-06-01,0286eae1,55.6631921499138,-91.2810688199265
999,0,270,999,115,232,2181,105,203,1353,55,2016-07-01,0286eae1,55.6631921499138,-91.2810688199265
699,117,230,816,63,131,1829,93,187,1284,42,2016-08-01,0286eae1,55.6631921499138,-91.2810688199265
439,0,200,439,49,154,1108,56,132,1004,26,2016-09-01,0286eae1,55.6631921499138,-91.2810688199265
25,0,340,25,102,372,429,-24,24,585,5,2016-10-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,280,0,22,372,320,-81,-20,375,0,2016-11-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,190,0,19,372,241,-254,-173,154,0,2016-12-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,150,0,21,372,308,-257,-167,133,0,2017-01-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,240,0,33,372,740,-263,-163,150,0,2017-02-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,360,0,53,372,1356,-233,-98,180,1,2017-03-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,290,0,14,372,2100,-113,6,325,13,2017-04-01,0286eae1,55.6631921499138,-91.2810688199265
698,0,260,698,38,372,2330,-7,92,555,39,2017-05-01,0286eae1,55.6631921499138,-91.2810688199265
738,281,200,1019,48,137,2463,65,168,909,60,2017-06-01,0286eae1,55.6631921499138,-91.2810688199265
655,525,110,1180,65,95,2542,94,208,1226,74,2017-07-01,0286eae1,55.6631921499138,-91.2810688199265
350,550,-240,900,35,73,2084,86,180,1140,50,2017-08-01,0286eae1,55.6631921499138,-91.2810688199265
508,0,-210,508,65,180,1157,54,136,941,29,2017-09-01,0286eae1,55.6631921499138,-91.2810688199265
78,0,-170,78,60,372,550,-21,39,593,7,2017-10-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,-130,0,37,372,340,-170,-96,222,3,2017-11-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,-110,0,32,372,258,-276,-184,134,0,2017-12-01,0286eae1,55.6631921499138,-91.2810688199265
0,0,-90,0,29,372,350,-303,-212,103,-2,2018-01-01,0286eae1,55.6631921499138,-91.2810688199265
