aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,39,0,32,1089,157,-213,-135,199,0,2015-01-01,066c53d6,60.1210771335747,-123.484814407055
0,0,194,0,42,1089,408,-211,-118,167,2,2015-02-01,066c53d6,60.1210771335747,-123.484814407055
0,0,178,0,17,1089,1113,-147,-15,242,13,2015-03-01,066c53d6,60.1210771335747,-123.484814407055
271,0,110,397,20,1348,1822,-46,80,374,38,2015-04-01,066c53d6,60.1210771335747,-123.484814407055
978,180,-167,1157,20,1039,2707,20,180,577,81,2015-05-01,066c53d6,60.1210771335747,-123.484814407055
906,378,-294,1284,49,599,2692,77,220,1007,85,2015-06-01,066c53d6,60.1210771335747,-123.484814407055
966,131,-277,1097,94,526,2180,103,217,1258,67,2015-07-01,066c53d6,60.1210771335747,-123.484814407055
796,0,-196,796,88,568,1687,89,197,1148,58,2015-08-01,066c53d6,60.1210771335747,-123.484814407055
223,201,-307,424,12,463,1084,20,137,759,38,2015-09-01,066c53d6,60.1210771335747,-123.484814407055
88,0,-369,110,21,564,497,-17,60,546,19,2015-10-01,066c53d6,60.1210771335747,-123.484814407055
0,0,-428,0,25,564,214,-132,-49,235,9,2015-11-01,066c53d6,60.1210771335747,-123.484814407055
0,0,-469,0,24,564,83,-213,-151,164,0,2015-12-01,066c53d6,60.1210771335747,-123.484814407055
0,0,-550,0,15,528,145,-202,-141,164,3,2016-01-01,066c53d6,60.1210771335747,-123.484814407055
0,0,-570,0,31,528,442,-169,-83,191,9,2016-02-01,066c53d6,60.1210771335747,-123.484814407055
0,0,-560,0,20,528,1031,-131,-24,241,17,2016-03-01,066c53d6,60.1210771335747,-123.484814407055
276,0,-560,276,14,1026,1696,-43,72,399,35,2016-04-01,066c53d6,60.1210771335747,-123.484814407055
964,0,-470,964,59,1081,2263,27,170,651,79,2016-05-01,066c53d6,60.1210771335747,-123.484814407055
1114,97,-340,1211,105,962,2633,81,219,1052,95,2016-06-01,066c53d6,60.1210771335747,-123.484814407055
953,159,-310,1112,83,796,2263,107,231,1342,80,2016-07-01,066c53d6,60.1210771335747,-123.484814407055
886,0,-180,886,101,866,1738,95,213,1183,80,2016-08-01,066c53d6,60.1210771335747,-123.484814407055
