aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,385,0,19,272,458,-176,-84,255,0,2015-01-01,0711a0df,50.9768406801493,-100.337430101923
0,0,380,0,23,272,887,-245,-129,111,4,2015-02-01,0711a0df,50.9768406801493,-100.337430101923
0,0,333,0,22,272,1427,-96,5,356,11,2015-03-01,0711a0df,50.9768406801493,-100.337430101923
558,0,229,625,14,748,1986,-36,90,460,35,2015-04-01,0711a0df,50.9768406801493,-100.337430101923
848,273,150,1121,43,420,2523,8,158,651,57,2015-05-01,0711a0df,50.9768406801493,-100.337430101923
610,665,-210,1275,48,270,2619,92,224,1260,69,2015-06-01,0711a0df,50.9768406801493,-100.337430101923
850,451,-177,1301,82,203,2577,124,244,1621,64,2015-07-01,0711a0df,50.9768406801493,-100.337430101923
1026,37,-81,1064,107,194,2058,102,236,1473,62,2015-08-01,0711a0df,50.9768406801493,-100.337430101923
527,214,-95,741,52,158,1543,69,200,1164,51,2015-09-01,0711a0df,50.9768406801493,-100.337430101923
382,59,-86,441,39,148,805,10,122,708,34,2015-10-01,0711a0df,50.9768406801493,-100.337430101923
0,0,31,6,38,178,367,-53,23,477,9,2015-11-01,0711a0df,50.9768406801493,-100.337430101923
0,0,110,0,40,178,334,-122,-37,331,2,2015-12-01,0711a0df,50.9768406801493,-100.337430101923
0,0,110,0,20,162,439,-176,-84,241,1,2016-01-01,0711a0df,50.9768406801493,-100.337430101923
0,0,140,0,20,162,796,-156,-52,258,6,2016-02-01,0711a0df,50.9768406801493,-100.337430101923
0,0,180,0,44,162,1387,-92,22,374,11,2016-03-01,0711a0df,50.9768406801493,-100.337430101923
295,0,210,295,44,949,1910,-47,73,500,25,2016-04-01,0711a0df,50.9768406801493,-100.337430101923
1115,0,210,1115,59,949,2339,37,181,796,72,2016-05-01,0711a0df,50.9768406801493,-100.337430101923
1111,152,210,1263,90,688,2567,94,227,1272,69,2016-06-01,0711a0df,50.9768406801493,-100.337430101923
961,152,250,1113,84,526,2278,118,242,1701,53,2016-07-01,0711a0df,50.9768406801493,-100.337430101923
967,84,300,1051,95,464,2020,99,236,1475,53,2016-08-01,0711a0df,50.9768406801493,-100.337430101923
705,0,320,705,74,466,1437,65,184,1114,47,2016-09-01,0711a0df,50.9768406801493,-100.337430101923
339,0,380,339,56,655,566,1,95,711,17,2016-10-01,0711a0df,50.9768406801493,-100.337430101923
153,0,350,153,30,755,445,-29,63,547,14,2016-11-01,0711a0df,50.9768406801493,-100.337430101923
0,0,330,0,23,755,358,-183,-99,208,2,2016-12-01,0711a0df,50.9768406801493,-100.337430101923
0,0,330,0,23,755,463,-180,-89,239,0,2017-01-01,0711a0df,50.9768406801493,-100.337430101923
0,0,310,0,12,755,904,-154,-58,258,5,2017-02-01,0711a0df,50.9768406801493,-100.337430101923
0,0,310,0,36,755,1458,-129,-23,324,3,2017-03-01,0711a0df,50.9768406801493,-100.337430101923
423,0,280,423,31,949,2048,-39,80,520,28,2017-04-01,0711a0df,50.9768406801493,-100.337430101923
957,160,240,1117,49,674,2305,25,167,684,61,2017-05-01,0711a0df,50.9768406801493,-100.337430101923
930,335,160,1265,62,331,2304,87,223,1104,67,2017-06-01,0711a0df,50.9768406801493,-100.337430101923
601,834,80,1435,53,234,2671,120,263,1545,71,2017-07-01,0711a0df,50.9768406801493,-100.337430101923
537,574,-160,1111,51,183,2167,89,234,1366,74,2017-08-01,0711a0df,50.9768406801493,-100.337430101923
556,205,-160,761,55,151,1423,63,190,1069,57,2017-09-01,0711a0df,50.9768406801493,-100.337430101923
497,12,-110,509,52,149,943,-9,109,604,34,2017-10-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-110,0,23,149,457,-116,-23,332,7,2017-11-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-140,0,19,149,391,-185,-89,228,1,2017-12-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-140,0,24,149,449,-212,-106,201,3,2018-01-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-160,0,10,149,978,-246,-124,98,3,2018-02-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-160,0,39,149,1524,-137,-37,285,6,2018-03-01,0711a0df,50.9768406801493,-100.337430101923
0,0,-140,0,15,149,2253,-88,36,400,22,2018-04-01,0711a0df,50.9768406801493,-100.337430101923
1123,0,-120,1123,53,755,2555,45,198,891,88,2018-05-01,0711a0df,50.9768406801493,-100.337430101923
972,175,-100,1147,80,542,2181,104,236,1369,58,2018-06-01,0711a0df,50.9768406801493,-100.337430101923
1035,238,40,1273,90,358,2507,114,247,1621,54,2018-07-01,0711a0df,50.9768406801493,-100.337430101923
