aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,343,0,28,395,439,-256,-142,170,0,2015-01-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,366,0,37,395,982,-300,-177,61,4,2015-02-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,304,0,27,395,1494,-155,-22,257,10,2015-03-01,07fb08df,52.0115731038438,-92.4393111139833
16,0,232,97,23,395,2016,-67,66,389,28,2015-04-01,07fb08df,52.0115731038438,-92.4393111139833
906,0,352,906,107,395,2318,3,135,675,42,2015-05-01,07fb08df,52.0115731038438,-92.4393111139833
982,131,326,1113,80,170,2493,70,202,1139,55,2015-06-01,07fb08df,52.0115731038438,-92.4393111139833
1234,0,399,1234,131,179,2342,122,240,1528,68,2015-07-01,07fb08df,52.0115731038438,-92.4393111139833
798,0,400,798,85,187,1671,103,206,1465,38,2015-08-01,07fb08df,52.0115731038438,-92.4393111139833
497,0,348,497,63,291,1371,69,170,1248,22,2015-09-01,07fb08df,52.0115731038438,-92.4393111139833
207,0,370,219,76,395,779,-7,73,667,14,2015-10-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,495,0,92,395,293,-67,-7,511,0,2015-11-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,471,0,40,395,281,-144,-75,332,0,2015-12-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,400,0,24,395,391,-226,-131,199,0,2016-01-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,370,0,24,395,877,-222,-101,175,4,2016-02-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,330,0,33,395,1550,-138,4,311,15,2016-03-01,07fb08df,52.0115731038438,-92.4393111139833
17,0,360,17,53,395,2087,-84,46,387,24,2016-04-01,07fb08df,52.0115731038438,-92.4393111139833
931,0,340,931,63,395,2226,23,160,731,57,2016-05-01,07fb08df,52.0115731038438,-92.4393111139833
971,85,300,1056,87,249,2373,76,200,1155,62,2016-06-01,07fb08df,52.0115731038438,-92.4393111139833
1032,141,280,1173,96,133,2324,124,234,1528,77,2016-07-01,07fb08df,52.0115731038438,-92.4393111139833
880,0,290,880,105,249,1760,104,215,1477,52,2016-08-01,07fb08df,52.0115731038438,-92.4393111139833
460,0,320,460,91,395,1093,70,153,1176,19,2016-09-01,07fb08df,52.0115731038438,-92.4393111139833
180,0,290,180,50,395,564,-6,61,705,9,2016-10-01,07fb08df,52.0115731038438,-92.4393111139833
6,0,230,6,26,395,377,-47,27,541,1,2016-11-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,240,0,41,395,295,-216,-131,198,0,2016-12-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,200,0,28,395,390,-220,-122,230,0,2017-01-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,170,0,22,395,874,-197,-87,209,3,2017-02-01,07fb08df,52.0115731038438,-92.4393111139833
0,0,140,0,29,395,1517,-176,-34,239,9,2017-03-01,07fb08df,52.0115731038438,-92.4393111139833
67,0,130,67,37,395,1967,-70,65,427,29,2017-04-01,07fb08df,52.0115731038438,-92.4393111139833
833,0,100,833,41,395,2196,9,130,659,53,2017-05-01,07fb08df,52.0115731038438,-92.4393111139833
909,81,80,990,81,255,2136,74,198,1092,62,2017-06-01,07fb08df,52.0115731038438,-92.4393111139833
860,437,-110,1297,78,134,2609,116,238,1430,96,2017-07-01,07fb08df,52.0115731038438,-92.4393111139833
725,244,-150,969,72,95,2110,90,203,1274,62,2017-08-01,07fb08df,52.0115731038438,-92.4393111139833
495,0,-100,495,100,395,1209,61,156,1131,27,2017-09-01,07fb08df,52.0115731038438,-92.4393111139833
