aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-350,0,14,256,264,-302,-203,98,0,2015-01-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-338,0,8,256,727,-345,-250,28,3,2015-02-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-306,0,18,256,1429,-243,-118,155,1,2015-03-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-193,0,45,256,2121,-143,-28,269,8,2015-04-01,088d31a9,58.2771290278275,-97.8027613535256
93,0,-210,279,17,437,2721,-57,69,349,35,2015-05-01,088d31a9,58.2771290278275,-97.8027613535256
1114,0,-141,1114,70,437,2525,48,164,817,55,2015-06-01,088d31a9,58.2771290278275,-97.8027613535256
876,211,-148,1087,63,161,2192,87,197,1151,57,2015-07-01,088d31a9,58.2771290278275,-97.8027613535256
371,343,-195,715,34,111,1455,82,171,1144,38,2015-08-01,088d31a9,58.2771290278275,-97.8027613535256
351,0,-204,351,39,128,1007,33,108,865,17,2015-09-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-219,6,43,168,459,-47,20,513,6,2015-10-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-198,0,30,168,261,-145,-77,283,0,2015-11-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-212,0,11,168,132,-206,-148,224,0,2015-12-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-200,0,17,140,216,-254,-179,104,0,2016-01-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-180,0,13,140,738,-291,-184,95,2,2016-02-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-170,0,18,140,1400,-217,-105,157,4,2016-03-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-150,0,23,140,2286,-166,-33,247,8,2016-04-01,088d31a9,58.2771290278275,-97.8027613535256
665,0,-190,665,37,437,2338,-21,91,543,31,2016-05-01,088d31a9,58.2771290278275,-97.8027613535256
846,208,-210,1054,54,161,2478,50,168,866,65,2016-06-01,088d31a9,58.2771290278275,-97.8027613535256
802,208,-170,1010,79,111,2081,95,199,1244,59,2016-07-01,088d31a9,58.2771290278275,-97.8027613535256
631,172,-150,803,64,86,1727,76,177,1148,46,2016-08-01,088d31a9,58.2771290278275,-97.8027613535256
415,0,-140,415,51,158,923,30,115,848,24,2016-09-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-140,0,46,158,435,-59,-17,508,6,2016-10-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-110,0,28,158,251,-110,-49,291,0,2016-11-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-90,0,19,158,165,-275,-205,104,0,2016-12-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-90,0,17,158,210,-255,-178,94,0,2017-01-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-80,0,13,158,625,-261,-181,105,0,2017-02-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,190,0,55,158,1437,-255,-138,137,2,2017-03-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,170,0,23,158,2354,-153,-37,267,10,2017-04-01,088d31a9,58.2771290278275,-97.8027613535256
394,0,150,394,38,437,2224,-29,63,510,27,2017-05-01,088d31a9,58.2771290278275,-97.8027613535256
973,0,170,973,55,437,2435,44,155,835,62,2017-06-01,088d31a9,58.2771290278275,-97.8027613535256
984,255,130,1239,75,161,2455,84,217,1153,74,2017-07-01,088d31a9,58.2771290278275,-97.8027613535256
660,314,80,974,64,111,2013,72,197,1097,63,2017-08-01,088d31a9,58.2771290278275,-97.8027613535256
497,0,60,497,53,118,1013,32,121,810,28,2017-09-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-30,0,44,118,420,-50,7,518,3,2017-10-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-80,0,29,118,312,-217,-143,178,3,2017-11-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-70,0,18,118,169,-281,-198,105,0,2017-12-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-60,0,18,118,276,-298,-221,74,1,2018-01-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-60,0,13,118,709,-337,-230,73,1,2018-02-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,0,0,18,118,1412,-247,-126,136,5,2018-03-01,088d31a9,58.2771290278275,-97.8027613535256
0,0,-60,0,22,118,2153,-190,-63,237,10,2018-04-01,088d31a9,58.2771290278275,-97.8027613535256
675,0,-110,675,36,437,2495,-32,90,493,34,2018-05-01,088d31a9,58.2771290278275,-97.8027613535256
901,154,-140,1055,53,173,2393,58,175,907,61,2018-06-01,088d31a9,58.2771290278275,-97.8027613535256
788,344,-140,1132,77,116,2433,88,199,1184,82,2018-07-01,088d31a9,58.2771290278275,-97.8027613535256
646,80,-100,726,65,92,1655,67,168,1136,44,2018-08-01,088d31a9,58.2771290278275,-97.8027613535256
