aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,545,0,35,484,468,-270,-140,165,0,2015-01-01,088de14a,50.3303559603071,-87.472307690919
0,0,545,0,46,484,977,-319,-175,76,2,2015-02-01,088de14a,50.3303559603071,-87.472307690919
0,0,467,0,28,484,1424,-183,-30,262,6,2015-03-01,088de14a,50.3303559603071,-87.472307690919
4,0,417,43,39,484,1932,-75,60,419,23,2015-04-01,088de14a,50.3303559603071,-87.472307690919
888,0,585,888,152,484,2153,10,147,737,43,2015-05-01,088de14a,50.3303559603071,-87.472307690919
984,104,534,1087,85,306,2477,63,203,1119,56,2015-06-01,088de14a,50.3303559603071,-87.472307690919
1223,35,568,1258,125,275,2518,110,242,1514,66,2015-07-01,088de14a,50.3303559603071,-87.472307690919
668,95,508,762,63,202,1625,93,210,1491,34,2015-08-01,088de14a,50.3303559603071,-87.472307690919
548,0,410,548,78,399,1510,72,187,1344,25,2015-09-01,088de14a,50.3303559603071,-87.472307690919
220,0,394,229,73,484,779,-14,86,701,14,2015-10-01,088de14a,50.3303559603071,-87.472307690919
0,0,560,1,136,484,320,-58,19,617,0,2015-11-01,088de14a,50.3303559603071,-87.472307690919
0,0,555,0,62,484,247,-124,-48,461,0,2015-12-01,088de14a,50.3303559603071,-87.472307690919
0,0,500,0,36,484,403,-227,-116,245,0,2016-01-01,088de14a,50.3303559603071,-87.472307690919
0,0,450,0,31,484,885,-232,-101,224,3,2016-02-01,088de14a,50.3303559603071,-87.472307690919
0,0,410,0,35,484,1589,-150,-2,376,9,2016-03-01,088de14a,50.3303559603071,-87.472307690919
0,0,400,0,50,484,2041,-88,41,435,20,2016-04-01,088de14a,50.3303559603071,-87.472307690919
877,0,360,877,69,484,2307,15,157,751,52,2016-05-01,088de14a,50.3303559603071,-87.472307690919
936,71,320,1007,86,361,2323,70,198,1135,62,2016-06-01,088de14a,50.3303559603071,-87.472307690919
1062,71,330,1133,104,282,2380,113,236,1554,79,2016-07-01,088de14a,50.3303559603071,-87.472307690919
844,0,330,844,91,299,1813,102,223,1612,53,2016-08-01,088de14a,50.3303559603071,-87.472307690919
495,0,340,495,109,484,1260,72,171,1290,31,2016-09-01,088de14a,50.3303559603071,-87.472307690919
238,0,330,238,66,484,625,6,92,814,16,2016-10-01,088de14a,50.3303559603071,-87.472307690919
7,0,250,7,42,484,395,-45,38,667,3,2016-11-01,088de14a,50.3303559603071,-87.472307690919
0,0,220,0,46,484,314,-191,-99,297,0,2016-12-01,088de14a,50.3303559603071,-87.472307690919
0,0,200,0,39,484,364,-208,-104,284,0,2017-01-01,088de14a,50.3303559603071,-87.472307690919
0,0,180,0,31,484,795,-201,-79,274,2,2017-02-01,088de14a,50.3303559603071,-87.472307690919
0,0,160,0,34,484,1539,-180,-29,287,7,2017-03-01,088de14a,50.3303559603071,-87.472307690919
132,0,140,132,46,484,1813,-61,72,515,25,2017-04-01,088de14a,50.3303559603071,-87.472307690919
768,0,160,768,74,484,2120,10,130,716,43,2017-05-01,088de14a,50.3303559603071,-87.472307690919
985,53,170,1038,94,392,2466,76,202,1149,68,2017-06-01,088de14a,50.3303559603071,-87.472307690919
1069,149,180,1218,93,206,2641,101,233,1437,96,2017-07-01,088de14a,50.3303559603071,-87.472307690919
827,15,190,842,86,198,1980,75,195,1328,52,2017-08-01,088de14a,50.3303559603071,-87.472307690919
450,0,180,450,95,484,1198,64,171,1286,28,2017-09-01,088de14a,50.3303559603071,-87.472307690919
246,0,200,246,69,484,791,5,96,825,23,2017-10-01,088de14a,50.3303559603071,-87.472307690919
0,0,190,0,64,484,384,-116,-33,419,2,2017-11-01,088de14a,50.3303559603071,-87.472307690919
0,0,170,0,46,484,396,-231,-128,238,0,2017-12-01,088de14a,50.3303559603071,-87.472307690919
0,0,150,0,39,484,434,-252,-127,214,0,2018-01-01,088de14a,50.3303559603071,-87.472307690919
0,0,140,0,30,484,887,-270,-122,169,1,2018-02-01,088de14a,50.3303559603071,-87.472307690919
0,0,120,0,34,484,1566,-188,-28,233,9,2018-03-01,088de14a,50.3303559603071,-87.472307690919
0,0,130,0,45,484,2288,-119,26,307,23,2018-04-01,088de14a,50.3303559603071,-87.472307690919
890,0,120,890,73,484,2317,22,179,838,56,2018-05-01,088de14a,50.3303559603071,-87.472307690919
1018,60,120,1078,96,380,2493,82,212,1222,71,2018-06-01,088de14a,50.3303559603071,-87.472307690919
1058,135,120,1193,95,219,2323,120,249,1559,77,2018-07-01,088de14a,50.3303559603071,-87.472307690919
864,78,110,942,86,175,2105,93,223,1555,58,2018-08-01,088de14a,50.3303559603071,-87.472307690919
473,0,90,473,98,484,1309,52,158,1184,28,2018-09-01,088de14a,50.3303559603071,-87.472307690919
80,0,160,80,68,484,539,-24,45,659,7,2018-10-01,088de14a,50.3303559603071,-87.472307690919
0,0,100,0,44,484,341,-127,-55,385,-2,2018-11-01,088de14a,50.3303559603071,-87.472307690919
0,0,-40,0,36,484,339,-175,-72,327,-2,2018-12-01,088de14a,50.3303559603071,-87.472307690919
0,0,-110,0,27,484,480,-285,-157,123,0,2019-01-01,088de14a,50.3303559603071,-87.472307690919
0,0,130,0,64,484,827,-265,-126,136,2,2019-02-01,088de14a,50.3303559603071,-87.472307690919
0,0,130,0,37,484,1446,-175,-27,244,9,2019-03-01,088de14a,50.3303559603071,-87.472307690919
24,0,190,24,65,484,1934,-79,52,370,24,2019-04-01,088de14a,50.3303559603071,-87.472307690919
800,0,180,800,67,484,2219,-8,127,593,43,2019-05-01,088de14a,50.3303559603071,-87.472307690919
964,160,100,1124,69,208,2683,73,204,1045,67,2019-06-01,088de14a,50.3303559603071,-87.472307690919
777,552,-140,1329,74,135,2559,121,249,1492,80,2019-07-01,088de14a,50.3303559603071,-87.472307690919
537,514,-240,1051,53,102,2095,93,221,1368,56,2019-08-01,088de14a,50.3303559603071,-87.472307690919
475,0,-140,475,140,484,1133,57,163,1174,22,2019-09-01,088de14a,50.3303559603071,-87.472307690919
277,0,-110,277,65,484,741,-7,81,694,14,2019-10-01,088de14a,50.3303559603071,-87.472307690919
0,0,-110,0,54,484,399,-118,-39,367,0,2019-11-01,088de14a,50.3303559603071,-87.472307690919
0,0,-80,0,53,484,329,-191,-86,251,0,2019-12-01,088de14a,50.3303559603071,-87.472307690919
