aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,844,0,47,559,490,-267,-134,167,0,2015-01-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,784,0,55,559,1044,-308,-161,92,2,2015-02-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,713,0,50,559,1480,-182,-20,265,7,2015-03-01,08c6308a,50.2144388929852,-85.3658616606948
7,0,710,57,66,559,1862,-72,64,447,21,2015-04-01,08c6308a,50.2144388929852,-85.3658616606948
867,0,710,867,103,559,2203,11,152,801,40,2015-05-01,08c6308a,50.2144388929852,-85.3658616606948
942,125,619,1067,77,345,2491,58,204,1140,53,2015-06-01,08c6308a,50.2144388929852,-85.3658616606948
803,459,517,1262,68,186,2496,111,249,1532,71,2015-07-01,08c6308a,50.2144388929852,-85.3658616606948
821,0,502,821,102,336,1651,102,223,1538,44,2015-08-01,08c6308a,50.2144388929852,-85.3658616606948
545,22,373,567,56,318,1537,74,195,1379,28,2015-09-01,08c6308a,50.2144388929852,-85.3658616606948
221,0,288,227,65,559,783,-13,92,715,15,2015-10-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,243,3,63,559,360,-49,35,617,0,2015-11-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,327,0,78,559,261,-105,-30,462,0,2015-12-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,310,0,54,559,419,-215,-105,250,1,2016-01-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,290,0,51,559,881,-217,-84,229,5,2016-02-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,260,0,47,559,1589,-139,8,370,13,2016-03-01,08c6308a,50.2144388929852,-85.3658616606948
16,0,260,16,48,559,2071,-84,47,441,22,2016-04-01,08c6308a,50.2144388929852,-85.3658616606948
829,0,230,829,77,559,2290,10,158,797,48,2016-05-01,08c6308a,50.2144388929852,-85.3658616606948
962,43,220,1005,94,485,2357,62,203,1154,63,2016-06-01,08c6308a,50.2144388929852,-85.3658616606948
1015,131,240,1146,88,303,2386,112,244,1558,86,2016-07-01,08c6308a,50.2144388929852,-85.3658616606948
875,19,240,894,91,290,1776,109,239,1643,64,2016-08-01,08c6308a,50.2144388929852,-85.3658616606948
548,0,230,548,84,539,1291,76,184,1308,33,2016-09-01,08c6308a,50.2144388929852,-85.3658616606948
276,0,230,276,66,559,662,9,103,815,17,2016-10-01,08c6308a,50.2144388929852,-85.3658616606948
22,0,220,22,73,559,403,-37,50,668,9,2016-11-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,200,0,47,559,321,-177,-83,295,1,2016-12-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,180,0,48,559,372,-191,-93,267,0,2017-01-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,150,0,46,559,787,-186,-61,272,5,2017-02-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,140,0,47,559,1588,-169,-18,294,11,2017-03-01,08c6308a,50.2144388929852,-85.3658616606948
261,0,100,261,48,559,1874,-53,80,523,30,2017-04-01,08c6308a,50.2144388929852,-85.3658616606948
709,0,110,709,78,559,2096,7,127,767,40,2017-05-01,08c6308a,50.2144388929852,-85.3658616606948
976,46,120,1022,94,480,2439,72,207,1169,64,2017-06-01,08c6308a,50.2144388929852,-85.3658616606948
1064,167,140,1231,88,253,2662,98,240,1421,101,2017-07-01,08c6308a,50.2144388929852,-85.3658616606948
846,0,160,846,91,275,1902,80,206,1368,56,2017-08-01,08c6308a,50.2144388929852,-85.3658616606948
478,0,170,478,82,559,1210,66,182,1321,30,2017-09-01,08c6308a,50.2144388929852,-85.3658616606948
274,0,180,274,68,559,818,10,109,856,27,2017-10-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,180,0,74,559,405,-103,-19,438,6,2017-11-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,160,0,47,559,409,-220,-112,243,0,2017-12-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,150,0,47,559,499,-240,-117,220,3,2018-01-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,130,0,45,559,909,-251,-101,187,5,2018-02-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,110,0,46,559,1597,-180,-19,251,12,2018-03-01,08c6308a,50.2144388929852,-85.3658616606948
0,0,130,0,48,559,2304,-115,30,336,24,2018-04-01,08c6308a,50.2144388929852,-85.3658616606948
891,0,100,891,78,559,2309,18,182,846,55,2018-05-01,08c6308a,50.2144388929852,-85.3658616606948
1021,78,80,1099,93,425,2604,71,216,1188,72,2018-06-01,08c6308a,50.2144388929852,-85.3658616606948
1023,176,80,1199,87,225,2351,120,258,1581,82,2018-07-01,08c6308a,50.2144388929852,-85.3658616606948
894,85,60,979,90,183,2017,99,239,1568,65,2018-08-01,08c6308a,50.2144388929852,-85.3658616606948
