aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,158,0,31,477,196,-209,-119,152,3,2015-01-01,08f384b2,59.3974575423553,-119.188138823567
0,0,301,0,43,477,494,-217,-113,133,5,2015-02-01,08f384b2,59.3974575423553,-119.188138823567
0,0,302,0,19,477,1184,-157,-16,209,15,2015-03-01,08f384b2,59.3974575423553,-119.188138823567
280,0,234,444,17,1218,2006,-49,79,317,43,2015-04-01,08f384b2,59.3974575423553,-119.188138823567
1093,208,87,1301,16,860,2840,12,170,463,84,2015-05-01,08f384b2,59.3974575423553,-119.188138823567
859,524,-318,1384,45,424,2673,69,217,880,92,2015-06-01,08f384b2,59.3974575423553,-119.188138823567
848,364,-300,1212,76,299,2257,91,220,1131,78,2015-07-01,08f384b2,59.3974575423553,-119.188138823567
737,165,-213,902,73,253,1729,72,200,1065,62,2015-08-01,08f384b2,59.3974575423553,-119.188138823567
129,409,-313,537,9,206,1185,12,138,710,42,2015-09-01,08f384b2,59.3974575423553,-119.188138823567
91,0,-349,141,16,248,535,-26,57,508,21,2015-10-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-357,0,25,248,251,-144,-51,262,5,2015-11-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-346,0,27,248,110,-199,-128,172,1,2015-12-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-380,0,15,200,188,-198,-124,145,6,2016-01-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-350,0,31,200,514,-175,-79,182,10,2016-02-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-330,0,23,200,1093,-132,-33,216,17,2016-03-01,08f384b2,59.3974575423553,-119.188138823567
169,0,-320,169,13,443,1836,-49,60,325,33,2016-04-01,08f384b2,59.3974575423553,-119.188138823567
1124,0,-260,1124,46,610,2333,25,167,538,74,2016-05-01,08f384b2,59.3974575423553,-119.188138823567
1048,268,-170,1316,92,435,2574,76,215,891,83,2016-06-01,08f384b2,59.3974575423553,-119.188138823567
773,466,-170,1239,68,304,2330,99,230,1153,76,2016-07-01,08f384b2,59.3974575423553,-119.188138823567
808,186,-80,994,80,252,1809,80,209,1032,75,2016-08-01,08f384b2,59.3974575423553,-119.188138823567
589,48,190,637,61,241,1110,20,144,681,40,2016-09-01,08f384b2,59.3974575423553,-119.188138823567
12,0,190,12,22,251,538,-42,18,411,15,2016-10-01,08f384b2,59.3974575423553,-119.188138823567
0,0,140,0,18,251,276,-117,-34,303,7,2016-11-01,08f384b2,59.3974575423553,-119.188138823567
0,0,130,0,24,251,120,-235,-155,90,4,2016-12-01,08f384b2,59.3974575423553,-119.188138823567
0,0,130,0,26,251,195,-211,-108,115,4,2017-01-01,08f384b2,59.3974575423553,-119.188138823567
0,0,140,0,23,251,484,-196,-95,136,9,2017-02-01,08f384b2,59.3974575423553,-119.188138823567
0,0,220,0,33,251,1192,-194,-80,166,8,2017-03-01,08f384b2,59.3974575423553,-119.188138823567
70,0,190,70,12,383,2036,-60,54,282,36,2017-04-01,08f384b2,59.3974575423553,-119.188138823567
1161,0,190,1161,41,880,2398,24,165,505,79,2017-05-01,08f384b2,59.3974575423553,-119.188138823567
1172,37,330,1209,119,842,2447,67,193,803,70,2017-06-01,08f384b2,59.3974575423553,-119.188138823567
1114,126,430,1240,104,716,2394,91,221,1067,73,2017-07-01,08f384b2,59.3974575423553,-119.188138823567
485,735,250,1220,18,398,2164,75,230,958,91,2017-08-01,08f384b2,59.3974575423553,-119.188138823567
257,435,120,692,15,287,1316,26,168,730,60,2017-09-01,08f384b2,59.3974575423553,-119.188138823567
104,0,150,104,37,378,528,-33,46,427,23,2017-10-01,08f384b2,59.3974575423553,-119.188138823567
0,0,290,0,61,378,222,-193,-110,155,6,2017-11-01,08f384b2,59.3974575423553,-119.188138823567
0,0,300,0,18,378,142,-211,-109,143,4,2017-12-01,08f384b2,59.3974575423553,-119.188138823567
0,0,380,0,34,378,163,-222,-149,109,4,2018-01-01,08f384b2,59.3974575423553,-119.188138823567
0,0,410,0,23,378,601,-252,-120,89,9,2018-02-01,08f384b2,59.3974575423553,-119.188138823567
0,0,460,0,35,378,1311,-188,-55,133,14,2018-03-01,08f384b2,59.3974575423553,-119.188138823567
0,0,430,0,13,378,1967,-89,34,261,30,2018-04-01,08f384b2,59.3974575423553,-119.188138823567
1231,0,320,1231,21,1218,2608,22,171,504,102,2018-05-01,08f384b2,59.3974575423553,-119.188138823567
982,80,350,1062,89,1080,1954,74,200,958,64,2018-06-01,08f384b2,59.3974575423553,-119.188138823567
905,451,130,1356,28,445,2399,92,229,1043,93,2018-07-01,08f384b2,59.3974575423553,-119.188138823567
670,331,110,1001,56,309,1773,66,200,950,81,2018-08-01,08f384b2,59.3974575423553,-119.188138823567
233,284,-220,517,17,240,1426,-31,103,527,42,2018-09-01,08f384b2,59.3974575423553,-119.188138823567
23,0,-250,23,7,240,646,-54,39,369,27,2018-10-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-170,0,46,240,222,-142,-79,209,4,2018-11-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-180,0,17,240,125,-196,-113,138,5,2018-12-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-130,0,33,240,185,-220,-127,121,5,2019-01-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-140,0,11,240,592,-269,-156,63,6,2019-02-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-190,0,1,240,1291,-111,21,239,25,2019-03-01,08f384b2,59.3974575423553,-119.188138823567
460,0,-240,460,13,657,1861,-43,79,311,45,2019-04-01,08f384b2,59.3974575423553,-119.188138823567
678,491,-380,1169,9,383,2632,20,153,444,78,2019-05-01,08f384b2,59.3974575423553,-119.188138823567
668,346,-390,1014,59,280,2152,48,182,909,57,2019-06-01,08f384b2,59.3974575423553,-119.188138823567
478,719,-470,1197,44,222,2292,87,219,1087,80,2019-07-01,08f384b2,59.3974575423553,-119.188138823567
684,127,-360,811,69,197,1645,52,183,1013,49,2019-08-01,08f384b2,59.3974575423553,-119.188138823567
269,274,-370,543,25,167,1123,30,150,805,43,2019-09-01,08f384b2,59.3974575423553,-119.188138823567
71,0,-350,71,21,183,561,-40,47,433,22,2019-10-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-370,0,19,183,233,-148,-64,211,8,2019-11-01,08f384b2,59.3974575423553,-119.188138823567
0,0,-360,0,23,183,117,-233,-143,106,4,2019-12-01,08f384b2,59.3974575423553,-119.188138823567
