aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,215,0,18,245,58,-252,-171,145,0,2015-01-01,09a041d1,65.5436753338719,-126.171847191162
0,0,194,0,12,245,268,-270,-178,94,2,2015-02-01,09a041d1,65.5436753338719,-126.171847191162
0,0,172,0,8,245,920,-229,-100,152,4,2015-03-01,09a041d1,65.5436753338719,-126.171847191162
0,0,205,0,22,245,1740,-117,2,246,19,2015-04-01,09a041d1,65.5436753338719,-126.171847191162
1095,0,-156,1095,9,413,2517,-1,141,471,64,2015-05-01,09a041d1,65.5436753338719,-126.171847191162
603,736,-190,1340,38,169,2412,74,216,872,95,2015-06-01,09a041d1,65.5436753338719,-126.171847191162
598,482,-135,1080,57,117,1858,92,208,1093,73,2015-07-01,09a041d1,65.5436753338719,-126.171847191162
526,222,-110,748,53,91,1385,63,181,1006,52,2015-08-01,09a041d1,65.5436753338719,-126.171847191162
354,0,185,359,74,442,677,2,93,625,28,2015-09-01,09a041d1,65.5436753338719,-126.171847191162
0,0,236,0,36,442,273,-63,-3,433,6,2015-10-01,09a041d1,65.5436753338719,-126.171847191162
0,0,287,0,22,442,85,-200,-122,171,1,2015-11-01,09a041d1,65.5436753338719,-126.171847191162
0,0,246,0,9,442,24,-235,-159,124,1,2015-12-01,09a041d1,65.5436753338719,-126.171847191162
0,0,250,0,20,396,49,-241,-168,57,5,2016-01-01,09a041d1,65.5436753338719,-126.171847191162
0,0,260,0,19,396,306,-235,-158,61,6,2016-02-01,09a041d1,65.5436753338719,-126.171847191162
0,0,230,0,8,396,889,-214,-97,109,9,2016-03-01,09a041d1,65.5436753338719,-126.171847191162
0,0,280,0,26,396,1715,-116,5,260,15,2016-04-01,09a041d1,65.5436753338719,-126.171847191162
795,0,360,795,40,461,2014,-1,125,510,55,2016-05-01,09a041d1,65.5436753338719,-126.171847191162
812,440,380,1252,53,170,2489,80,207,869,88,2016-06-01,09a041d1,65.5436753338719,-126.171847191162
468,724,310,1192,44,117,2172,97,220,1136,79,2016-07-01,09a041d1,65.5436753338719,-126.171847191162
398,453,220,851,39,91,1556,71,190,1012,59,2016-08-01,09a041d1,65.5436753338719,-126.171847191162
392,0,240,392,49,164,814,5,104,681,31,2016-09-01,09a041d1,65.5436753338719,-126.171847191162
0,0,140,0,12,164,415,-89,-22,359,11,2016-10-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-160,0,12,164,91,-199,-124,136,4,2016-11-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-210,0,15,164,25,-273,-198,65,4,2016-12-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-80,0,44,164,57,-280,-190,43,6,2017-01-01,09a041d1,65.5436753338719,-126.171847191162
0,0,210,0,32,164,255,-267,-189,41,6,2017-02-01,09a041d1,65.5436753338719,-126.171847191162
0,0,180,0,8,164,993,-267,-151,70,6,2017-03-01,09a041d1,65.5436753338719,-126.171847191162
0,0,120,0,5,164,1814,-131,-5,247,16,2017-04-01,09a041d1,65.5436753338719,-126.171847191162
859,0,-100,859,12,461,2389,-8,119,496,63,2017-05-01,09a041d1,65.5436753338719,-126.171847191162
491,755,-220,1246,19,170,2642,76,200,867,82,2017-06-01,09a041d1,65.5436753338719,-126.171847191162
219,1033,-340,1252,18,117,2328,93,222,1093,89,2017-07-01,09a041d1,65.5436753338719,-126.171847191162
674,239,-270,913,68,91,1652,72,199,989,68,2017-08-01,09a041d1,65.5436753338719,-126.171847191162
261,177,-320,438,26,75,848,14,116,688,31,2017-09-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-350,0,22,75,332,-73,-7,378,10,2017-10-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-390,0,14,75,84,-242,-168,102,3,2017-11-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-370,0,24,75,25,-237,-159,79,4,2017-12-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-300,0,21,75,55,-271,-194,43,3,2018-01-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-190,0,27,75,242,-298,-203,28,7,2018-02-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-180,0,6,75,949,-242,-123,86,9,2018-03-01,09a041d1,65.5436753338719,-126.171847191162
0,0,-200,0,5,75,1875,-146,-18,241,16,2018-04-01,09a041d1,65.5436753338719,-126.171847191162
714,0,-140,714,20,461,2125,-21,105,490,48,2018-05-01,09a041d1,65.5436753338719,-126.171847191162
662,425,-130,1087,36,170,2131,72,199,893,80,2018-06-01,09a041d1,65.5436753338719,-126.171847191162
480,710,-150,1190,45,117,2108,93,224,1085,80,2018-07-01,09a041d1,65.5436753338719,-126.171847191162
615,81,-70,696,62,94,1080,60,173,1012,37,2018-08-01,09a041d1,65.5436753338719,-126.171847191162
