aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-163,0,23,397,206,-284,-185,150,0,2015-01-01,0c01c628,59.053190402871,-107.491264800285
0,0,-140,0,14,397,631,-338,-214,82,0,2015-02-01,0c01c628,59.053190402871,-107.491264800285
0,0,-131,0,18,397,1400,-221,-65,213,3,2015-03-01,0c01c628,59.053190402871,-107.491264800285
0,0,-123,0,19,397,2223,-111,35,294,23,2015-04-01,0c01c628,59.053190402871,-107.491264800285
1119,0,-159,1132,20,701,2947,-12,142,411,68,2015-05-01,0c01c628,59.053190402871,-107.491264800285
771,602,-237,1373,40,328,2728,76,214,891,91,2015-06-01,0c01c628,59.053190402871,-107.491264800285
759,352,-186,1111,70,230,2113,100,217,1224,69,2015-07-01,0c01c628,59.053190402871,-107.491264800285
587,303,-183,890,56,179,1785,91,201,1154,60,2015-08-01,0c01c628,59.053190402871,-107.491264800285
444,0,-176,444,49,200,1146,27,129,810,31,2015-09-01,0c01c628,59.053190402871,-107.491264800285
28,0,-165,67,38,413,525,-26,44,540,13,2015-10-01,0c01c628,59.053190402871,-107.491264800285
0,0,-175,0,27,413,244,-126,-50,337,0,2015-11-01,0c01c628,59.053190402871,-107.491264800285
0,0,-182,0,20,413,111,-197,-126,261,0,2015-12-01,0c01c628,59.053190402871,-107.491264800285
0,0,-210,0,21,334,187,-254,-160,177,0,2016-01-01,0c01c628,59.053190402871,-107.491264800285
0,0,-170,0,16,334,588,-275,-152,175,0,2016-02-01,0c01c628,59.053190402871,-107.491264800285
0,0,-160,0,19,334,1291,-191,-61,255,4,2016-03-01,0c01c628,59.053190402871,-107.491264800285
0,0,-130,0,22,334,1993,-115,19,350,16,2016-04-01,0c01c628,59.053190402871,-107.491264800285
917,0,-130,917,23,923,2461,23,153,710,57,2016-05-01,0c01c628,59.053190402871,-107.491264800285
939,229,-90,1168,58,530,2508,88,212,1104,81,2016-06-01,0c01c628,59.053190402871,-107.491264800285
837,282,-70,1119,65,311,2316,116,226,1474,78,2016-07-01,0c01c628,59.053190402871,-107.491264800285
809,0,170,809,90,357,1693,95,202,1345,49,2016-08-01,0c01c628,59.053190402871,-107.491264800285
412,0,190,412,49,407,1034,42,131,961,26,2016-09-01,0c01c628,59.053190402871,-107.491264800285
3,0,220,3,38,431,550,-39,4,585,12,2016-10-01,0c01c628,59.053190402871,-107.491264800285
0,0,240,0,29,431,219,-96,-28,424,0,2016-11-01,0c01c628,59.053190402871,-107.491264800285
0,0,250,0,19,431,134,-255,-174,162,0,2016-12-01,0c01c628,59.053190402871,-107.491264800285
0,0,260,0,20,431,205,-257,-158,154,0,2017-01-01,0c01c628,59.053190402871,-107.491264800285
0,0,250,0,15,431,503,-262,-156,175,0,2017-02-01,0c01c628,59.053190402871,-107.491264800285
0,0,230,0,20,431,1361,-233,-104,237,1,2017-03-01,0c01c628,59.053190402871,-107.491264800285
0,0,190,0,17,431,2269,-112,11,355,22,2017-04-01,0c01c628,59.053190402871,-107.491264800285
867,0,170,867,25,923,2388,13,140,640,61,2017-05-01,0c01c628,59.053190402871,-107.491264800285
875,237,180,1112,49,515,2540,78,196,1039,82,2017-06-01,0c01c628,59.053190402871,-107.491264800285
867,344,160,1211,68,295,2450,111,234,1394,78,2017-07-01,0c01c628,59.053190402871,-107.491264800285
704,300,140,1004,66,214,2010,99,221,1288,76,2017-08-01,0c01c628,59.053190402871,-107.491264800285
425,58,90,483,43,199,1089,50,148,991,33,2017-09-01,0c01c628,59.053190402871,-107.491264800285
25,0,90,25,38,306,493,-29,32,603,12,2017-10-01,0c01c628,59.053190402871,-107.491264800285
0,0,60,0,29,306,244,-195,-122,246,3,2017-11-01,0c01c628,59.053190402871,-107.491264800285
0,0,-20,0,19,306,127,-243,-145,199,0,2017-12-01,0c01c628,59.053190402871,-107.491264800285
0,0,-70,0,20,306,225,-287,-198,147,-3,2018-01-01,0c01c628,59.053190402871,-107.491264800285
0,0,0,0,13,306,597,-325,-200,123,-2,2018-02-01,0c01c628,59.053190402871,-107.491264800285
0,0,-60,0,17,306,1344,-231,-91,201,3,2018-03-01,0c01c628,59.053190402871,-107.491264800285
0,0,20,0,24,306,1992,-147,-10,317,15,2018-04-01,0c01c628,59.053190402871,-107.491264800285
889,0,20,889,30,923,2377,14,151,657,66,2018-05-01,0c01c628,59.053190402871,-107.491264800285
921,186,120,1107,63,603,2293,91,209,1124,85,2018-06-01,0c01c628,59.053190402871,-107.491264800285
940,168,190,1108,83,448,2244,108,221,1394,80,2018-07-01,0c01c628,59.053190402871,-107.491264800285
625,173,190,798,54,340,1853,81,190,1284,66,2018-08-01,0c01c628,59.053190402871,-107.491264800285
255,0,230,255,45,513,1197,-10,75,778,22,2018-09-01,0c01c628,59.053190402871,-107.491264800285
0,0,240,0,33,513,652,-60,11,502,14,2018-10-01,0c01c628,59.053190402871,-107.491264800285
0,0,250,0,27,513,246,-174,-108,284,0,2018-11-01,0c01c628,59.053190402871,-107.491264800285
0,0,270,0,23,513,123,-220,-133,199,-2,2018-12-01,0c01c628,59.053190402871,-107.491264800285
0,0,330,0,32,513,218,-312,-211,99,0,2019-01-01,0c01c628,59.053190402871,-107.491264800285
0,0,260,0,5,513,660,-357,-236,67,0,2019-02-01,0c01c628,59.053190402871,-107.491264800285
0,0,170,0,7,513,1287,-182,-41,244,6,2019-03-01,0c01c628,59.053190402871,-107.491264800285
0,0,180,0,26,513,2003,-96,31,317,21,2019-04-01,0c01c628,59.053190402871,-107.491264800285
977,0,120,977,19,923,2631,-9,114,388,58,2019-05-01,0c01c628,59.053190402871,-107.491264800285
892,10,280,902,90,906,2049,71,188,1032,56,2019-06-01,0c01c628,59.053190402871,-107.491264800285
946,322,190,1268,43,369,2572,101,214,1141,76,2019-07-01,0c01c628,59.053190402871,-107.491264800285
687,0,340,687,89,522,1409,76,182,1215,36,2019-08-01,0c01c628,59.053190402871,-107.491264800285
429,0,350,429,47,536,1115,42,127,891,26,2019-09-01,0c01c628,59.053190402871,-107.491264800285
