aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,209,0,31,341,179,-214,-124,161,1,2015-01-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,321,0,43,341,445,-221,-116,132,5,2015-02-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,285,0,21,341,1138,-165,-23,212,13,2015-03-01,0f2c0575,59.8164600773562,-119.569853498785
141,0,228,305,18,750,1966,-53,74,316,41,2015-04-01,0f2c0575,59.8164600773562,-119.569853498785
1199,87,-187,1286,16,601,2848,13,170,461,85,2015-05-01,0f2c0575,59.8164600773562,-119.569853498785
744,637,-291,1381,43,270,2699,71,217,885,93,2015-06-01,0f2c0575,59.8164600773562,-119.569853498785
785,404,-257,1189,74,188,2225,93,220,1138,78,2015-07-01,0f2c0575,59.8164600773562,-119.569853498785
718,172,-166,890,71,146,1691,73,201,1061,63,2015-08-01,0f2c0575,59.8164600773562,-119.569853498785
105,415,-268,520,8,120,1125,14,136,709,41,2015-09-01,0f2c0575,59.8164600773562,-119.569853498785
54,0,-301,102,17,189,496,-28,52,509,19,2015-10-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,-315,0,25,189,230,-148,-57,254,4,2015-11-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,-312,0,27,189,101,-205,-135,179,0,2015-12-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,-360,0,15,123,177,-199,-126,157,5,2016-01-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,-300,0,31,123,472,-176,-81,191,10,2016-02-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,-250,0,26,123,1058,-139,-36,233,16,2016-03-01,0f2c0575,59.8164600773562,-119.569853498785
87,0,-240,87,13,290,1804,-55,55,350,31,2016-04-01,0f2c0575,59.8164600773562,-119.569853498785
1074,0,-180,1074,46,735,2341,26,167,588,76,2016-05-01,0f2c0575,59.8164600773562,-119.569853498785
1116,165,-90,1281,89,461,2618,78,216,972,89,2016-06-01,0f2c0575,59.8164600773562,-119.569853498785
843,350,-100,1193,66,249,2309,100,231,1241,78,2016-07-01,0f2c0575,59.8164600773562,-119.569853498785
799,151,160,950,78,190,1800,80,210,1103,80,2016-08-01,0f2c0575,59.8164600773562,-119.569853498785
569,21,230,590,59,184,1075,21,143,732,40,2016-09-01,0f2c0575,59.8164600773562,-119.569853498785
9,0,230,9,23,194,519,-44,15,430,16,2016-10-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,180,0,18,194,262,-123,-41,316,6,2016-11-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,160,0,24,194,107,-242,-163,100,3,2016-12-01,0f2c0575,59.8164600773562,-119.569853498785
0,0,160,0,26,194,182,-217,-114,128,4,2017-01-01,0f2c0575,59.8164600773562,-119.569853498785
