aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-269,0,17,77,87,-252,-174,129,0,2015-01-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-238,0,13,77,308,-269,-176,95,2,2015-02-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-231,0,12,77,974,-217,-98,141,6,2015-03-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-139,0,24,77,1718,-110,1,258,18,2015-04-01,0f5c974e,64.1696930895875,-120.712246788893
1033,0,-256,1033,20,432,2568,1,132,494,57,2015-05-01,0f5c974e,64.1696930895875,-120.712246788893
613,711,-275,1324,36,159,2546,84,211,892,91,2015-06-01,0f5c974e,64.1696930895875,-120.712246788893
1083,15,327,1099,113,152,1884,106,210,1090,80,2015-07-01,0f5c974e,64.1696930895875,-120.712246788893
754,81,414,834,76,118,1561,86,188,1069,58,2015-08-01,0f5c974e,64.1696930895875,-120.712246788893
375,0,406,379,42,140,829,19,103,696,29,2015-09-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,396,0,40,140,312,-54,-7,418,8,2015-10-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,423,0,30,140,106,-175,-107,208,1,2015-11-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,372,0,12,140,50,-222,-156,152,0,2015-12-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,300,0,12,109,77,-232,-163,104,2,2016-01-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,260,0,11,109,350,-238,-159,111,5,2016-02-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,190,0,9,109,939,-200,-83,145,9,2016-03-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,250,0,24,109,1759,-113,-7,285,14,2016-04-01,0f5c974e,64.1696930895875,-120.712246788893
787,0,380,787,57,432,2070,13,120,574,49,2016-05-01,0f5c974e,64.1696930895875,-120.712246788893
644,614,440,1258,39,159,2562,89,206,931,81,2016-06-01,0f5c974e,64.1696930895875,-120.712246788893
698,511,480,1209,68,110,2194,111,226,1172,81,2016-07-01,0f5c974e,64.1696930895875,-120.712246788893
637,258,480,895,64,85,1613,87,196,1059,57,2016-08-01,0f5c974e,64.1696930895875,-120.712246788893
447,0,550,447,59,198,928,21,114,727,30,2016-09-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,410,0,12,198,394,-69,-27,423,10,2016-10-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,320,0,23,198,113,-159,-92,223,2,2016-11-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,250,0,13,198,54,-256,-191,92,3,2016-12-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,260,0,21,198,85,-262,-168,84,2,2017-01-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,270,0,16,198,293,-253,-177,101,4,2017-02-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,290,0,21,198,994,-247,-145,135,5,2017-03-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,200,0,6,198,1935,-121,-17,264,16,2017-04-01,0f5c974e,64.1696930895875,-120.712246788893
853,0,120,853,23,432,2371,2,119,526,62,2017-05-01,0f5c974e,64.1696930895875,-120.712246788893
577,542,60,1119,31,159,2377,83,192,899,68,2017-06-01,0f5c974e,64.1696930895875,-120.712246788893
717,516,140,1233,70,110,2216,104,226,1122,82,2017-07-01,0f5c974e,64.1696930895875,-120.712246788893
606,392,130,998,61,85,1645,91,216,1060,65,2017-08-01,0f5c974e,64.1696930895875,-120.712246788893
434,59,130,493,44,72,964,31,134,778,37,2017-09-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-70,0,24,72,377,-58,-3,434,10,2017-10-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-160,0,20,72,104,-226,-161,151,2,2017-11-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-160,0,23,72,52,-229,-147,113,1,2017-12-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-150,0,14,72,83,-257,-193,94,2,2018-01-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-60,0,22,72,274,-295,-191,81,5,2018-02-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-90,0,9,72,1006,-235,-120,115,7,2018-03-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-120,0,8,72,1873,-138,-30,265,12,2018-04-01,0f5c974e,64.1696930895875,-120.712246788893
752,0,-90,752,29,432,2230,-10,103,495,45,2018-05-01,0f5c974e,64.1696930895875,-120.712246788893
888,148,200,1036,65,177,2018,81,198,981,68,2018-06-01,0f5c974e,64.1696930895875,-120.712246788893
535,705,170,1240,50,117,2139,107,225,1122,78,2018-07-01,0f5c974e,64.1696930895875,-120.712246788893
711,79,270,790,72,93,1268,75,177,988,41,2018-08-01,0f5c974e,64.1696930895875,-120.712246788893
237,71,220,308,23,76,1008,-22,76,615,23,2018-09-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,100,0,18,76,431,-73,-10,384,10,2018-10-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-140,0,31,76,106,-185,-126,173,1,2018-11-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-140,0,18,76,50,-220,-151,112,4,2018-12-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-90,0,19,76,88,-271,-193,81,2,2019-01-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-90,0,12,76,356,-266,-174,78,4,2019-02-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-80,0,15,76,873,-139,-23,242,12,2019-03-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-80,0,12,76,1768,-116,-2,284,14,2019-04-01,0f5c974e,64.1696930895875,-120.712246788893
879,0,-100,879,31,432,2273,-5,103,436,49,2019-05-01,0f5c974e,64.1696930895875,-120.712246788893
833,147,140,980,59,179,2156,50,166,805,58,2019-06-01,0f5c974e,64.1696930895875,-120.712246788893
555,537,160,1092,52,118,2164,89,202,1108,65,2019-07-01,0f5c974e,64.1696930895875,-120.712246788893
679,0,300,679,76,159,1348,44,148,901,36,2019-08-01,0f5c974e,64.1696930895875,-120.712246788893
224,186,200,410,19,110,923,33,118,781,30,2019-09-01,0f5c974e,64.1696930895875,-120.712246788893
6,0,130,6,28,126,353,-46,14,463,9,2019-10-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,70,0,22,126,119,-164,-95,202,3,2019-11-01,0f5c974e,64.1696930895875,-120.712246788893
0,0,-190,0,11,126,53,-299,-226,64,1,2019-12-01,0f5c974e,64.1696930895875,-120.712246788893
