aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,163,0,46,854,137,-171,-74,290,0,2015-01-01,1324fe61,59.3483499111203,-127.889328662701
0,0,278,0,55,854,386,-184,-66,234,3,2015-02-01,1324fe61,59.3483499111203,-127.889328662701
0,0,243,0,20,854,1084,-118,34,327,19,2015-03-01,1324fe61,59.3483499111203,-127.889328662701
328,0,162,430,17,950,1692,-41,80,410,36,2015-04-01,1324fe61,59.3483499111203,-127.889328662701
860,158,-167,1018,15,678,2372,10,174,608,72,2015-05-01,1324fe61,59.3483499111203,-127.889328662701
736,379,-259,1114,41,332,2311,64,203,931,75,2015-06-01,1324fe61,59.3483499111203,-127.889328662701
742,250,-237,992,68,234,1881,90,206,1129,66,2015-07-01,1324fe61,59.3483499111203,-127.889328662701
726,5,-143,731,76,233,1447,78,190,1060,57,2015-08-01,1324fe61,59.3483499111203,-127.889328662701
173,211,-269,384,13,182,981,18,122,738,32,2015-09-01,1324fe61,59.3483499111203,-127.889328662701
128,0,-346,137,28,315,490,-12,74,570,23,2015-10-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-414,0,28,315,202,-127,-31,250,11,2015-11-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-461,0,38,315,86,-195,-115,195,0,2015-12-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-490,0,29,288,145,-171,-80,226,6,2016-01-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-410,0,32,288,408,-151,-34,259,10,2016-02-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-360,0,23,288,990,-112,37,317,24,2016-03-01,1324fe61,59.3483499111203,-127.889328662701
447,0,-400,447,15,950,1480,-33,91,454,42,2016-04-01,1324fe61,59.3483499111203,-127.889328662701
705,140,-360,845,36,709,1946,14,158,632,64,2016-05-01,1324fe61,59.3483499111203,-127.889328662701
866,214,-340,1080,66,471,2408,64,201,935,80,2016-06-01,1324fe61,59.3483499111203,-127.889328662701
753,241,-320,994,63,316,1940,91,218,1183,74,2016-07-01,1324fe61,59.3483499111203,-127.889328662701
684,166,-270,850,65,251,1588,83,208,1085,73,2016-08-01,1324fe61,59.3483499111203,-127.889328662701
446,0,-180,446,70,468,971,24,137,793,39,2016-09-01,1324fe61,59.3483499111203,-127.889328662701
43,0,-140,43,40,587,544,-37,43,463,21,2016-10-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-120,0,26,587,204,-103,-21,316,11,2016-11-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-80,0,33,587,105,-226,-136,99,3,2016-12-01,1324fe61,59.3483499111203,-127.889328662701
0,0,120,0,37,587,173,-192,-84,154,5,2017-01-01,1324fe61,59.3483499111203,-127.889328662701
0,0,120,0,27,587,475,-193,-64,143,8,2017-02-01,1324fe61,59.3483499111203,-127.889328662701
0,0,130,0,28,587,963,-175,-36,198,12,2017-03-01,1324fe61,59.3483499111203,-127.889328662701
305,0,80,305,15,950,1694,-47,80,396,38,2017-04-01,1324fe61,59.3483499111203,-127.889328662701
896,7,-10,903,34,938,2159,12,153,604,62,2017-05-01,1324fe61,59.3483499111203,-127.889328662701
901,100,40,1001,77,770,2144,54,183,846,63,2017-06-01,1324fe61,59.3483499111203,-127.889328662701
846,88,90,934,78,661,1819,77,204,1083,57,2017-07-01,1324fe61,59.3483499111203,-127.889328662701
622,275,-70,897,37,385,1814,71,212,1023,78,2017-08-01,1324fe61,59.3483499111203,-127.889328662701
399,66,-120,465,39,352,1039,29,154,823,46,2017-09-01,1324fe61,59.3483499111203,-127.889328662701
181,0,-120,181,52,642,477,-23,65,494,24,2017-10-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-70,0,48,642,204,-164,-82,157,9,2017-11-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-60,0,29,642,115,-189,-92,233,2,2017-12-01,1324fe61,59.3483499111203,-127.889328662701
0,0,40,0,42,642,136,-196,-102,164,4,2018-01-01,1324fe61,59.3483499111203,-127.889328662701
0,0,80,0,27,642,486,-238,-90,131,7,2018-02-01,1324fe61,59.3483499111203,-127.889328662701
0,0,110,0,29,642,1094,-153,2,241,19,2018-03-01,1324fe61,59.3483499111203,-127.889328662701
41,0,110,41,15,778,1719,-71,58,374,31,2018-04-01,1324fe61,59.3483499111203,-127.889328662701
935,0,-40,935,26,950,2275,16,160,594,69,2018-05-01,1324fe61,59.3483499111203,-127.889328662701
887,157,0,1044,65,680,2338,56,188,884,76,2018-06-01,1324fe61,59.3483499111203,-127.889328662701
783,321,-110,1104,47,344,2263,84,222,1088,83,2018-07-01,1324fe61,59.3483499111203,-127.889328662701
620,285,-130,905,54,240,1680,74,199,1023,79,2018-08-01,1324fe61,59.3483499111203,-127.889328662701
387,33,-160,420,40,230,1227,-8,122,676,39,2018-09-01,1324fe61,59.3483499111203,-127.889328662701
148,0,-230,148,29,346,495,-23,69,522,21,2018-10-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-250,0,40,346,167,-102,-31,299,9,2018-11-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-290,0,29,346,95,-182,-95,200,3,2018-12-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-250,0,47,346,124,-172,-71,180,8,2019-01-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-250,0,19,346,483,-245,-115,112,6,2019-02-01,1324fe61,59.3483499111203,-127.889328662701
0,0,-300,0,3,346,1172,-106,42,272,28,2019-03-01,1324fe61,59.3483499111203,-127.889328662701
501,0,-360,501,14,950,1671,-40,92,334,48,2019-04-01,1324fe61,59.3483499111203,-127.889328662701
704,231,-440,935,16,554,2157,43,183,615,86,2019-05-01,1324fe61,59.3483499111203,-127.889328662701
863,114,-370,977,81,464,2013,57,197,934,68,2019-06-01,1324fe61,59.3483499111203,-127.889328662701
