aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-152,0,19,83,89,-250,-176,144,0,2015-01-01,135f3916,63.7520192980142,-122.590791820299
0,0,-126,0,14,83,299,-261,-177,93,2,2015-02-01,135f3916,63.7520192980142,-122.590791820299
0,0,-139,0,10,83,960,-198,-81,163,7,2015-03-01,135f3916,63.7520192980142,-122.590791820299
0,0,74,0,28,83,1632,-87,23,293,23,2015-04-01,135f3916,63.7520192980142,-122.590791820299
1145,0,-120,1145,19,427,2601,15,157,539,70,2015-05-01,135f3916,63.7520192980142,-122.590791820299
654,673,-143,1328,42,168,2518,89,222,949,97,2015-06-01,135f3916,63.7520192980142,-122.590791820299
1090,0,249,1090,117,190,1896,108,216,1157,79,2015-07-01,135f3916,63.7520192980142,-122.590791820299
645,174,289,819,61,126,1539,87,195,1099,60,2015-08-01,135f3916,63.7520192980142,-122.590791820299
381,0,303,385,48,202,801,19,109,705,30,2015-09-01,135f3916,63.7520192980142,-122.590791820299
0,0,313,0,41,202,318,-49,-1,449,7,2015-10-01,135f3916,63.7520192980142,-122.590791820299
0,0,346,0,28,202,112,-184,-115,191,1,2015-11-01,135f3916,63.7520192980142,-122.590791820299
0,0,301,0,11,202,48,-229,-167,151,0,2015-12-01,135f3916,63.7520192980142,-122.590791820299
0,0,260,0,17,153,78,-236,-174,103,2,2016-01-01,135f3916,63.7520192980142,-122.590791820299
0,0,230,0,12,153,352,-222,-153,120,5,2016-02-01,135f3916,63.7520192980142,-122.590791820299
0,0,190,0,11,153,922,-187,-72,168,11,2016-03-01,135f3916,63.7520192980142,-122.590791820299
0,0,240,0,28,153,1689,-88,16,319,19,2016-04-01,135f3916,63.7520192980142,-122.590791820299
895,0,310,895,48,459,2102,26,145,607,65,2016-05-01,135f3916,63.7520192980142,-122.590791820299
670,627,280,1297,40,169,2631,94,217,984,98,2016-06-01,135f3916,63.7520192980142,-122.590791820299
659,511,270,1170,64,117,2183,111,231,1244,89,2016-07-01,135f3916,63.7520192980142,-122.590791820299
597,285,270,882,60,91,1618,88,204,1098,67,2016-08-01,135f3916,63.7520192980142,-122.590791820299
435,0,340,435,61,237,929,19,121,749,35,2016-09-01,135f3916,63.7520192980142,-122.590791820299
0,0,250,0,14,237,412,-67,-26,434,10,2016-10-01,135f3916,63.7520192980142,-122.590791820299
0,0,200,0,20,237,130,-171,-105,209,2,2016-11-01,135f3916,63.7520192980142,-122.590791820299
0,0,170,0,14,237,50,-264,-202,87,2,2016-12-01,135f3916,63.7520192980142,-122.590791820299
0,0,200,0,26,237,91,-268,-177,83,2,2017-01-01,135f3916,63.7520192980142,-122.590791820299
0,0,250,0,24,237,290,-249,-178,100,5,2017-02-01,135f3916,63.7520192980142,-122.590791820299
0,0,260,0,19,237,1017,-237,-135,138,6,2017-03-01,135f3916,63.7520192980142,-122.590791820299
0,0,190,0,9,237,1942,-99,7,292,20,2017-04-01,135f3916,63.7520192980142,-122.590791820299
959,0,120,959,24,459,2453,17,142,567,75,2017-05-01,135f3916,63.7520192980142,-122.590791820299
656,479,70,1135,39,169,2278,91,203,954,76,2017-06-01,135f3916,63.7520192980142,-122.590791820299
716,476,100,1192,70,117,2189,104,230,1187,87,2017-07-01,135f3916,63.7520192980142,-122.590791820299
784,190,160,974,80,91,1726,86,222,1088,75,2017-08-01,135f3916,63.7520192980142,-122.590791820299
494,0,190,494,54,105,1018,27,142,789,42,2017-09-01,135f3916,63.7520192980142,-122.590791820299
0,0,110,0,23,105,407,-55,0,444,10,2017-10-01,135f3916,63.7520192980142,-122.590791820299
0,0,-110,0,19,105,115,-233,-169,128,3,2017-11-01,135f3916,63.7520192980142,-122.590791820299
0,0,-90,0,23,105,50,-238,-160,117,0,2017-12-01,135f3916,63.7520192980142,-122.590791820299
0,0,50,0,26,105,79,-262,-203,93,1,2018-01-01,135f3916,63.7520192980142,-122.590791820299
0,0,100,0,21,105,295,-292,-188,80,5,2018-02-01,135f3916,63.7520192980142,-122.590791820299
0,0,-40,0,7,105,1048,-221,-105,128,9,2018-03-01,135f3916,63.7520192980142,-122.590791820299
0,0,-70,0,10,105,1880,-116,-7,292,16,2018-04-01,135f3916,63.7520192980142,-122.590791820299
875,0,30,875,32,459,2225,7,132,537,61,2018-05-01,135f3916,63.7520192980142,-122.590791820299
906,154,160,1060,68,195,1973,87,209,1017,72,2018-06-01,135f3916,63.7520192980142,-122.590791820299
484,738,80,1222,44,128,2219,106,232,1187,87,2018-07-01,135f3916,63.7520192980142,-122.590791820299
717,54,170,771,74,110,1234,77,188,1038,46,2018-08-01,135f3916,63.7520192980142,-122.590791820299
183,182,70,365,17,87,1116,-19,92,638,27,2018-09-01,135f3916,63.7520192980142,-122.590791820299
0,0,-160,0,17,87,446,-69,-4,404,9,2018-10-01,135f3916,63.7520192980142,-122.590791820299
0,0,-180,0,31,87,120,-189,-133,168,1,2018-11-01,135f3916,63.7520192980142,-122.590791820299
0,0,-190,0,17,87,49,-229,-163,114,3,2018-12-01,135f3916,63.7520192980142,-122.590791820299
0,0,-150,0,19,87,91,-257,-181,89,2,2019-01-01,135f3916,63.7520192980142,-122.590791820299
0,0,-140,0,13,87,361,-251,-164,84,4,2019-02-01,135f3916,63.7520192980142,-122.590791820299
0,0,-150,0,10,87,905,-121,-5,258,16,2019-03-01,135f3916,63.7520192980142,-122.590791820299
0,0,-170,0,9,87,1723,-82,33,294,26,2019-04-01,135f3916,63.7520192980142,-122.590791820299
1019,0,-170,1019,36,459,2300,22,139,493,66,2019-05-01,135f3916,63.7520192980142,-122.590791820299
934,67,200,1001,86,345,2066,52,173,837,60,2019-06-01,135f3916,63.7520192980142,-122.590791820299
672,461,160,1133,52,163,2142,94,215,1138,74,2019-07-01,135f3916,63.7520192980142,-122.590791820299
715,0,290,715,83,236,1422,44,158,903,42,2019-08-01,135f3916,63.7520192980142,-122.590791820299
320,97,240,417,27,171,945,35,130,811,33,2019-09-01,135f3916,63.7520192980142,-122.590791820299
7,0,180,7,28,189,344,-46,17,474,9,2019-10-01,135f3916,63.7520192980142,-122.590791820299
0,0,100,0,16,189,137,-176,-108,179,3,2019-11-01,135f3916,63.7520192980142,-122.590791820299
0,0,-150,0,14,189,51,-303,-234,63,1,2019-12-01,135f3916,63.7520192980142,-122.590791820299
