aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,61,0,74,694,181,-124,-45,253,9,2015-01-01,1461a6af,55.5613772789691,-124.664816226658
0,0,171,0,73,694,540,-113,-20,209,19,2015-02-01,1461a6af,55.5613772789691,-124.664816226658
0,0,159,0,43,694,989,-93,19,264,24,2015-03-01,1461a6af,55.5613772789691,-124.664816226658
6,0,142,60,32,694,1584,-56,46,295,33,2015-04-01,1461a6af,55.5613772789691,-124.664816226658
928,0,-133,939,19,694,2236,-16,129,450,57,2015-05-01,1461a6af,55.5613772789691,-124.664816226658
886,170,-226,1056,59,402,2253,30,162,674,63,2015-06-01,1461a6af,55.5613772789691,-124.664816226658
1001,151,-206,1152,93,283,2311,49,182,786,70,2015-07-01,1461a6af,55.5613772789691,-124.664816226658
883,0,-129,883,97,323,1661,44,173,727,68,2015-08-01,1461a6af,55.5613772789691,-124.664816226658
380,84,-180,471,35,273,1092,-5,104,541,39,2015-09-01,1461a6af,55.5613772789691,-124.664816226658
159,0,-277,213,46,527,580,-26,64,441,29,2015-10-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-371,0,44,527,323,-116,-35,212,15,2015-11-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-351,0,56,527,183,-142,-65,177,11,2015-12-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-340,0,52,455,244,-144,-56,234,14,2016-01-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-290,0,45,455,510,-98,1,276,26,2016-02-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-260,0,41,455,1014,-97,19,285,26,2016-03-01,1461a6af,55.5613772789691,-124.664816226658
116,0,-270,116,28,694,1494,-52,58,383,38,2016-04-01,1461a6af,55.5613772789691,-124.664816226658
832,0,-270,832,58,694,2065,-15,112,450,51,2016-05-01,1461a6af,55.5613772789691,-124.664816226658
899,63,-230,962,80,585,2223,24,155,689,57,2016-06-01,1461a6af,55.5613772789691,-124.664816226658
836,117,-190,953,72,431,1899,54,179,874,62,2016-07-01,1461a6af,55.5613772789691,-124.664816226658
774,130,-170,904,70,319,1718,49,181,789,74,2016-08-01,1461a6af,55.5613772789691,-124.664816226658
529,0,-130,529,66,415,1065,1,118,581,44,2016-09-01,1461a6af,55.5613772789691,-124.664816226658
43,0,-100,43,59,529,490,-40,37,383,24,2016-10-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-70,0,49,529,215,-82,-9,351,19,2016-11-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-60,0,56,529,230,-176,-88,61,10,2016-12-01,1461a6af,55.5613772789691,-124.664816226658
0,0,0,0,55,529,263,-151,-51,151,13,2017-01-01,1461a6af,55.5613772789691,-124.664816226658
0,0,60,0,42,529,588,-138,-31,99,17,2017-02-01,1461a6af,55.5613772789691,-124.664816226658
0,0,60,0,43,529,1002,-144,-33,170,18,2017-03-01,1461a6af,55.5613772789691,-124.664816226658
35,0,-10,35,28,694,1608,-62,44,308,33,2017-04-01,1461a6af,55.5613772789691,-124.664816226658
781,0,-10,781,56,694,1939,-17,110,453,48,2017-05-01,1461a6af,55.5613772789691,-124.664816226658
977,72,0,1049,85,571,2427,11,143,551,58,2017-06-01,1461a6af,55.5613772789691,-124.664816226658
927,158,0,1085,76,369,2344,36,167,714,63,2017-07-01,1461a6af,55.5613772789691,-124.664816226658
726,244,-30,970,60,217,1929,39,183,717,75,2017-08-01,1461a6af,55.5613772789691,-124.664816226658
539,26,-70,565,56,207,1203,10,132,611,51,2017-09-01,1461a6af,55.5613772789691,-124.664816226658
140,0,-110,140,64,443,666,-35,51,344,31,2017-10-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-90,0,60,443,251,-128,-55,165,14,2017-11-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-80,0,54,443,238,-147,-55,185,11,2017-12-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-60,0,58,443,199,-157,-71,201,9,2018-01-01,1461a6af,55.5613772789691,-124.664816226658
0,0,0,0,43,443,641,-162,-49,103,17,2018-02-01,1461a6af,55.5613772789691,-124.664816226658
0,0,10,0,44,443,1095,-133,-13,175,22,2018-03-01,1461a6af,55.5613772789691,-124.664816226658
0,0,10,0,28,443,1799,-80,28,253,33,2018-04-01,1461a6af,55.5613772789691,-124.664816226658
885,0,-50,885,52,694,2295,-11,122,470,61,2018-05-01,1461a6af,55.5613772789691,-124.664816226658
896,59,0,955,80,593,2183,16,144,629,55,2018-06-01,1461a6af,55.5613772789691,-124.664816226658
909,204,-80,1113,67,317,2332,43,184,754,68,2018-07-01,1461a6af,55.5613772789691,-124.664816226658
745,284,-100,1029,66,201,1997,37,177,689,84,2018-08-01,1461a6af,55.5613772789691,-124.664816226658
505,0,-110,505,56,227,1159,-19,94,453,41,2018-09-01,1461a6af,55.5613772789691,-124.664816226658
79,0,-150,79,55,387,753,-40,48,363,34,2018-10-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-140,0,56,387,207,-90,-21,314,11,2018-11-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-130,0,54,387,190,-141,-55,195,13,2018-12-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-90,0,62,387,219,-114,-22,267,12,2019-01-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-140,0,24,387,693,-215,-113,25,16,2019-02-01,1461a6af,55.5613772789691,-124.664816226658
0,0,-210,0,17,387,1264,-107,6,184,27,2019-03-01,1461a6af,55.5613772789691,-124.664816226658
60,0,-200,60,28,622,1773,-59,49,279,35,2019-04-01,1461a6af,55.5613772789691,-124.664816226658
916,0,-270,916,38,694,2040,21,142,494,67,2019-05-01,1461a6af,55.5613772789691,-124.664816226658
822,157,-330,979,58,424,2127,29,155,692,57,2019-06-01,1461a6af,55.5613772789691,-124.664816226658
909,0,-220,909,108,536,1905,50,178,881,58,2019-07-01,1461a6af,55.5613772789691,-124.664816226658
802,0,-120,802,90,591,1699,36,166,752,59,2019-08-01,1461a6af,55.5613772789691,-124.664816226658
482,6,-100,488,50,583,1062,11,126,623,44,2019-09-01,1461a6af,55.5613772789691,-124.664816226658
40,0,170,40,65,684,603,-44,37,339,28,2019-10-01,1461a6af,55.5613772789691,-124.664816226658
0,0,270,0,80,684,226,-96,-23,262,15,2019-11-01,1461a6af,55.5613772789691,-124.664816226658
0,0,190,0,40,684,158,-125,-40,203,14,2019-12-01,1461a6af,55.5613772789691,-124.664816226658
