aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,132,0,31,164,333,-170,-70,332,0,2015-01-01,146420bc,55.0637566487867,-114.077356459255
0,0,219,0,51,164,641,-182,-76,280,0,2015-02-01,146420bc,55.0637566487867,-114.077356459255
0,0,168,0,10,164,1288,-85,38,415,15,2015-03-01,146420bc,55.0637566487867,-114.077356459255
702,0,163,730,34,854,1979,-31,103,426,45,2015-04-01,146420bc,55.0637566487867,-114.077356459255
728,559,-148,1286,14,314,2764,19,176,587,78,2015-05-01,146420bc,55.0637566487867,-114.077356459255
827,537,-191,1364,77,217,2780,81,221,1009,87,2015-06-01,146420bc,55.0637566487867,-114.077356459255
853,534,-245,1387,85,169,2721,100,232,1233,81,2015-07-01,146420bc,55.0637566487867,-114.077356459255
407,649,-314,1056,40,138,2074,91,223,1188,74,2015-08-01,146420bc,55.0637566487867,-114.077356459255
538,0,-142,538,98,535,1311,35,157,895,39,2015-09-01,146420bc,55.0637566487867,-114.077356459255
328,47,-78,375,30,494,840,3,127,692,36,2015-10-01,146420bc,55.0637566487867,-114.077356459255
0,0,-72,0,17,494,403,-77,12,443,6,2015-11-01,146420bc,55.0637566487867,-114.077356459255
0,0,-80,0,17,494,247,-144,-58,325,0,2015-12-01,146420bc,55.0637566487867,-114.077356459255
0,0,-60,0,40,442,338,-165,-70,317,0,2016-01-01,146420bc,55.0637566487867,-114.077356459255
0,0,140,0,24,442,667,-136,-26,361,4,2016-02-01,146420bc,55.0637566487867,-114.077356459255
0,0,140,0,20,442,1228,-73,25,423,14,2016-03-01,146420bc,55.0637566487867,-114.077356459255
647,0,90,647,20,854,1896,-23,106,506,49,2016-04-01,146420bc,55.0637566487867,-114.077356459255
925,185,90,1110,61,535,2351,34,183,724,71,2016-05-01,146420bc,55.0637566487867,-114.077356459255
944,279,-40,1223,74,292,2509,81,216,1066,79,2016-06-01,146420bc,55.0637566487867,-114.077356459255
973,226,-70,1199,94,208,2472,105,226,1341,73,2016-07-01,146420bc,55.0637566487867,-114.077356459255
699,280,-80,979,69,163,1817,94,218,1242,62,2016-08-01,146420bc,55.0637566487867,-114.077356459255
398,192,-100,590,39,134,1273,40,160,920,42,2016-09-01,146420bc,55.0637566487867,-114.077356459255
216,0,-60,216,26,161,595,-11,64,622,14,2016-10-01,146420bc,55.0637566487867,-114.077356459255
11,0,-100,11,14,187,383,-45,41,535,8,2016-11-01,146420bc,55.0637566487867,-114.077356459255
0,0,-140,0,19,187,241,-195,-98,212,1,2016-12-01,146420bc,55.0637566487867,-114.077356459255
0,0,-220,0,17,187,353,-183,-72,267,0,2017-01-01,146420bc,55.0637566487867,-114.077356459255
