aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-73,0,19,134,94,-295,-209,91,0,2015-01-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-65,0,11,134,350,-309,-200,83,0,2015-02-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,7,0,15,134,1028,-237,-110,132,5,2015-03-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-36,0,6,134,1957,-143,-15,233,14,2015-04-01,15fb4e92,64.4132003779578,-116.875210371001
965,0,-177,978,9,348,2634,-6,117,462,52,2015-05-01,15fb4e92,64.4132003779578,-116.875210371001
399,930,-255,1329,20,153,2573,79,200,848,86,2015-06-01,15fb4e92,64.4132003779578,-116.875210371001
404,735,-215,1139,38,107,1962,104,204,1049,79,2015-07-01,15fb4e92,64.4132003779578,-116.875210371001
769,42,175,812,80,95,1490,89,183,1102,53,2015-08-01,15fb4e92,64.4132003779578,-116.875210371001
348,0,257,353,49,209,930,21,97,725,23,2015-09-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,294,0,35,209,349,-67,-15,410,5,2015-10-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,402,0,35,209,107,-175,-102,227,0,2015-11-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,401,0,22,209,50,-239,-168,150,0,2015-12-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,300,0,10,160,88,-270,-190,91,0,2016-01-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,240,0,7,160,376,-292,-193,106,1,2016-02-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,180,0,10,160,1006,-219,-88,147,6,2016-03-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,170,0,11,160,1906,-151,-25,251,10,2016-04-01,15fb4e92,64.4132003779578,-116.875210371001
770,0,170,770,23,424,2164,10,110,530,45,2016-05-01,15fb4e92,64.4132003779578,-116.875210371001
591,620,150,1211,33,156,2389,85,197,875,77,2016-06-01,15fb4e92,64.4132003779578,-116.875210371001
467,801,160,1268,44,108,2203,113,222,1123,82,2016-07-01,15fb4e92,64.4132003779578,-116.875210371001
370,506,90,876,36,84,1663,86,188,1066,49,2016-08-01,15fb4e92,64.4132003779578,-116.875210371001
418,0,160,418,47,111,926,25,103,738,23,2016-09-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-130,0,9,111,396,-72,-27,441,7,2016-10-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-220,0,22,111,101,-153,-81,237,0,2016-11-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-320,0,15,111,56,-270,-203,99,0,2016-12-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-260,0,22,111,86,-291,-192,74,0,2017-01-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-190,0,15,111,308,-286,-198,104,0,2017-02-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-60,0,28,111,988,-256,-144,135,3,2017-03-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-100,0,5,111,1955,-152,-32,239,12,2017-04-01,15fb4e92,64.4132003779578,-116.875210371001
815,0,-100,815,22,424,2339,-3,108,478,53,2017-05-01,15fb4e92,64.4132003779578,-116.875210371001
598,517,-90,1115,33,156,2401,77,183,842,66,2017-06-01,15fb4e92,64.4132003779578,-116.875210371001
756,520,250,1276,75,108,2227,106,223,1081,73,2017-07-01,15fb4e92,64.4132003779578,-116.875210371001
574,455,230,1029,58,84,1656,98,210,1075,56,2017-08-01,15fb4e92,64.4132003779578,-116.875210371001
275,201,130,476,27,69,882,40,124,794,26,2017-09-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,90,0,30,69,347,-63,-7,443,7,2017-10-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-190,0,13,69,104,-226,-155,170,1,2017-11-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-250,0,19,69,53,-244,-157,121,0,2017-12-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-260,0,11,69,96,-291,-219,74,0,2018-01-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-230,0,11,69,287,-325,-214,82,1,2018-02-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-170,0,19,69,961,-251,-129,112,5,2018-03-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-190,0,5,69,1859,-169,-45,239,12,2018-04-01,15fb4e92,64.4132003779578,-116.875210371001
702,0,-180,702,13,424,2404,-21,86,446,41,2018-05-01,15fb4e92,64.4132003779578,-116.875210371001
744,308,-80,1052,44,156,2103,78,189,943,63,2018-06-01,15fb4e92,64.4132003779578,-116.875210371001
550,705,150,1255,53,108,2113,107,217,1081,74,2018-07-01,15fb4e92,64.4132003779578,-116.875210371001
636,105,250,741,64,84,1291,70,165,1003,32,2018-08-01,15fb4e92,64.4132003779578,-116.875210371001
119,0,290,119,21,120,932,-28,53,638,16,2018-09-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,220,0,19,120,444,-82,-20,399,7,2018-10-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,190,0,28,120,104,-194,-127,182,0,2018-11-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,200,0,20,120,51,-234,-160,121,1,2018-12-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,280,0,28,120,93,-321,-235,65,0,2019-01-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,210,0,6,120,356,-326,-222,66,1,2019-02-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,210,0,17,120,833,-171,-49,212,8,2019-03-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,220,0,13,120,1808,-140,-16,257,12,2019-04-01,15fb4e92,64.4132003779578,-116.875210371001
671,0,180,671,9,424,2466,-27,75,391,38,2019-05-01,15fb4e92,64.4132003779578,-116.875210371001
779,269,180,1048,33,156,2283,57,166,792,62,2019-06-01,15fb4e92,64.4132003779578,-116.875210371001
440,680,200,1120,41,108,2096,89,194,1055,65,2019-07-01,15fb4e92,64.4132003779578,-116.875210371001
439,219,220,658,44,84,1346,55,147,968,32,2019-08-01,15fb4e92,64.4132003779578,-116.875210371001
223,133,140,356,22,69,929,34,104,808,22,2019-09-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,70,0,25,69,361,-54,6,474,5,2019-10-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-150,0,24,69,119,-170,-96,212,2,2019-11-01,15fb4e92,64.4132003779578,-116.875210371001
0,0,-180,0,16,69,54,-320,-242,73,0,2019-12-01,15fb4e92,64.4132003779578,-116.875210371001
