aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,448,0,45,992,561,-187,-68,281,0,2015-01-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,363,0,38,992,1107,-231,-105,194,0,2015-02-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,264,0,36,992,1657,-116,9,389,6,2015-03-01,179fc80c,46.4695092840599,-83.6485725743533
526,0,241,553,68,992,2075,-21,88,617,22,2015-04-01,179fc80c,46.4695092840599,-83.6485725743533
954,0,242,954,83,992,2098,54,189,1109,43,2015-05-01,179fc80c,46.4695092840599,-83.6485725743533
934,122,242,1056,76,782,2430,85,215,1402,44,2015-06-01,179fc80c,46.4695092840599,-83.6485725743533
1053,349,225,1402,67,364,2668,125,259,1645,76,2015-07-01,179fc80c,46.4695092840599,-83.6485725743533
827,213,153,1040,77,269,1913,130,233,1566,62,2015-08-01,179fc80c,46.4695092840599,-83.6485725743533
605,112,-170,717,60,234,1598,105,211,1461,43,2015-09-01,179fc80c,46.4695092840599,-83.6485725743533
297,0,-179,297,112,992,893,28,118,926,14,2015-10-01,179fc80c,46.4695092840599,-83.6485725743533
85,0,-161,89,99,992,554,-9,77,781,3,2015-11-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,166,3,151,992,333,-42,28,651,0,2015-12-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,140,0,53,992,493,-132,-40,334,6,2016-01-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,210,0,87,992,882,-137,-31,336,8,2016-02-01,179fc80c,46.4695092840599,-83.6485725743533
11,0,300,11,119,992,1370,-69,40,521,18,2016-03-01,179fc80c,46.4695092840599,-83.6485725743533
401,0,340,401,92,992,2049,-36,73,520,32,2016-04-01,179fc80c,46.4695092840599,-83.6485725743533
1057,0,260,1057,60,992,2505,44,184,885,63,2016-05-01,179fc80c,46.4695092840599,-83.6485725743533
1000,265,160,1265,57,537,2603,92,226,1218,76,2016-06-01,179fc80c,46.4695092840599,-83.6485725743533
1009,309,120,1318,83,315,2442,136,261,1680,87,2016-07-01,179fc80c,46.4695092840599,-83.6485725743533
977,94,90,1071,99,279,2028,140,252,1814,69,2016-08-01,179fc80c,46.4695092840599,-83.6485725743533
713,0,80,713,122,725,1534,103,205,1452,46,2016-09-01,179fc80c,46.4695092840599,-83.6485725743533
377,0,90,377,109,992,850,41,132,985,29,2016-10-01,179fc80c,46.4695092840599,-83.6485725743533
150,0,-120,150,74,992,593,-4,85,783,14,2016-11-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,-60,0,97,992,397,-100,-27,401,7,2016-12-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,50,0,75,992,482,-107,-27,424,5,2017-01-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,200,0,105,992,798,-108,-4,421,10,2017-02-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,190,0,69,992,1469,-95,8,400,15,2017-03-01,179fc80c,46.4695092840599,-83.6485725743533
526,0,280,526,123,992,1668,1,112,715,35,2017-04-01,179fc80c,46.4695092840599,-83.6485725743533
831,44,270,875,75,916,2080,43,157,891,50,2017-05-01,179fc80c,46.4695092840599,-83.6485725743533
1220,0,340,1220,136,984,2424,102,223,1163,64,2017-06-01,179fc80c,46.4695092840599,-83.6485725743533
1080,185,390,1265,81,670,2418,125,251,1577,78,2017-07-01,179fc80c,46.4695092840599,-83.6485725743533
941,0,480,941,136,992,1927,110,215,1492,52,2017-08-01,179fc80c,46.4695092840599,-83.6485725743533
693,23,420,716,69,953,1685,89,210,1403,42,2017-09-01,179fc80c,46.4695092840599,-83.6485725743533
392,0,640,392,229,992,924,47,139,1022,33,2017-10-01,179fc80c,46.4695092840599,-83.6485725743533
7,0,640,7,111,992,457,-49,26,553,11,2017-11-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,570,0,76,992,424,-144,-52,336,3,2017-12-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,530,0,63,992,515,-152,-49,320,5,2018-01-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,500,0,62,992,944,-152,-36,331,6,2018-02-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,390,0,41,992,1648,-107,4,331,13,2018-03-01,179fc80c,46.4695092840599,-83.6485725743533
48,0,530,48,112,992,2034,-63,50,395,24,2018-04-01,179fc80c,46.4695092840599,-83.6485725743533
1034,0,480,1034,85,992,2414,61,208,1076,70,2018-05-01,179fc80c,46.4695092840599,-83.6485725743533
963,259,380,1222,55,547,2760,97,228,1401,92,2018-06-01,179fc80c,46.4695092840599,-83.6485725743533
769,619,270,1388,57,315,2512,139,269,1636,99,2018-07-01,179fc80c,46.4695092840599,-83.6485725743533
907,169,210,1076,89,252,2202,132,246,1774,79,2018-08-01,179fc80c,46.4695092840599,-83.6485725743533
628,0,190,628,114,709,1515,94,198,1486,40,2018-09-01,179fc80c,46.4695092840599,-83.6485725743533
274,0,380,274,217,992,685,16,93,842,26,2018-10-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,390,0,98,992,480,-61,-4,488,8,2018-11-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,390,0,95,992,419,-94,-4,441,7,2018-12-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,400,0,79,992,510,-194,-84,189,4,2019-01-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,520,0,123,992,653,-157,-40,253,7,2019-02-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,450,0,57,992,1382,-109,4,310,14,2019-03-01,179fc80c,46.4695092840599,-83.6485725743533
499,0,530,499,126,992,1761,-30,84,500,30,2019-04-01,179fc80c,46.4695092840599,-83.6485725743533
868,0,580,868,121,992,1937,21,156,748,50,2019-05-01,179fc80c,46.4695092840599,-83.6485725743533
1135,0,640,1135,134,992,2484,80,213,1149,66,2019-06-01,179fc80c,46.4695092840599,-83.6485725743533
1135,256,630,1391,73,553,2566,133,263,1584,90,2019-07-01,179fc80c,46.4695092840599,-83.6485725743533
837,375,480,1212,63,317,2396,115,233,1438,68,2019-08-01,179fc80c,46.4695092840599,-83.6485725743533
587,0,590,587,198,992,1291,83,189,1349,30,2019-09-01,179fc80c,46.4695092840599,-83.6485725743533
409,0,690,409,169,992,832,22,115,800,24,2019-10-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,640,0,88,992,506,-70,5,417,8,2019-11-01,179fc80c,46.4695092840599,-83.6485725743533
0,0,580,0,83,992,345,-98,-6,376,6,2019-12-01,179fc80c,46.4695092840599,-83.6485725743533
