aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,245,0,20,149,380,-180,-75,243,1,2015-01-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,278,0,30,149,778,-230,-96,167,3,2015-02-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,244,0,13,149,1489,-99,24,376,13,2015-03-01,18ffefbf,54.0410202175214,-107.767931604804
620,0,225,678,35,821,2098,-36,94,431,40,2015-04-01,18ffefbf,54.0410202175214,-107.767931604804
758,520,96,1278,15,302,2873,1,168,553,72,2015-05-01,18ffefbf,54.0410202175214,-107.767931604804
645,723,-143,1368,58,209,2798,76,225,1089,80,2015-06-01,18ffefbf,54.0410202175214,-107.767931604804
841,527,-155,1369,84,162,2659,108,241,1392,77,2015-07-01,18ffefbf,54.0410202175214,-107.767931604804
743,312,-126,1055,75,133,2017,95,230,1296,71,2015-08-01,18ffefbf,54.0410202175214,-107.767931604804
604,0,119,604,93,414,1429,42,165,953,41,2015-09-01,18ffefbf,54.0410202175214,-107.767931604804
363,12,177,380,37,406,860,-1,122,677,34,2015-10-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,167,0,19,406,414,-73,13,441,7,2015-11-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,123,0,10,406,278,-140,-55,297,1,2015-12-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,120,0,26,352,385,-176,-74,247,5,2016-01-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,130,0,15,352,750,-158,-33,291,11,2016-02-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,170,0,28,352,1346,-97,16,361,15,2016-03-01,18ffefbf,54.0410202175214,-107.767931604804
574,0,100,574,17,769,2049,-38,92,476,43,2016-04-01,18ffefbf,54.0410202175214,-107.767931604804
912,253,60,1165,44,376,2496,34,185,770,84,2016-05-01,18ffefbf,54.0410202175214,-107.767931604804
665,637,-120,1302,56,238,2738,80,221,1145,80,2016-06-01,18ffefbf,54.0410202175214,-107.767931604804
964,202,-80,1166,95,178,2381,108,234,1508,67,2016-07-01,18ffefbf,54.0410202175214,-107.767931604804
773,267,20,1040,78,143,1963,92,224,1299,65,2016-08-01,18ffefbf,54.0410202175214,-107.767931604804
428,238,-20,666,43,120,1380,43,173,965,47,2016-09-01,18ffefbf,54.0410202175214,-107.767931604804
186,0,200,186,73,589,564,-23,63,623,15,2016-10-01,18ffefbf,54.0410202175214,-107.767931604804
24,0,180,24,14,626,440,-41,45,526,12,2016-11-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,160,0,10,626,310,-201,-105,185,4,2016-12-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,140,0,12,626,413,-189,-82,223,3,2017-01-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,150,0,13,626,829,-165,-57,256,8,2017-02-01,18ffefbf,54.0410202175214,-107.767931604804
0,0,230,0,39,626,1388,-140,-22,325,8,2017-03-01,18ffefbf,54.0410202175214,-107.767931604804
362,0,300,362,49,821,1898,-36,72,495,27,2017-04-01,18ffefbf,54.0410202175214,-107.767931604804
1017,132,350,1149,54,595,2370,25,174,664,69,2017-05-01,18ffefbf,54.0410202175214,-107.767931604804
920,260,350,1180,68,319,2329,74,208,1015,66,2017-06-01,18ffefbf,54.0410202175214,-107.767931604804
897,551,280,1448,84,216,2718,109,256,1358,78,2017-07-01,18ffefbf,54.0410202175214,-107.767931604804
351,874,140,1225,32,166,2177,88,242,1209,82,2017-08-01,18ffefbf,54.0410202175214,-107.767931604804
268,496,-220,764,25,136,1466,46,186,935,57,2017-09-01,18ffefbf,54.0410202175214,-107.767931604804
354,49,-180,403,36,127,727,-19,91,564,31,2017-10-01,18ffefbf,54.0410202175214,-107.767931604804
