aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,383,0,36,516,491,-227,-105,203,0,2015-01-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,396,0,42,516,997,-283,-142,88,4,2015-02-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,335,0,32,516,1448,-127,7,299,14,2015-03-01,1a307bf6,49.975778039413,-92.0611767689876
344,0,243,482,34,516,2090,-51,87,427,35,2015-04-01,1a307bf6,49.975778039413,-92.0611767689876
864,0,371,864,132,516,2144,15,149,801,39,2015-05-01,1a307bf6,49.975778039413,-92.0611767689876
988,108,354,1095,84,331,2400,82,212,1244,57,2015-06-01,1a307bf6,49.975778039413,-92.0611767689876
1240,12,428,1252,129,320,2355,133,248,1632,70,2015-07-01,1a307bf6,49.975778039413,-92.0611767689876
798,133,395,931,72,206,1821,119,225,1563,51,2015-08-01,1a307bf6,49.975778039413,-92.0611767689876
640,0,332,640,78,306,1583,91,201,1402,35,2015-09-01,1a307bf6,49.975778039413,-92.0611767689876
320,0,328,324,76,516,844,8,106,721,24,2015-10-01,1a307bf6,49.975778039413,-92.0611767689876
1,0,478,9,115,516,338,-38,36,614,1,2015-11-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,457,0,44,516,301,-112,-42,398,0,2015-12-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,390,0,26,516,434,-201,-105,231,0,2016-01-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,360,0,31,516,845,-186,-70,225,4,2016-02-01,1a307bf6,49.975778039413,-92.0611767689876
0,0,400,0,67,516,1522,-100,31,402,16,2016-03-01,1a307bf6,49.975778039413,-92.0611767689876
117,0,440,117,69,516,1936,-55,61,477,24,2016-04-01,1a307bf6,49.975778039413,-92.0611767689876
937,0,390,937,61,516,2245,32,167,786,55,2016-05-01,1a307bf6,49.975778039413,-92.0611767689876
1044,0,390,1044,111,516,2365,92,208,1281,54,2016-06-01,1a307bf6,49.975778039413,-92.0611767689876
1082,142,370,1224,88,272,2490,135,242,1629,81,2016-07-01,1a307bf6,49.975778039413,-92.0611767689876
995,0,370,995,107,291,1976,127,236,1652,66,2016-08-01,1a307bf6,49.975778039413,-92.0611767689876
541,0,390,541,107,516,1213,92,175,1322,32,2016-09-01,1a307bf6,49.975778039413,-92.0611767689876
