aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-441,0,15,322,256,-287,-185,122,0,2015-01-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-428,0,10,322,705,-339,-239,40,2,2015-02-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-387,0,22,322,1377,-221,-89,183,3,2015-03-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-247,0,48,322,2122,-118,3,306,13,2015-04-01,1b56fbfb,57.5194846886567,-98.9604525311405
926,0,-338,962,17,559,2725,-34,107,395,49,2015-05-01,1b56fbfb,57.5194846886567,-98.9604525311405
1055,174,-320,1229,74,260,2575,62,187,883,68,2015-06-01,1b56fbfb,57.5194846886567,-98.9604525311405
752,450,-336,1201,69,163,2296,101,214,1215,69,2015-07-01,1b56fbfb,57.5194846886567,-98.9604525311405
369,469,-385,838,34,122,1516,99,193,1203,53,2015-08-01,1b56fbfb,57.5194846886567,-98.9604525311405
370,33,-377,404,38,114,1046,45,123,918,22,2015-09-01,1b56fbfb,57.5194846886567,-98.9604525311405
38,0,-389,84,41,348,490,-25,44,557,12,2015-10-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-400,0,33,348,268,-125,-63,325,0,2015-11-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-405,0,11,348,145,-193,-136,256,0,2015-12-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-390,0,15,285,214,-243,-167,130,0,2016-01-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-360,0,14,285,711,-280,-170,111,1,2016-02-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-320,0,24,285,1361,-196,-78,188,4,2016-03-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,-270,0,28,285,2265,-140,-1,258,13,2016-04-01,1b56fbfb,57.5194846886567,-98.9604525311405
870,0,-290,870,34,559,2332,4,126,576,46,2016-05-01,1b56fbfb,57.5194846886567,-98.9604525311405
855,323,-320,1178,51,206,2377,65,189,886,73,2016-06-01,1b56fbfb,57.5194846886567,-98.9604525311405
1143,6,-180,1149,120,203,2137,108,214,1241,68,2016-07-01,1b56fbfb,57.5194846886567,-98.9604525311405
597,358,-180,955,56,141,1830,91,195,1144,58,2016-08-01,1b56fbfb,57.5194846886567,-98.9604525311405
464,61,-190,525,47,124,980,41,131,838,30,2016-09-01,1b56fbfb,57.5194846886567,-98.9604525311405
5,0,-70,5,71,173,462,-37,4,516,9,2016-10-01,1b56fbfb,57.5194846886567,-98.9604525311405
0,0,150,0,25,173,264,-93,-32,312,0,2016-11-01,1b56fbfb,57.5194846886567,-98.9604525311405
