aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0.0,0.0,462.25,0.0,106.74999999999999,528.25,577.75,-171.25000000000003,-49.75,207.75,8.25,2015-01-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,409.24999999999994,0.0,62.50000000000001,528.25,1043.0,-211.0,-85.75,122.0,10.0,2015-02-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,335.25,0.0,58.75,528.25,1604.25,-125.75000000000001,3.25,251.0,18.0,2015-03-01,1b9bb7a6,45.7840993130181,-67.3370827213136
564.25,0.0,271.5,599.75,78.5,528.25,1754.7500000000002,-22.749999999999996,86.5,490.25,33.25,2015-04-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1152.25,72.5,187.50000000000003,1224.0,80.75,404.0,2232.0,60.0,202.25,892.25,77.0,2015-05-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1097.0,0.0,245.49999999999997,1097.0,141.5,528.25,2197.5,88.25,203.50000000000003,1113.25,65.25,2015-06-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1050.5,234.25000000000003,207.25,1284.75,75.75,194.0,2379.5,125.5,248.75,1458.5,84.75000000000001,2015-07-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1017.75,184.25,174.74999999999997,1201.75,100.5,134.25,2077.5,141.25,262.5,1597.5,92.25,2015-08-01,1b9bb7a6,45.7840993130181,-67.3370827213136
843.25,0.0,135.75,843.25,103.75,277.0,1698.25,99.0,228.49999999999997,1350.0,66.0,2015-09-01,1b9bb7a6,45.7840993130181,-67.3370827213136
471.50000000000006,0.0,84.0,471.50000000000006,85.5,528.25,1042.25,7.25,124.25,700.75,34.25000000000001,2015-10-01,1b9bb7a6,45.7840993130181,-67.3370827213136
216.75,0.0,-129.5,226.5,100.25,528.25,604.75,-6.75,75.5,616.5,20.0,2015-11-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1.0,0.0,73.0,8.25,147.75,528.25,394.49999999999994,-39.5,25.250000000000004,525.7500000000001,7.0,2015-12-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,-70.0,0.0,47.0,528.25,643.5,-115.25,-15.75,260.0,11.0,2016-01-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,90.0,0.0,105.5,528.25,877.75,-130.0,-1.5,327.25,8.0,2016-02-01,1b9bb7a6,45.7840993130181,-67.3370827213136
16.25,0.0,160.0,16.25,114.25,528.25,1341.0,-71.75,39.5,380.25,16.25,2016-03-01,1b9bb7a6,45.7840993130181,-67.3370827213136
548.5,0.0,130.0,548.5,83.25,528.25,2137.5,-42.0,84.25,420.5,33.25,2016-04-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1030.0,0.0,80.0,1030.0,90.74999999999999,528.25,2210.0,48.0,179.50000000000003,812.5000000000001,51.0,2016-05-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1038.5,207.25,-30.0,1245.75,74.0,194.0,2327.75,96.25,224.5,1081.25,62.25,2016-06-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1074.0,267.5,-90.0,1341.5,106.74999999999999,134.25,2348.0,136.5,260.5,1475.75,74.75,2016-07-01,1b9bb7a6,45.7840993130181,-67.3370827213136
1154.25,106.5,-80.0,1260.75,118.49999999999999,104.75,2023.0,141.0,270.25,1522.25,75.25,2016-08-01,1b9bb7a6,45.7840993130181,-67.3370827213136
635.5,234.50000000000003,-160.0,870.0,65.0,86.0,1612.0,92.0,219.50000000000003,1236.5,43.0,2016-09-01,1b9bb7a6,45.7840993130181,-67.3370827213136
503.75000000000006,0.0,-180.0,503.75000000000006,91.49999999999999,447.25,929.0,28.25,142.5,838.75,30.25,2016-10-01,1b9bb7a6,45.7840993130181,-67.3370827213136
239.25,0.0,-220.0,239.25,114.5,528.25,509.5,-5.75,70.5,609.5,15.0,2016-11-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,-200.0,0.0,104.75,528.25,462.75,-103.75,-10.499999999999998,343.75000000000006,7.0,2016-12-01,1b9bb7a6,45.7840993130181,-67.3370827213136
0.0,0.0,-150.0,0.0,101.75,528.25,582.75,-102.25,-3.75,339.0,10.0,2017-01-01,1b9bb7a6,45.7840993130181,-67.3370827213136
