aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,22,0,23,136,65,-253,-173,156,0,2015-01-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,17,0,18,136,277,-265,-166,109,1,2015-02-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,8,0,12,136,921,-223,-84,165,5,2015-03-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,70,0,24,136,1718,-113,17,251,23,2015-04-01,1be3f11b,64.9847447093682,-127.297558208372
1099,0,-139,1099,13,483,2456,-2,151,486,68,2015-05-01,1be3f11b,64.9847447093682,-127.297558208372
684,660,-187,1344,40,178,2465,70,223,890,96,2015-06-01,1be3f11b,64.9847447093682,-127.297558208372
672,408,-139,1080,65,123,1910,89,215,1101,76,2015-07-01,1be3f11b,64.9847447093682,-127.297558208372
611,128,-100,738,61,95,1382,57,187,1006,53,2015-08-01,1be3f11b,64.9847447093682,-127.297558208372
367,0,159,372,68,372,745,-3,101,614,31,2015-09-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,194,0,34,372,285,-63,6,430,8,2015-10-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,245,0,22,372,99,-203,-117,174,1,2015-11-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,213,0,12,372,28,-246,-163,134,0,2015-12-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,230,0,27,324,54,-239,-166,81,5,2016-01-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,240,0,23,324,309,-227,-140,86,7,2016-02-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,200,0,9,324,899,-202,-80,135,11,2016-03-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,250,0,33,324,1662,-108,22,281,19,2016-04-01,1be3f11b,64.9847447093682,-127.297558208372
831,0,340,831,50,483,1983,2,136,531,59,2016-05-01,1be3f11b,64.9847447093682,-127.297558208372
812,448,350,1260,53,178,2496,78,215,892,92,2016-06-01,1be3f11b,64.9847447093682,-127.297558208372
526,635,280,1161,50,123,2138,96,225,1167,86,2016-07-01,1be3f11b,64.9847447093682,-127.297558208372
437,402,200,839,43,95,1555,68,197,1034,68,2016-08-01,1be3f11b,64.9847447093682,-127.297558208372
404,0,210,404,47,137,819,1,113,684,35,2016-09-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,120,0,11,137,455,-95,-16,346,13,2016-10-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-170,0,13,137,109,-200,-117,141,6,2016-11-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-220,0,18,137,29,-284,-202,60,4,2016-12-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-100,0,50,137,64,-279,-189,56,5,2017-01-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,200,0,38,137,269,-262,-173,55,6,2017-02-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,170,0,9,137,1022,-267,-140,80,7,2017-03-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,110,0,9,137,1801,-126,12,256,18,2017-04-01,1be3f11b,64.9847447093682,-127.297558208372
881,0,-130,881,13,483,2387,-5,128,511,73,2017-05-01,1be3f11b,64.9847447093682,-127.297558208372
615,620,-210,1235,31,178,2598,73,207,888,86,2017-06-01,1be3f11b,64.9847447093682,-127.297558208372
385,835,-290,1220,35,123,2265,90,227,1111,96,2017-07-01,1be3f11b,64.9847447093682,-127.297558208372
598,320,-270,918,60,95,1705,68,206,994,83,2017-08-01,1be3f11b,64.9847447093682,-127.297558208372
199,250,-350,449,19,78,874,11,127,698,38,2017-09-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-350,0,25,78,349,-73,2,376,13,2017-10-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-360,0,16,78,103,-247,-165,86,5,2017-11-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-310,0,33,78,29,-242,-158,88,5,2017-12-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-170,0,42,78,60,-273,-196,56,2,2018-01-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-100,0,26,78,276,-296,-192,35,6,2018-02-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-90,0,10,78,998,-238,-109,100,10,2018-03-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-110,0,11,78,1858,-144,-5,251,18,2018-04-01,1be3f11b,64.9847447093682,-127.297558208372
755,0,-90,755,23,483,2099,-16,117,501,55,2018-05-01,1be3f11b,64.9847447093682,-127.297558208372
754,360,-70,1114,45,178,2154,71,206,905,84,2018-06-01,1be3f11b,64.9847447093682,-127.297558208372
432,770,-140,1202,40,123,2161,91,231,1100,91,2018-07-01,1be3f11b,64.9847447093682,-127.297558208372
673,0,110,673,78,192,1021,56,179,1029,41,2018-08-01,1be3f11b,64.9847447093682,-127.297558208372
258,70,80,328,24,158,1020,-28,94,637,29,2018-09-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-60,0,15,158,412,-82,5,377,11,2018-10-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-70,0,29,158,109,-203,-126,146,5,2018-11-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-120,0,9,158,27,-247,-165,88,4,2018-12-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-90,0,22,158,67,-259,-176,80,3,2019-01-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-90,0,14,158,341,-236,-139,84,7,2019-02-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-110,0,6,158,881,-129,1,236,19,2019-03-01,1be3f11b,64.9847447093682,-127.297558208372
0,0,-120,0,12,158,1724,-105,35,248,28,2019-04-01,1be3f11b,64.9847447093682,-127.297558208372
963,0,-170,963,25,437,2113,17,148,522,67,2019-05-01,1be3f11b,64.9847447093682,-127.297558208372
597,545,-210,1142,36,177,2215,48,186,702,81,2019-06-01,1be3f11b,64.9847447093682,-127.297558208372
438,769,-270,1207,40,123,2209,82,218,969,89,2019-07-01,1be3f11b,64.9847447093682,-127.297558208372
