aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-612,0,18,200,308,-270,-169,161,0,2015-01-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-572,0,13,200,816,-313,-194,67,2,2015-02-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-518,0,24,200,1377,-188,-44,234,6,2015-03-01,1cc1804c,56.0080319914875,-100.721892735329
1,0,-395,21,37,265,2076,-84,49,359,24,2015-04-01,1cc1804c,56.0080319914875,-100.721892735329
1036,0,-432,1049,15,599,2692,-24,136,466,57,2015-05-01,1cc1804c,56.0080319914875,-100.721892735329
1081,188,-394,1269,78,276,2607,64,211,983,75,2015-06-01,1cc1804c,56.0080319914875,-100.721892735329
725,511,-392,1236,66,174,2480,97,225,1317,66,2015-07-01,1cc1804c,56.0080319914875,-100.721892735329
564,288,-409,852,55,130,1679,90,208,1289,52,2015-08-01,1cc1804c,56.0080319914875,-100.721892735329
440,0,-405,440,53,192,1082,49,145,1000,26,2015-09-01,1cc1804c,56.0080319914875,-100.721892735329
218,0,-417,231,33,287,590,-7,72,613,19,2015-10-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-429,0,39,287,289,-97,-29,358,4,2015-11-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-447,0,23,287,186,-162,-102,265,0,2015-12-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-470,0,11,212,280,-236,-154,180,0,2016-01-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-440,0,15,212,809,-249,-121,166,2,2016-02-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-360,0,34,212,1408,-165,-35,254,8,2016-03-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-280,0,30,212,2224,-102,44,295,26,2016-04-01,1cc1804c,56.0080319914875,-100.721892735329
958,0,-280,958,28,599,2375,16,155,675,57,2016-05-01,1cc1804c,56.0080319914875,-100.721892735329
909,297,-310,1206,56,220,2374,70,209,994,73,2016-06-01,1cc1804c,56.0080319914875,-100.721892735329
1113,0,-90,1113,148,513,2153,102,224,1344,61,2016-07-01,1cc1804c,56.0080319914875,-100.721892735329
785,163,-80,948,59,292,1858,86,208,1221,56,2016-08-01,1cc1804c,56.0080319914875,-100.721892735329
518,24,-110,542,53,277,1115,45,151,931,35,2016-09-01,1cc1804c,56.0080319914875,-100.721892735329
53,0,280,53,86,598,458,-19,27,552,11,2016-10-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,280,0,24,598,314,-66,2,429,5,2016-11-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,210,0,16,598,205,-235,-161,147,0,2016-12-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,160,0,16,598,284,-237,-150,174,0,2017-01-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,110,0,11,598,740,-226,-123,180,0,2017-02-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,100,0,25,598,1345,-207,-73,210,4,2017-03-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,130,0,29,598,2219,-90,37,340,23,2017-04-01,1cc1804c,56.0080319914875,-100.721892735329
839,0,200,839,59,599,2049,7,128,582,47,2017-05-01,1cc1804c,56.0080319914875,-100.721892735329
947,117,270,1064,79,397,2136,64,193,935,69,2017-06-01,1cc1804c,56.0080319914875,-100.721892735329
633,727,160,1360,46,205,2631,94,240,1244,81,2017-07-01,1cc1804c,56.0080319914875,-100.721892735329
585,525,-170,1110,55,145,2089,76,229,1142,76,2017-08-01,1cc1804c,56.0080319914875,-100.721892735329
624,0,-130,624,89,367,1227,48,157,891,40,2017-09-01,1cc1804c,56.0080319914875,-100.721892735329
212,0,-90,212,44,548,502,-14,53,558,15,2017-10-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-80,0,31,548,345,-175,-97,202,5,2017-11-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-130,0,11,548,229,-238,-150,167,0,2017-12-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-60,0,36,548,326,-274,-191,125,-1,2018-01-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-100,0,7,548,799,-307,-175,96,1,2018-02-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-80,0,29,548,1491,-203,-64,190,9,2018-03-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-140,0,3,548,2193,-136,12,265,20,2018-04-01,1cc1804c,56.0080319914875,-100.721892735329
1039,0,-220,1039,14,599,2503,7,165,611,69,2018-05-01,1cc1804c,56.0080319914875,-100.721892735329
839,307,-270,1146,49,220,2167,82,214,1064,67,2018-06-01,1cc1804c,56.0080319914875,-100.721892735329
1057,104,-180,1161,106,174,2160,99,221,1275,74,2018-07-01,1cc1804c,56.0080319914875,-100.721892735329
818,58,-150,876,84,154,1718,77,200,1186,53,2018-08-01,1cc1804c,56.0080319914875,-100.721892735329
423,0,-170,423,48,182,1189,4,92,699,24,2018-09-01,1cc1804c,56.0080319914875,-100.721892735329
12,0,-150,12,29,198,669,-54,27,428,11,2018-10-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-200,0,22,198,323,-168,-96,227,1,2018-11-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-230,0,24,198,208,-197,-120,191,0,2018-12-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-180,0,28,198,345,-304,-203,98,0,2019-01-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-210,0,7,198,822,-311,-185,91,0,2019-02-01,1cc1804c,56.0080319914875,-100.721892735329
0,0,-250,0,11,198,1476,-166,-19,255,10,2019-03-01,1cc1804c,56.0080319914875,-100.721892735329
30,0,-200,30,27,262,1977,-77,54,344,28,2019-04-01,1cc1804c,56.0080319914875,-100.721892735329
903,0,-140,903,47,599,2414,-9,120,500,49,2019-05-01,1cc1804c,56.0080319914875,-100.721892735329
1072,32,180,1104,105,544,2254,71,203,972,73,2019-06-01,1cc1804c,56.0080319914875,-100.721892735329
1069,129,220,1198,92,353,2311,97,221,1230,71,2019-07-01,1cc1804c,56.0080319914875,-100.721892735329
848,0,310,848,116,599,1691,76,198,1238,44,2019-08-01,1cc1804c,56.0080319914875,-100.721892735329
459,96,230,555,31,434,1212,49,147,915,36,2019-09-01,1cc1804c,56.0080319914875,-100.721892735329
