aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,415,0,14,340,227,-312,-217,86,0,2015-01-01,1db68add,59.5005800190323,-96.2066961200292
0,0,344,0,6,340,638,-353,-266,26,2,2015-02-01,1db68add,59.5005800190323,-96.2066961200292
0,0,278,0,11,340,1382,-264,-152,136,0,2015-03-01,1db68add,59.5005800190323,-96.2066961200292
0,0,216,0,11,340,2131,-163,-61,269,1,2015-04-01,1db68add,59.5005800190323,-96.2066961200292
0,0,119,0,11,340,2664,-75,32,349,21,2015-05-01,1db68add,59.5005800190323,-96.2066961200292
1002,0,155,1002,54,340,2450,46,144,789,46,2015-06-01,1db68add,59.5005800190323,-96.2066961200292
950,91,232,1041,84,184,2164,84,189,1137,51,2015-07-01,1db68add,59.5005800190323,-96.2066961200292
688,36,273,724,70,158,1473,86,169,1137,39,2015-08-01,1db68add,59.5005800190323,-96.2066961200292
322,0,237,322,40,218,979,34,101,861,15,2015-09-01,1db68add,59.5005800190323,-96.2066961200292
0,0,246,0,49,218,437,-54,12,510,3,2015-10-01,1db68add,59.5005800190323,-96.2066961200292
0,0,263,0,31,218,229,-158,-80,283,0,2015-11-01,1db68add,59.5005800190323,-96.2066961200292
0,0,330,0,35,218,103,-216,-152,201,0,2015-12-01,1db68add,59.5005800190323,-96.2066961200292
0,0,320,0,16,201,186,-265,-188,93,1,2016-01-01,1db68add,59.5005800190323,-96.2066961200292
0,0,310,0,15,201,650,-312,-212,71,2,2016-02-01,1db68add,59.5005800190323,-96.2066961200292
0,0,260,0,14,201,1376,-247,-139,142,1,2016-03-01,1db68add,59.5005800190323,-96.2066961200292
0,0,180,0,6,201,2318,-188,-67,220,3,2016-04-01,1db68add,59.5005800190323,-96.2066961200292
133,0,160,133,40,340,2373,-43,51,505,13,2016-05-01,1db68add,59.5005800190323,-96.2066961200292
1008,0,100,1008,31,340,2551,47,153,805,51,2016-06-01,1db68add,59.5005800190323,-96.2066961200292
891,131,130,1022,71,125,2084,95,196,1194,51,2016-07-01,1db68add,59.5005800190323,-96.2066961200292
641,176,130,817,63,87,1562,82,176,1114,43,2016-08-01,1db68add,59.5005800190323,-96.2066961200292
424,0,350,424,123,340,859,35,110,823,22,2016-09-01,1db68add,59.5005800190323,-96.2066961200292
0,0,390,0,32,340,436,-62,-16,494,4,2016-10-01,1db68add,59.5005800190323,-96.2066961200292
0,0,410,0,36,340,214,-127,-57,278,0,2016-11-01,1db68add,59.5005800190323,-96.2066961200292
0,0,330,0,10,340,133,-277,-201,103,0,2016-12-01,1db68add,59.5005800190323,-96.2066961200292
0,0,330,0,20,340,175,-267,-187,78,0,2017-01-01,1db68add,59.5005800190323,-96.2066961200292
0,0,470,0,42,340,536,-287,-206,81,0,2017-02-01,1db68add,59.5005800190323,-96.2066961200292
0,0,560,0,45,340,1426,-272,-161,127,0,2017-03-01,1db68add,59.5005800190323,-96.2066961200292
0,0,450,0,6,340,2388,-180,-72,235,4,2017-04-01,1db68add,59.5005800190323,-96.2066961200292
29,0,390,29,30,340,2234,-50,31,472,11,2017-05-01,1db68add,59.5005800190323,-96.2066961200292
985,0,300,985,29,340,2610,45,146,780,53,2017-06-01,1db68add,59.5005800190323,-96.2066961200292
863,370,260,1233,68,125,2447,83,208,1091,71,2017-07-01,1db68add,59.5005800190323,-96.2066961200292
579,403,190,982,57,87,1991,84,190,1066,58,2017-08-01,1db68add,59.5005800190323,-96.2066961200292
491,0,290,491,94,340,906,34,115,788,24,2017-09-01,1db68add,59.5005800190323,-96.2066961200292
0,0,590,0,110,340,456,-53,6,508,2,2017-10-01,1db68add,59.5005800190323,-96.2066961200292
