aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,356,0,37,319,477,-268,-137,152,0,2015-01-01,256af5af,50.8608704987823,-89.9201221551243
0,0,382,0,44,319,970,-317,-165,57,5,2015-02-01,256af5af,50.8608704987823,-89.9201221551243
0,0,324,0,36,319,1442,-172,-14,251,11,2015-03-01,256af5af,50.8608704987823,-89.9201221551243
8,0,263,70,32,319,2012,-77,69,379,29,2015-04-01,256af5af,50.8608704987823,-89.9201221551243
875,0,418,875,139,319,2189,-1,144,713,41,2015-05-01,256af5af,50.8608704987823,-89.9201221551243
988,113,387,1101,84,125,2419,61,210,1123,60,2015-06-01,256af5af,50.8608704987823,-89.9201221551243
1308,0,464,1308,149,231,2400,119,254,1526,80,2015-07-01,256af5af,50.8608704987823,-89.9201221551243
753,100,425,852,68,126,1592,102,220,1459,50,2015-08-01,256af5af,50.8608704987823,-89.9201221551243
569,0,359,569,71,231,1451,69,190,1290,31,2015-09-01,256af5af,50.8608704987823,-89.9201221551243
235,0,363,245,77,319,799,-14,84,658,17,2015-10-01,256af5af,50.8608704987823,-89.9201221551243
0,0,524,0,114,319,299,-65,12,548,0,2015-11-01,256af5af,50.8608704987823,-89.9201221551243
0,0,477,0,37,319,277,-136,-55,372,0,2015-12-01,256af5af,50.8608704987823,-89.9201221551243
0,0,410,0,28,319,399,-231,-122,203,2,2016-01-01,256af5af,50.8608704987823,-89.9201221551243
0,0,380,0,30,319,899,-229,-89,180,6,2016-02-01,256af5af,50.8608704987823,-89.9201221551243
0,0,380,0,54,319,1588,-145,16,338,16,2016-03-01,256af5af,50.8608704987823,-89.9201221551243
0,0,390,0,54,319,2037,-89,49,396,23,2016-04-01,256af5af,50.8608704987823,-89.9201221551243
920,0,320,920,52,319,2295,12,161,710,56,2016-05-01,256af5af,50.8608704987823,-89.9201221551243
950,78,270,1028,86,185,2267,70,205,1143,61,2016-06-01,256af5af,50.8608704987823,-89.9201221551243
1172,73,270,1245,117,128,2407,123,248,1522,94,2016-07-01,256af5af,50.8608704987823,-89.9201221551243
967,0,280,967,103,137,1819,111,235,1535,69,2016-08-01,256af5af,50.8608704987823,-89.9201221551243
514,0,300,514,103,319,1179,71,170,1230,32,2016-09-01,256af5af,50.8608704987823,-89.9201221551243
250,0,280,250,58,319,612,3,86,763,17,2016-10-01,256af5af,50.8608704987823,-89.9201221551243
6,0,190,6,16,319,401,-52,37,582,7,2016-11-01,256af5af,50.8608704987823,-89.9201221551243
0,0,210,0,45,319,303,-201,-106,221,0,2016-12-01,256af5af,50.8608704987823,-89.9201221551243
0,0,200,0,39,319,400,-214,-109,253,0,2017-01-01,256af5af,50.8608704987823,-89.9201221551243
0,0,200,0,36,319,863,-201,-71,229,6,2017-02-01,256af5af,50.8608704987823,-89.9201221551243
0,0,170,0,39,319,1525,-178,-16,253,11,2017-03-01,256af5af,50.8608704987823,-89.9201221551243
161,0,140,161,42,319,1817,-66,78,444,28,2017-04-01,256af5af,50.8608704987823,-89.9201221551243
807,0,140,807,60,319,2133,4,133,659,50,2017-05-01,256af5af,50.8608704987823,-89.9201221551243
1008,78,130,1086,92,185,2404,74,209,1093,70,2017-06-01,256af5af,50.8608704987823,-89.9201221551243
978,359,80,1337,94,104,2690,112,247,1414,110,2017-07-01,256af5af,50.8608704987823,-89.9201221551243
913,50,90,963,94,85,2036,84,208,1261,70,2017-08-01,256af5af,50.8608704987823,-89.9201221551243
512,0,70,512,81,319,1192,62,172,1194,36,2017-09-01,256af5af,50.8608704987823,-89.9201221551243
302,0,-20,302,59,319,782,-2,90,716,27,2017-10-01,256af5af,50.8608704987823,-89.9201221551243
0,0,10,0,45,319,372,-129,-38,335,5,2017-11-01,256af5af,50.8608704987823,-89.9201221551243
0,0,10,0,37,319,379,-238,-132,177,0,2017-12-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-10,0,35,319,427,-259,-130,173,2,2018-01-01,256af5af,50.8608704987823,-89.9201221551243
0,0,10,0,31,319,938,-281,-117,112,4,2018-02-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-20,0,37,319,1527,-186,-15,203,13,2018-03-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-10,0,36,319,2340,-127,32,261,27,2018-04-01,256af5af,50.8608704987823,-89.9201221551243
938,0,10,938,71,319,2305,16,184,803,53,2018-05-01,256af5af,50.8608704987823,-89.9201221551243
1004,69,0,1073,93,200,2349,83,218,1243,76,2018-06-01,256af5af,50.8608704987823,-89.9201221551243
1005,328,-30,1333,96,107,2382,129,262,1545,104,2018-07-01,256af5af,50.8608704987823,-89.9201221551243
867,193,-20,1060,88,77,2133,103,234,1476,86,2018-08-01,256af5af,50.8608704987823,-89.9201221551243
530,0,0,530,84,319,1307,48,156,1075,33,2018-09-01,256af5af,50.8608704987823,-89.9201221551243
57,0,70,57,71,319,537,-27,35,567,8,2018-10-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-80,0,11,319,371,-139,-62,299,0,2018-11-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-130,0,18,319,341,-183,-78,251,1,2018-12-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-150,0,29,319,501,-282,-155,108,1,2019-01-01,256af5af,50.8608704987823,-89.9201221551243
0,0,-60,0,48,319,858,-266,-119,113,5,2019-02-01,256af5af,50.8608704987823,-89.9201221551243
0,0,10,0,44,319,1401,-172,-13,235,12,2019-03-01,256af5af,50.8608704987823,-89.9201221551243
50,0,70,50,42,319,2117,-76,63,343,31,2019-04-01,256af5af,50.8608704987823,-89.9201221551243
877,0,-20,877,54,319,2307,-6,136,580,50,2019-05-01,256af5af,50.8608704987823,-89.9201221551243
899,285,-90,1184,71,118,2681,77,213,1043,76,2019-06-01,256af5af,50.8608704987823,-89.9201221551243
1114,312,-100,1426,114,81,2533,128,259,1475,95,2019-07-01,256af5af,50.8608704987823,-89.9201221551243
604,530,-180,1134,62,63,2006,104,231,1345,71,2019-08-01,256af5af,50.8608704987823,-89.9201221551243
496,0,130,496,138,319,1111,54,164,1133,25,2019-09-01,256af5af,50.8608704987823,-89.9201221551243
279,0,130,279,64,319,690,-11,75,640,16,2019-10-01,256af5af,50.8608704987823,-89.9201221551243
0,0,110,0,36,319,417,-130,-47,316,1,2019-11-01,256af5af,50.8608704987823,-89.9201221551243
0,0,100,0,35,319,340,-200,-92,208,1,2019-12-01,256af5af,50.8608704987823,-89.9201221551243
