aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-406,0,16,242,348,-260,-161,165,0,2015-01-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-365,0,19,242,839,-303,-200,69,2,2015-02-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-342,0,20,242,1386,-175,-47,252,4,2015-03-01,25dc1601,54.5983232834075,-97.6076390344628
3,0,-273,37,28,341,1969,-72,53,387,24,2015-04-01,25dc1601,54.5983232834075,-97.6076390344628
997,0,-310,1009,14,609,2638,-9,129,532,50,2015-05-01,25dc1601,54.5983232834075,-97.6076390344628
916,270,-329,1186,57,246,2551,74,202,1073,63,2015-06-01,25dc1601,54.5983232834075,-97.6076390344628
834,441,-297,1275,80,171,2394,121,237,1457,72,2015-07-01,25dc1601,54.5983232834075,-97.6076390344628
824,88,-236,911,84,145,1611,115,220,1414,59,2015-08-01,25dc1601,54.5983232834075,-97.6076390344628
465,0,-247,465,52,173,1131,65,155,1111,26,2015-09-01,25dc1601,54.5983232834075,-97.6076390344628
234,0,-266,241,38,301,662,-1,78,666,17,2015-10-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-257,0,44,301,313,-80,-23,407,2,2015-11-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-229,0,29,301,231,-156,-91,293,0,2015-12-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-230,0,16,224,296,-229,-148,190,0,2016-01-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-210,0,19,224,791,-232,-123,174,1,2016-02-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-170,0,27,224,1471,-154,-31,282,7,2016-03-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-130,0,25,224,2266,-91,43,330,26,2016-04-01,25dc1601,54.5983232834075,-97.6076390344628
953,0,-120,953,36,672,2436,24,149,721,53,2016-05-01,25dc1601,54.5983232834075,-97.6076390344628
923,186,-110,1109,64,352,2414,78,197,1095,68,2016-06-01,25dc1601,54.5983232834075,-97.6076390344628
1047,85,80,1132,104,294,2194,121,233,1513,71,2016-07-01,25dc1601,54.5983232834075,-97.6076390344628
817,191,0,1008,75,190,1835,113,222,1383,61,2016-08-01,25dc1601,54.5983232834075,-97.6076390344628
519,0,-10,519,62,257,1166,60,154,1081,33,2016-09-01,25dc1601,54.5983232834075,-97.6076390344628
136,0,140,136,60,649,409,-7,44,646,9,2016-10-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,150,0,29,649,355,-52,11,504,4,2016-11-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,150,0,22,649,252,-230,-154,173,0,2016-12-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,140,0,19,649,300,-226,-141,215,0,2017-01-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,110,0,16,649,816,-209,-121,194,0,2017-02-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,100,0,24,649,1430,-194,-71,225,3,2017-03-01,25dc1601,54.5983232834075,-97.6076390344628
19,0,110,19,24,672,2136,-78,45,377,23,2017-04-01,25dc1601,54.5983232834075,-97.6076390344628
846,0,150,846,46,672,2184,13,120,606,48,2017-05-01,25dc1601,54.5983232834075,-97.6076390344628
874,141,180,1015,67,430,2124,76,189,1022,61,2017-06-01,25dc1601,54.5983232834075,-97.6076390344628
852,547,120,1399,68,227,2700,114,245,1393,95,2017-07-01,25dc1601,54.5983232834075,-97.6076390344628
686,453,60,1139,65,162,2149,99,229,1255,93,2017-08-01,25dc1601,54.5983232834075,-97.6076390344628
591,0,-10,591,67,203,1261,59,156,1014,37,2017-09-01,25dc1601,54.5983232834075,-97.6076390344628
257,0,-90,257,46,384,516,-4,62,623,15,2017-10-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-100,0,30,384,370,-161,-84,236,4,2017-11-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-120,0,21,384,270,-246,-156,172,0,2017-12-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-80,0,24,384,337,-267,-178,133,-1,2018-01-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-90,0,15,384,827,-292,-173,86,0,2018-02-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-80,0,25,384,1526,-189,-63,204,7,2018-03-01,25dc1601,54.5983232834075,-97.6076390344628
0,0,-90,0,15,384,2343,-129,18,277,20,2018-04-01,25dc1601,54.5983232834075,-97.6076390344628
1026,0,-110,1026,33,672,2600,17,164,698,64,2018-05-01,25dc1601,54.5983232834075,-97.6076390344628
883,180,-110,1063,60,362,2176,93,207,1205,68,2018-06-01,25dc1601,54.5983232834075,-97.6076390344628
