aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,435,0,34,549,498,-211,-97,224,0,2015-01-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,420,0,30,549,1011,-265,-136,82,6,2015-02-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,342,0,24,549,1468,-109,13,317,15,2015-03-01,26a3da41,49.2923107128383,-93.0902511080981
641,0,231,687,27,628,2090,-37,99,445,40,2015-04-01,26a3da41,49.2923107128383,-93.0902511080981
922,0,339,922,136,628,2066,28,160,819,47,2015-05-01,26a3da41,49.2923107128383,-93.0902511080981
1031,84,326,1115,93,484,2401,90,217,1297,59,2015-06-01,26a3da41,49.2923107128383,-93.0902511080981
1132,114,348,1246,105,351,2389,133,248,1684,65,2015-07-01,26a3da41,49.2923107128383,-93.0902511080981
895,78,342,973,88,292,1939,121,228,1583,52,2015-08-01,26a3da41,49.2923107128383,-93.0902511080981
609,61,258,670,60,256,1643,93,205,1427,37,2015-09-01,26a3da41,49.2923107128383,-93.0902511080981
343,0,250,347,70,575,867,11,110,732,26,2015-10-01,26a3da41,49.2923107128383,-93.0902511080981
2,0,392,11,94,628,374,-36,36,618,2,2015-11-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,404,0,44,628,312,-102,-39,400,0,2015-12-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,340,0,22,628,462,-188,-101,246,0,2016-01-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,310,0,24,628,834,-168,-65,233,5,2016-02-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,350,0,56,628,1467,-80,35,409,16,2016-03-01,26a3da41,49.2923107128383,-93.0902511080981
319,0,370,319,67,628,1839,-40,70,506,26,2016-04-01,26a3da41,49.2923107128383,-93.0902511080981
1001,0,350,1001,70,628,2199,46,178,810,63,2016-05-01,26a3da41,49.2923107128383,-93.0902511080981
1095,0,350,1095,125,628,2432,100,213,1325,55,2016-06-01,26a3da41,49.2923107128383,-93.0902511080981
1128,74,370,1202,105,501,2484,135,240,1678,74,2016-07-01,26a3da41,49.2923107128383,-93.0902511080981
1025,0,400,1025,108,504,2057,129,238,1677,66,2016-08-01,26a3da41,49.2923107128383,-93.0902511080981
573,0,440,573,102,628,1272,94,178,1329,32,2016-09-01,26a3da41,49.2923107128383,-93.0902511080981
323,0,390,323,43,628,784,26,103,827,22,2016-10-01,26a3da41,49.2923107128383,-93.0902511080981
122,0,360,122,40,628,457,-17,58,634,9,2016-11-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,440,0,66,628,337,-170,-92,242,0,2016-12-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,400,0,32,628,473,-179,-92,280,0,2017-01-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,420,0,36,628,949,-148,-47,283,6,2017-02-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,340,0,23,628,1559,-121,-3,313,11,2017-03-01,26a3da41,49.2923107128383,-93.0902511080981
529,0,290,529,50,628,1821,-26,94,539,32,2017-04-01,26a3da41,49.2923107128383,-93.0902511080981
774,147,240,921,47,375,2148,34,151,735,54,2017-05-01,26a3da41,49.2923107128383,-93.0902511080981
1056,57,200,1113,106,328,2226,100,218,1164,66,2017-06-01,26a3da41,49.2923107128383,-93.0902511080981
785,425,110,1210,69,195,2451,126,243,1603,78,2017-07-01,26a3da41,49.2923107128383,-93.0902511080981
892,39,120,931,92,180,1948,106,213,1421,68,2017-08-01,26a3da41,49.2923107128383,-93.0902511080981
563,0,160,563,115,628,1299,86,183,1326,33,2017-09-01,26a3da41,49.2923107128383,-93.0902511080981
383,0,120,383,43,628,847,16,103,750,29,2017-10-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,140,0,36,628,392,-96,-19,391,5,2017-11-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,140,0,33,628,355,-198,-110,220,0,2017-12-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,100,0,22,628,471,-214,-106,220,2,2018-01-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,120,0,29,628,992,-243,-108,136,3,2018-02-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,60,0,19,628,1541,-125,-4,263,16,2018-03-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,-30,0,11,628,2381,-88,43,343,30,2018-04-01,26a3da41,49.2923107128383,-93.0902511080981
1027,0,10,1027,70,628,2421,56,206,972,73,2018-05-01,26a3da41,49.2923107128383,-93.0902511080981
1104,30,10,1134,111,576,2458,117,226,1464,87,2018-06-01,26a3da41,49.2923107128383,-93.0902511080981
1040,208,-80,1248,77,263,2404,136,250,1681,90,2018-07-01,26a3da41,49.2923107128383,-93.0902511080981
799,265,-110,1064,75,173,2183,125,238,1632,89,2018-08-01,26a3da41,49.2923107128383,-93.0902511080981
589,0,-60,589,112,628,1401,72,163,1153,34,2018-09-01,26a3da41,49.2923107128383,-93.0902511080981
205,0,180,205,96,628,608,-7,51,634,13,2018-10-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,150,0,20,628,450,-109,-48,349,2,2018-11-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,140,0,28,628,393,-147,-60,290,0,2018-12-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,120,0,30,628,539,-233,-129,158,0,2019-01-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,210,0,48,628,839,-218,-106,159,3,2019-02-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,170,0,29,628,1487,-124,-9,285,12,2019-03-01,26a3da41,49.2923107128383,-93.0902511080981
493,0,120,493,40,628,1922,-32,84,480,32,2019-04-01,26a3da41,49.2923107128383,-93.0902511080981
899,43,110,942,67,553,2302,25,150,687,54,2019-05-01,26a3da41,49.2923107128383,-93.0902511080981
948,217,-110,1165,68,247,2534,105,218,1198,75,2019-06-01,26a3da41,49.2923107128383,-93.0902511080981
1285,28,-80,1313,134,233,2490,139,251,1642,76,2019-07-01,26a3da41,49.2923107128383,-93.0902511080981
947,227,-90,1174,92,161,2102,124,234,1429,74,2019-08-01,26a3da41,49.2923107128383,-93.0902511080981
500,0,170,500,169,628,1081,77,173,1285,23,2019-09-01,26a3da41,49.2923107128383,-93.0902511080981
334,0,310,334,104,628,706,4,84,682,19,2019-10-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,300,0,34,628,479,-99,-31,355,3,2019-11-01,26a3da41,49.2923107128383,-93.0902511080981
0,0,280,0,32,628,373,-162,-74,250,1,2019-12-01,26a3da41,49.2923107128383,-93.0902511080981
