aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,676,0,53,215,462,-308,-192,91,0,2015-01-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,642,0,42,215,1017,-337,-206,59,2,2015-02-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,630,0,52,215,1533,-243,-96,148,4,2015-03-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,630,0,51,215,2005,-105,17,398,9,2015-04-01,29e300ae,53.2120575605401,-75.1849658567184
906,0,585,917,69,215,2169,9,117,556,46,2015-05-01,29e300ae,53.2120575605401,-75.1849658567184
725,364,477,1088,57,79,2229,64,180,920,60,2015-06-01,29e300ae,53.2120575605401,-75.1849658567184
548,476,371,1024,55,55,1863,116,209,1355,57,2015-07-01,29e300ae,53.2120575605401,-75.1849658567184
801,0,423,801,149,215,1504,121,201,1437,46,2015-08-01,29e300ae,53.2120575605401,-75.1849658567184
368,0,366,368,76,215,1280,51,140,1133,11,2015-09-01,29e300ae,53.2120575605401,-75.1849658567184
46,0,319,91,67,215,654,-21,44,594,9,2015-10-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,200,0,38,215,271,-75,-14,498,0,2015-11-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,218,0,67,215,281,-152,-75,398,0,2015-12-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,200,0,44,215,381,-242,-136,180,2,2016-01-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,180,0,32,215,880,-267,-139,130,4,2016-02-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,110,0,18,215,1621,-213,-76,186,8,2016-03-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,-140,0,11,215,2296,-127,-14,261,10,2016-04-01,29e300ae,53.2120575605401,-75.1849658567184
761,0,-140,761,46,215,2340,11,113,637,50,2016-05-01,29e300ae,53.2120575605401,-75.1849658567184
949,27,-100,976,92,168,2091,72,179,973,64,2016-06-01,29e300ae,53.2120575605401,-75.1849658567184
1041,62,-70,1103,102,94,2125,115,214,1316,68,2016-07-01,29e300ae,53.2120575605401,-75.1849658567184
851,0,110,851,139,215,1606,109,200,1327,56,2016-08-01,29e300ae,53.2120575605401,-75.1849658567184
407,0,150,407,106,215,1089,53,128,1043,23,2016-09-01,29e300ae,53.2120575605401,-75.1849658567184
135,0,260,135,121,215,594,-6,52,696,10,2016-10-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,280,0,87,215,303,-69,-9,477,4,2016-11-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,230,0,46,215,321,-203,-115,218,2,2016-12-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,260,0,61,215,403,-232,-127,200,2,2017-01-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,260,0,38,215,871,-254,-130,160,4,2017-02-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,170,0,15,215,1636,-211,-72,176,7,2017-03-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,160,0,32,215,1914,-94,18,362,15,2017-04-01,29e300ae,53.2120575605401,-75.1849658567184
757,0,140,757,51,215,2301,10,112,648,52,2017-05-01,29e300ae,53.2120575605401,-75.1849658567184
998,0,180,998,108,215,2103,74,179,964,57,2017-06-01,29e300ae,53.2120575605401,-75.1849658567184
904,368,150,1272,81,79,2362,105,206,1096,79,2017-07-01,29e300ae,53.2120575605401,-75.1849658567184
862,0,140,862,115,215,1554,95,185,1138,51,2017-08-01,29e300ae,53.2120575605401,-75.1849658567184
469,0,100,469,83,215,1269,58,132,1013,27,2017-09-01,29e300ae,53.2120575605401,-75.1849658567184
220,0,190,220,121,215,550,10,69,728,14,2017-10-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,230,0,92,215,290,-92,-33,344,4,2017-11-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,230,0,62,215,276,-202,-115,218,0,2017-12-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,200,0,42,215,486,-278,-171,110,2,2018-01-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,220,0,43,215,961,-269,-143,120,3,2018-02-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,130,0,11,215,1518,-179,-44,216,12,2018-03-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,70,0,18,215,2172,-121,-8,253,19,2018-04-01,29e300ae,53.2120575605401,-75.1849658567184
762,0,80,762,61,215,2361,-11,91,508,37,2018-05-01,29e300ae,53.2120575605401,-75.1849658567184
658,567,-160,1225,48,79,3011,56,162,733,83,2018-06-01,29e300ae,53.2120575605401,-75.1849658567184
1156,0,-70,1156,139,215,2221,117,220,1346,90,2018-07-01,29e300ae,53.2120575605401,-75.1849658567184
929,74,-100,1003,85,88,1923,104,194,1149,66,2018-08-01,29e300ae,53.2120575605401,-75.1849658567184
453,0,-60,453,125,215,1098,43,118,914,25,2018-09-01,29e300ae,53.2120575605401,-75.1849658567184
43,0,20,43,74,215,606,-28,28,497,9,2018-10-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,-40,0,53,215,304,-109,-50,355,2,2018-11-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,20,0,61,215,277,-190,-103,258,3,2018-12-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,-20,0,37,215,437,-278,-170,94,2,2019-01-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,60,0,45,215,953,-269,-144,103,3,2019-02-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,100,0,49,215,1457,-206,-73,171,7,2019-03-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,100,0,36,215,2073,-99,10,314,16,2019-04-01,29e300ae,53.2120575605401,-75.1849658567184
825,0,80,825,53,215,2286,9,109,564,42,2019-05-01,29e300ae,53.2120575605401,-75.1849658567184
909,24,100,933,87,174,1899,68,177,958,55,2019-06-01,29e300ae,53.2120575605401,-75.1849658567184
1053,54,120,1107,104,107,1854,121,222,1378,67,2019-07-01,29e300ae,53.2120575605401,-75.1849658567184
735,217,-80,952,73,65,1554,115,206,1304,60,2019-08-01,29e300ae,53.2120575605401,-75.1849658567184
497,0,-150,497,78,215,1104,53,126,936,24,2019-09-01,29e300ae,53.2120575605401,-75.1849658567184
284,0,-220,284,60,215,657,18,75,705,16,2019-10-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,-230,0,60,215,354,-90,-30,366,4,2019-11-01,29e300ae,53.2120575605401,-75.1849658567184
0,0,-130,0,82,215,286,-170,-82,224,2,2019-12-01,29e300ae,53.2120575605401,-75.1849658567184
