aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,833,0,45,298,448,-292,-164,101,1,2015-01-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,778,0,29,298,997,-334,-193,62,2,2015-02-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,752,0,45,298,1516,-222,-65,179,6,2015-03-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,755,0,52,298,1911,-86,39,421,15,2015-04-01,29eddf07,52.2116540860529,-77.9046546189645
981,0,697,981,67,298,2162,21,140,638,52,2015-05-01,29eddf07,52.2116540860529,-77.9046546189645
696,438,579,1134,53,109,2395,63,193,960,64,2015-06-01,29eddf07,52.2116540860529,-77.9046546189645
558,541,444,1099,55,76,1963,116,225,1411,64,2015-07-01,29eddf07,52.2116540860529,-77.9046546189645
788,0,508,788,129,298,1473,119,207,1469,46,2015-08-01,29eddf07,52.2116540860529,-77.9046546189645
499,0,447,499,71,298,1444,67,167,1216,23,2015-09-01,29eddf07,52.2116540860529,-77.9046546189645
209,0,386,227,78,298,689,-10,69,629,16,2015-10-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,251,2,41,298,283,-53,21,539,3,2015-11-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,272,0,61,298,304,-115,-54,381,0,2015-12-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,350,0,67,298,376,-222,-112,201,6,2016-01-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,380,0,39,298,855,-260,-120,146,5,2016-02-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,270,0,11,298,1658,-187,-41,237,11,2016-03-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,180,0,12,298,2201,-113,11,316,13,2016-04-01,29eddf07,52.2116540860529,-77.9046546189645
822,0,220,822,73,298,2272,16,137,705,51,2016-05-01,29eddf07,52.2116540860529,-77.9046546189645
1021,0,360,1021,125,298,2001,70,197,1004,61,2016-06-01,29eddf07,52.2116540860529,-77.9046546189645
1074,80,400,1154,99,160,2167,114,230,1390,67,2016-07-01,29eddf07,52.2116540860529,-77.9046546189645
909,0,500,909,137,298,1728,111,219,1431,61,2016-08-01,29eddf07,52.2116540860529,-77.9046546189645
536,0,550,536,112,298,1234,68,162,1132,31,2016-09-01,29eddf07,52.2116540860529,-77.9046546189645
260,0,600,260,128,298,641,5,82,728,18,2016-10-01,29eddf07,52.2116540860529,-77.9046546189645
5,0,690,5,127,298,289,-44,22,548,12,2016-11-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,630,0,52,298,296,-180,-94,234,6,2016-12-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,600,0,47,298,400,-200,-101,220,5,2017-01-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,570,0,29,298,830,-237,-105,186,6,2017-02-01,29eddf07,52.2116540860529,-77.9046546189645
0,0,450,0,15,298,1603,-195,-42,207,10,2017-03-01,29eddf07,52.2116540860529,-77.9046546189645
