aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,90,0,91,198,388,-222,-120,131,4,2015-01-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,187,0,132,198,706,-238,-130,114,4,2015-02-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,145,0,67,198,1415,-175,-66,173,9,2015-03-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,173,0,73,198,1717,-78,-3,368,10,2015-04-01,2c7b030d,53.4264057101703,-56.7253616766826
532,0,149,583,79,198,2110,-11,68,549,23,2015-05-01,2c7b030d,53.4264057101703,-56.7253616766826
903,0,92,903,79,198,2137,52,146,859,42,2015-06-01,2c7b030d,53.4264057101703,-56.7253616766826
730,5,80,735,76,191,1744,74,143,1047,29,2015-07-01,2c7b030d,53.4264057101703,-56.7253616766826
624,0,78,624,79,198,1461,73,158,1152,26,2015-08-01,2c7b030d,53.4264057101703,-56.7253616766826
514,0,-34,514,71,198,1192,51,125,880,29,2015-09-01,2c7b030d,53.4264057101703,-56.7253616766826
249,0,24,275,97,198,726,1,55,588,18,2015-10-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,-8,0,82,198,370,-57,-5,364,13,2015-11-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,-105,0,54,198,289,-112,-41,261,10,2015-12-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,-110,0,73,198,374,-153,-70,191,8,2016-01-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,50,0,104,198,715,-174,-65,201,7,2016-02-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,-20,0,70,198,1332,-159,-53,178,11,2016-03-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,10,0,61,198,1544,-72,4,377,13,2016-04-01,2c7b030d,53.4264057101703,-56.7253616766826
577,0,-20,577,76,198,1859,0,82,602,23,2016-05-01,2c7b030d,53.4264057101703,-56.7253616766826
785,0,170,785,169,198,1925,49,129,818,36,2016-06-01,2c7b030d,53.4264057101703,-56.7253616766826
842,0,160,842,90,198,1917,79,164,1083,36,2016-07-01,2c7b030d,53.4264057101703,-56.7253616766826
796,0,160,796,97,198,1675,84,171,1113,36,2016-08-01,2c7b030d,53.4264057101703,-56.7253616766826
547,0,130,547,82,198,1122,46,122,813,25,2016-09-01,2c7b030d,53.4264057101703,-56.7253616766826
311,0,220,311,138,198,619,1,58,579,16,2016-10-01,2c7b030d,53.4264057101703,-56.7253616766826
10,0,180,10,81,198,308,-38,13,450,10,2016-11-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,110,0,62,198,256,-147,-68,190,8,2016-12-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,80,0,74,198,362,-156,-70,194,7,2017-01-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,70,0,74,198,734,-173,-84,181,6,2017-02-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,70,0,80,198,1182,-143,-46,198,10,2017-03-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,-100,0,33,198,2004,-72,9,343,15,2017-04-01,2c7b030d,53.4264057101703,-56.7253616766826
532,0,-60,532,91,198,2015,-13,65,522,16,2017-05-01,2c7b030d,53.4264057101703,-56.7253616766826
739,0,10,739,98,198,1913,46,128,828,35,2017-06-01,2c7b030d,53.4264057101703,-56.7253616766826
969,3,10,972,102,194,2160,76,175,1073,50,2017-07-01,2c7b030d,53.4264057101703,-56.7253616766826
788,0,90,788,111,198,1669,83,174,1147,38,2017-08-01,2c7b030d,53.4264057101703,-56.7253616766826
579,0,60,579,82,198,1222,54,134,881,27,2017-09-01,2c7b030d,53.4264057101703,-56.7253616766826
426,0,-70,426,59,198,647,25,91,663,21,2017-10-01,2c7b030d,53.4264057101703,-56.7253616766826
10,0,70,10,117,198,386,-47,11,380,13,2017-11-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,140,0,126,198,234,-98,-26,280,10,2017-12-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,150,0,96,198,348,-173,-90,171,6,2018-01-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,150,0,84,198,791,-205,-91,141,6,2018-02-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,60,0,43,198,1168,-57,7,344,7,2018-03-01,2c7b030d,53.4264057101703,-56.7253616766826
0,0,90,0,70,198,1689,-76,1,313,13,2018-04-01,2c7b030d,53.4264057101703,-56.7253616766826
138,0,110,138,56,198,2388,-33,40,484,20,2018-05-01,2c7b030d,53.4264057101703,-56.7253616766826
732,0,60,732,70,198,2105,27,113,740,29,2018-06-01,2c7b030d,53.4264057101703,-56.7253616766826
1050,0,70,1050,114,198,2337,83,196,1177,52,2018-07-01,2c7b030d,53.4264057101703,-56.7253616766826
834,0,140,834,124,198,1722,89,182,1205,42,2018-08-01,2c7b030d,53.4264057101703,-56.7253616766826
557,60,-80,617,48,95,1317,41,129,837,35,2018-09-01,2c7b030d,53.4264057101703,-56.7253616766826
