aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-176,0,21,140,296,-211,-107,195,0,2015-01-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-101,0,37,140,732,-246,-120,140,2,2015-02-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-109,0,10,140,1443,-130,5,300,13,2015-03-01,2e106c0a,56.2549960447917,-108.788081698935
400,0,-82,539,40,829,2172,-47,85,361,41,2015-04-01,2e106c0a,56.2549960447917,-108.788081698935
949,275,-182,1224,15,356,2888,4,156,491,71,2015-05-01,2e106c0a,56.2549960447917,-108.788081698935
688,653,-237,1341,59,232,2737,82,214,984,84,2015-06-01,2e106c0a,56.2549960447917,-108.788081698935
789,484,-255,1274,77,175,2527,111,224,1293,73,2015-07-01,2e106c0a,56.2549960447917,-108.788081698935
471,488,-296,959,46,142,1884,100,210,1234,63,2015-08-01,2e106c0a,56.2549960447917,-108.788081698935
507,0,-144,507,97,559,1280,43,140,884,34,2015-09-01,2e106c0a,56.2549960447917,-108.788081698935
273,0,-93,279,40,668,783,-5,89,608,26,2015-10-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-73,0,20,668,357,-93,-16,391,3,2015-11-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-65,0,12,668,188,-159,-89,280,0,2015-12-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,150,0,28,592,304,-191,-96,217,2,2016-01-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,150,0,20,592,713,-184,-61,240,9,2016-02-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,160,0,19,592,1256,-113,-2,327,16,2016-03-01,2e106c0a,56.2549960447917,-108.788081698935
339,0,120,339,21,829,2021,-49,75,377,41,2016-04-01,2e106c0a,56.2549960447917,-108.788081698935
1066,35,140,1101,57,768,2542,34,170,707,78,2016-05-01,2e106c0a,56.2549960447917,-108.788081698935
944,320,80,1264,51,304,2627,88,210,1063,84,2016-06-01,2e106c0a,56.2549960447917,-108.788081698935
926,252,80,1178,88,211,2416,116,224,1402,78,2016-07-01,2e106c0a,56.2549960447917,-108.788081698935
714,231,70,945,70,163,1870,100,205,1264,61,2016-08-01,2e106c0a,56.2549960447917,-108.788081698935
424,142,-40,566,42,134,1194,50,148,902,38,2016-09-01,2e106c0a,56.2549960447917,-108.788081698935
59,0,50,59,35,239,571,-15,25,543,15,2016-10-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-50,0,15,239,363,-60,11,469,7,2016-11-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-90,0,13,239,222,-221,-134,167,1,2016-12-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-150,0,10,239,339,-201,-96,197,0,2017-01-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-170,0,19,239,703,-181,-74,230,7,2017-02-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-80,0,34,239,1369,-160,-42,277,8,2017-03-01,2e106c0a,56.2549960447917,-108.788081698935
201,0,200,201,59,753,2091,-46,61,386,33,2017-04-01,2e106c0a,56.2549960447917,-108.788081698935
1037,0,230,1037,54,829,2276,29,157,627,68,2017-05-01,2e106c0a,56.2549960447917,-108.788081698935
943,175,260,1118,68,528,2331,82,193,974,71,2017-06-01,2e106c0a,56.2549960447917,-108.788081698935
1123,207,260,1330,99,344,2559,116,237,1303,80,2017-07-01,2e106c0a,56.2549960447917,-108.788081698935
575,590,140,1165,48,227,2212,98,226,1185,81,2017-08-01,2e106c0a,56.2549960447917,-108.788081698935
334,314,-170,648,29,173,1335,55,163,932,48,2017-09-01,2e106c0a,56.2549960447917,-108.788081698935
263,0,-110,263,51,382,581,-13,61,553,22,2017-10-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-80,0,33,382,366,-158,-83,239,5,2017-11-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-100,0,12,382,219,-208,-108,216,0,2017-12-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-60,0,30,382,296,-228,-131,177,1,2018-01-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,-70,0,11,382,795,-256,-123,130,5,2018-02-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,20,0,18,382,1422,-165,-30,237,13,2018-03-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,120,0,36,382,2240,-93,43,316,29,2018-04-01,2e106c0a,56.2549960447917,-108.788081698935
1151,0,60,1151,26,812,2516,33,184,666,87,2018-05-01,2e106c0a,56.2549960447917,-108.788081698935
999,138,80,1137,81,581,2210,93,207,1103,62,2018-06-01,2e106c0a,56.2549960447917,-108.788081698935
1096,95,130,1191,105,484,2319,111,219,1292,65,2018-07-01,2e106c0a,56.2549960447917,-108.788081698935
741,215,90,956,60,314,1914,90,199,1175,60,2018-08-01,2e106c0a,56.2549960447917,-108.788081698935
458,0,110,458,57,396,1269,8,89,672,25,2018-09-01,2e106c0a,56.2549960447917,-108.788081698935
49,0,120,49,23,416,790,-47,47,433,22,2018-10-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,140,0,35,416,317,-133,-75,289,2,2018-11-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,160,0,24,416,214,-180,-94,226,0,2018-12-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,190,0,24,416,306,-238,-130,135,2,2019-01-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,160,0,12,416,776,-287,-161,77,4,2019-02-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,110,0,6,416,1483,-121,19,281,19,2019-03-01,2e106c0a,56.2549960447917,-108.788081698935
500,0,60,500,25,829,2041,-39,81,372,40,2019-04-01,2e106c0a,56.2549960447917,-108.788081698935
842,284,-200,1126,12,340,2729,22,147,495,70,2019-05-01,2e106c0a,56.2549960447917,-108.788081698935
984,87,-100,1071,99,296,2305,80,193,1020,64,2019-06-01,2e106c0a,56.2549960447917,-108.788081698935
847,352,-120,1199,80,207,2490,109,217,1280,68,2019-07-01,2e106c0a,56.2549960447917,-108.788081698935
803,0,230,803,135,685,1656,79,189,1229,40,2019-08-01,2e106c0a,56.2549960447917,-108.788081698935
429,76,220,505,35,587,1178,52,146,942,34,2019-09-01,2e106c0a,56.2549960447917,-108.788081698935
56,0,240,56,25,613,683,-40,42,457,19,2019-10-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,230,0,19,613,346,-119,-44,298,5,2019-11-01,2e106c0a,56.2549960447917,-108.788081698935
0,0,220,0,14,613,217,-203,-108,178,2,2019-12-01,2e106c0a,56.2549960447917,-108.788081698935
