aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,180,0,20,205,321,-192,-84,211,2,2015-01-01,3080abf9,55.5631042523704,-110.136312554979
0,0,234,0,36,205,704,-223,-97,160,4,2015-02-01,3080abf9,55.5631042523704,-110.136312554979
0,0,195,0,10,205,1397,-112,17,337,14,2015-03-01,3080abf9,55.5631042523704,-110.136312554979
601,0,187,682,41,978,2056,-43,95,369,45,2015-04-01,3080abf9,55.5631042523704,-110.136312554979
890,351,57,1241,15,374,2830,-1,159,502,71,2015-05-01,3080abf9,55.5631042523704,-110.136312554979
717,636,-177,1353,63,255,2787,70,213,969,81,2015-06-01,3080abf9,55.5631042523704,-110.136312554979
840,463,-210,1303,82,197,2586,100,226,1266,73,2015-07-01,3080abf9,55.5631042523704,-110.136312554979
458,521,-265,979,44,161,1917,90,213,1197,65,2015-08-01,3080abf9,55.5631042523704,-110.136312554979
561,0,-100,561,111,657,1358,34,148,848,39,2015-09-01,3080abf9,55.5631042523704,-110.136312554979
342,6,163,352,35,652,820,-7,107,612,33,2015-10-01,3080abf9,55.5631042523704,-110.136312554979
0,0,141,0,17,652,382,-89,-4,401,5,2015-11-01,3080abf9,55.5631042523704,-110.136312554979
0,0,116,0,12,652,233,-147,-72,282,0,2015-12-01,3080abf9,55.5631042523704,-110.136312554979
0,0,140,0,29,598,326,-174,-77,234,5,2016-01-01,3080abf9,55.5631042523704,-110.136312554979
0,0,150,0,17,598,705,-161,-40,260,12,2016-02-01,3080abf9,55.5631042523704,-110.136312554979
0,0,170,0,22,598,1225,-98,7,354,16,2016-03-01,3080abf9,55.5631042523704,-110.136312554979
519,0,120,519,21,978,1933,-43,86,407,44,2016-04-01,3080abf9,55.5631042523704,-110.136312554979
1006,101,150,1107,68,804,2470,26,173,711,74,2016-05-01,3080abf9,55.5631042523704,-110.136312554979
933,328,80,1261,54,385,2678,74,209,1048,80,2016-06-01,3080abf9,55.5631042523704,-110.136312554979
935,228,60,1163,87,275,2408,104,223,1374,72,2016-07-01,3080abf9,55.5631042523704,-110.136312554979
769,171,60,940,75,219,1832,89,208,1236,61,2016-08-01,3080abf9,55.5631042523704,-110.136312554979
427,180,-40,607,40,175,1266,40,155,876,42,2016-09-01,3080abf9,55.5631042523704,-110.136312554979
111,0,40,111,32,284,548,-18,39,545,15,2016-10-01,3080abf9,55.5631042523704,-110.136312554979
3,0,-90,3,11,294,392,-54,24,475,9,2016-11-01,3080abf9,55.5631042523704,-110.136312554979
0,0,-140,0,10,294,254,-206,-115,175,3,2016-12-01,3080abf9,55.5631042523704,-110.136312554979
0,0,-210,0,6,294,360,-187,-78,202,3,2017-01-01,3080abf9,55.5631042523704,-110.136312554979
0,0,-230,0,17,294,717,-164,-56,230,9,2017-02-01,3080abf9,55.5631042523704,-110.136312554979
0,0,-180,0,42,294,1355,-145,-34,299,8,2017-03-01,3080abf9,55.5631042523704,-110.136312554979
353,0,190,353,73,978,1940,-40,70,405,31,2017-04-01,3080abf9,55.5631042523704,-110.136312554979
1053,24,240,1077,61,937,2304,21,163,639,66,2017-05-01,3080abf9,55.5631042523704,-110.136312554979
974,144,280,1118,78,705,2323,67,193,957,67,2017-06-01,3080abf9,55.5631042523704,-110.136312554979
1184,131,300,1315,110,567,2556,104,236,1269,75,2017-07-01,3080abf9,55.5631042523704,-110.136312554979
661,503,180,1164,43,317,2147,87,227,1143,73,2017-08-01,3080abf9,55.5631042523704,-110.136312554979
