aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
142,0,-144,144,258,265,141,28,77,820,8,2015-01-01,311ca8be,53.9992882685653,-130.449943553462
180,0,-201,183,127,265,540,20,78,751,13,2015-02-01,311ca8be,53.9992882685653,-130.449943553462
317,0,-162,321,199,265,885,31,89,802,16,2015-03-01,311ca8be,53.9992882685653,-130.449943553462
461,0,-66,466,244,265,1426,36,91,793,18,2015-04-01,311ca8be,53.9992882685653,-130.449943553462
376,585,-164,961,22,98,2696,78,142,1003,34,2015-05-01,311ca8be,53.9992882685653,-130.449943553462
681,242,-201,923,69,68,2285,108,165,1241,35,2015-06-01,311ca8be,53.9992882685653,-130.449943553462
888,0,-199,888,120,265,1919,130,177,1396,37,2015-07-01,311ca8be,53.9992882685653,-130.449943553462
704,0,-123,704,185,265,1483,128,174,1410,33,2015-08-01,311ca8be,53.9992882685653,-130.449943553462
357,0,-96,357,224,265,965,88,134,1191,15,2015-09-01,311ca8be,53.9992882685653,-130.449943553462
341,0,-102,341,328,265,640,74,122,1005,22,2015-10-01,311ca8be,53.9992882685653,-130.449943553462
115,0,-183,119,167,265,378,11,63,714,10,2015-11-01,311ca8be,53.9992882685653,-130.449943553462
94,0,-253,109,174,265,217,1,49,644,10,2015-12-01,311ca8be,53.9992882685653,-130.449943553462
173,0,-240,173,242,265,240,12,69,704,13,2016-01-01,311ca8be,53.9992882685653,-130.449943553462
265,0,-120,265,315,265,364,29,84,746,16,2016-02-01,311ca8be,53.9992882685653,-130.449943553462
384,0,-170,384,129,265,1068,26,88,748,19,2016-03-01,311ca8be,53.9992882685653,-130.449943553462
487,0,-130,487,189,265,1372,50,109,882,20,2016-04-01,311ca8be,53.9992882685653,-130.449943553462
854,0,-170,854,108,265,2211,76,135,950,34,2016-05-01,311ca8be,53.9992882685653,-130.449943553462
774,62,-210,836,70,158,2192,101,151,1174,30,2016-06-01,311ca8be,53.9992882685653,-130.449943553462
631,161,-230,792,59,87,1800,128,168,1388,26,2016-07-01,311ca8be,53.9992882685653,-130.449943553462
636,210,-270,846,64,63,1765,128,188,1415,34,2016-08-01,311ca8be,53.9992882685653,-130.449943553462
466,0,-260,466,235,265,1141,93,148,1214,19,2016-09-01,311ca8be,53.9992882685653,-130.449943553462
319,0,-390,319,143,265,858,59,103,894,28,2016-10-01,311ca8be,53.9992882685653,-130.449943553462
203,0,-300,203,330,265,274,40,89,843,13,2016-11-01,311ca8be,53.9992882685653,-130.449943553462
24,0,-330,24,189,265,268,-31,28,502,14,2016-12-01,311ca8be,53.9992882685653,-130.449943553462
227,0,-370,227,206,265,265,-4,59,584,11,2017-01-01,311ca8be,53.9992882685653,-130.449943553462
145,0,-440,145,81,265,740,-20,46,496,19,2017-02-01,311ca8be,53.9992882685653,-130.449943553462
224,0,-340,224,220,265,940,-6,49,606,11,2017-03-01,311ca8be,53.9992882685653,-130.449943553462
482,0,-360,482,130,265,1545,36,96,792,22,2017-04-01,311ca8be,53.9992882685653,-130.449943553462
717,0,-310,717,151,265,1955,69,126,960,22,2017-05-01,311ca8be,53.9992882685653,-130.449943553462
812,0,-220,812,152,265,1911,89,141,1024,27,2017-06-01,311ca8be,53.9992882685653,-130.449943553462
766,0,-200,766,92,265,1773,108,157,1232,26,2017-07-01,311ca8be,53.9992882685653,-130.449943553462
758,0,-90,758,213,265,1474,123,181,1365,28,2017-08-01,311ca8be,53.9992882685653,-130.449943553462
502,0,-80,502,222,265,1226,102,157,1262,22,2017-09-01,311ca8be,53.9992882685653,-130.449943553462
391,0,-130,391,276,265,768,53,112,855,22,2017-10-01,311ca8be,53.9992882685653,-130.449943553462
187,0,-190,187,195,265,348,6,58,648,16,2017-11-01,311ca8be,53.9992882685653,-130.449943553462
88,0,-350,88,78,265,228,-1,51,659,12,2017-12-01,311ca8be,53.9992882685653,-130.449943553462
131,0,-280,131,277,265,199,-1,56,672,11,2018-01-01,311ca8be,53.9992882685653,-130.449943553462
20,0,-260,20,186,265,535,-36,32,536,14,2018-02-01,311ca8be,53.9992882685653,-130.449943553462
272,0,-330,272,85,265,1070,-3,61,623,20,2018-03-01,311ca8be,53.9992882685653,-130.449943553462
494,0,-320,494,155,265,1622,27,89,742,23,2018-04-01,311ca8be,53.9992882685653,-130.449943553462
688,59,-360,747,62,164,1922,75,134,978,27,2018-05-01,311ca8be,53.9992882685653,-130.449943553462
792,0,-360,792,84,172,1972,93,145,1104,27,2018-06-01,311ca8be,53.9992882685653,-130.449943553462
353,704,-430,1057,29,90,2584,118,176,1288,42,2018-07-01,311ca8be,53.9992882685653,-130.449943553462
211,648,-510,859,20,64,1816,120,182,1331,40,2018-08-01,311ca8be,53.9992882685653,-130.449943553462
432,0,-510,432,196,265,1331,88,132,1180,35,2018-09-01,311ca8be,53.9992882685653,-130.449943553462
321,0,-540,321,237,265,758,58,112,921,28,2018-10-01,311ca8be,53.9992882685653,-130.449943553462
173,0,-570,173,184,265,268,38,88,845,10,2018-11-01,311ca8be,53.9992882685653,-130.449943553462
182,0,-390,182,383,265,189,9,60,667,12,2018-12-01,311ca8be,53.9992882685653,-130.449943553462
161,0,-330,161,277,265,176,18,77,771,11,2019-01-01,311ca8be,53.9992882685653,-130.449943553462
60,0,-420,60,55,265,772,-29,29,351,27,2019-02-01,311ca8be,53.9992882685653,-130.449943553462
413,0,-490,413,83,265,1354,23,80,654,25,2019-03-01,311ca8be,53.9992882685653,-130.449943553462
543,0,-410,543,205,265,1651,40,101,796,23,2019-04-01,311ca8be,53.9992882685653,-130.449943553462
520,222,-450,742,37,98,2211,75,130,1028,24,2019-05-01,311ca8be,53.9992882685653,-130.449943553462
751,0,-370,751,134,265,1903,100,152,1199,28,2019-06-01,311ca8be,53.9992882685653,-130.449943553462
850,0,-320,850,112,265,2003,127,175,1416,32,2019-07-01,311ca8be,53.9992882685653,-130.449943553462
753,0,-230,753,186,265,1662,124,177,1390,35,2019-08-01,311ca8be,53.9992882685653,-130.449943553462
486,0,-240,486,180,265,1209,101,156,1250,26,2019-09-01,311ca8be,53.9992882685653,-130.449943553462
340,0,-270,340,275,265,603,59,108,906,21,2019-10-01,311ca8be,53.9992882685653,-130.449943553462
181,0,-190,181,331,265,255,46,97,898,13,2019-11-01,311ca8be,53.9992882685653,-130.449943553462
168,0,-140,168,295,265,168,21,72,762,10,2019-12-01,311ca8be,53.9992882685653,-130.449943553462
