aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,147,0,109,194,385,-239,-137,105,5,2015-01-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,232,0,108,194,729,-257,-149,93,4,2015-02-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,147,0,51,194,1428,-194,-82,150,8,2015-03-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,171,0,70,194,1745,-90,-10,344,10,2015-04-01,33e9ec3d,53.8150061588538,-58.5695299371213
498,0,150,569,74,194,2019,-16,68,519,25,2015-05-01,33e9ec3d,53.8150061588538,-58.5695299371213
935,0,81,935,64,194,2134,46,149,829,45,2015-06-01,33e9ec3d,53.8150061588538,-58.5695299371213
775,33,-23,809,76,137,1767,77,154,1050,35,2015-07-01,33e9ec3d,53.8150061588538,-58.5695299371213
671,0,-112,671,83,194,1451,72,165,1137,31,2015-08-01,33e9ec3d,53.8150061588538,-58.5695299371213
521,0,-159,521,82,194,1215,40,128,863,29,2015-09-01,33e9ec3d,53.8150061588538,-58.5695299371213
175,0,-166,228,70,194,718,-11,51,557,17,2015-10-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-180,0,68,194,329,-75,-11,347,11,2015-11-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-244,0,39,194,278,-134,-55,229,8,2015-12-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-210,0,85,194,361,-169,-83,174,7,2016-01-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-110,0,95,194,728,-196,-81,184,6,2016-02-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-120,0,69,194,1412,-180,-69,163,10,2016-03-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-90,0,63,194,1580,-90,-5,360,11,2016-04-01,33e9ec3d,53.8150061588538,-58.5695299371213
595,0,-100,595,72,194,1933,-9,84,581,27,2016-05-01,33e9ec3d,53.8150061588538,-58.5695299371213
799,0,190,799,156,194,2019,40,131,806,37,2016-06-01,33e9ec3d,53.8150061588538,-58.5695299371213
870,16,160,886,89,166,1905,82,172,1090,42,2016-07-01,33e9ec3d,53.8150061588538,-58.5695299371213
854,0,180,854,115,194,1649,79,177,1073,42,2016-08-01,33e9ec3d,53.8150061588538,-58.5695299371213
573,0,120,573,83,194,1153,35,123,775,27,2016-09-01,33e9ec3d,53.8150061588538,-58.5695299371213
259,0,190,259,120,194,607,-11,53,552,16,2016-10-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,150,0,72,194,322,-58,5,435,8,2016-11-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,90,0,52,194,271,-173,-85,159,7,2016-12-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,60,0,73,194,373,-173,-83,174,6,2017-01-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-10,0,58,194,756,-195,-98,164,5,2017-02-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,10,0,81,194,1344,-165,-61,183,9,2017-03-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-120,0,29,194,2023,-88,4,330,14,2017-04-01,33e9ec3d,53.8150061588538,-58.5695299371213
519,0,-90,519,82,194,2132,-21,67,511,17,2017-05-01,33e9ec3d,53.8150061588538,-58.5695299371213
747,0,-90,747,81,194,1935,37,129,809,32,2017-06-01,33e9ec3d,53.8150061588538,-58.5695299371213
999,0,-70,999,109,194,2005,78,184,1080,54,2017-07-01,33e9ec3d,53.8150061588538,-58.5695299371213
818,0,70,818,126,194,1629,77,178,1125,43,2017-08-01,33e9ec3d,53.8150061588538,-58.5695299371213
587,0,0,587,104,194,1230,43,135,857,32,2017-09-01,33e9ec3d,53.8150061588538,-58.5695299371213
429,0,-80,429,63,194,670,13,87,635,22,2017-10-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,70,0,108,194,350,-65,2,370,11,2017-11-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,120,0,98,194,223,-123,-42,252,8,2017-12-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,120,0,84,194,365,-193,-105,154,5,2018-01-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,130,0,72,194,797,-225,-105,124,4,2018-02-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-80,0,44,194,1229,-77,-7,326,6,2018-03-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,30,0,64,194,1751,-92,-5,304,11,2018-04-01,33e9ec3d,53.8150061588538,-58.5695299371213
87,0,70,87,52,194,2368,-43,41,463,19,2018-05-01,33e9ec3d,53.8150061588538,-58.5695299371213
745,0,-40,745,63,194,2188,17,114,717,34,2018-06-01,33e9ec3d,53.8150061588538,-58.5695299371213
1084,0,20,1084,129,194,2184,85,203,1150,67,2018-07-01,33e9ec3d,53.8150061588538,-58.5695299371213
875,0,120,875,135,194,1701,84,187,1165,54,2018-08-01,33e9ec3d,53.8150061588538,-58.5695299371213
602,42,-100,644,56,122,1314,30,131,794,39,2018-09-01,33e9ec3d,53.8150061588538,-58.5695299371213
82,0,90,82,110,194,543,-19,32,539,13,2018-10-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-10,0,75,194,335,-86,-27,382,5,2018-11-01,33e9ec3d,53.8150061588538,-58.5695299371213
0,0,-70,0,49,194,230,-140,-60,229,6,2018-12-01,33e9ec3d,53.8150061588538,-58.5695299371213
