aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,353,0,15,588,423,-228,-130,192,0,2015-01-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,365,0,24,588,984,-296,-171,71,4,2015-02-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,292,0,18,588,1468,-145,-8,280,11,2015-03-01,33f9b49a,52.5896620423616,-96.5606361697156
161,0,207,321,11,589,2036,-52,75,418,31,2015-04-01,33f9b49a,52.5896620423616,-96.5606361697156
999,10,186,1008,49,572,2526,14,138,642,49,2015-05-01,33f9b49a,52.5896620423616,-96.5606361697156
806,387,97,1194,47,216,2635,91,208,1222,59,2015-06-01,33f9b49a,52.5896620423616,-96.5606361697156
788,424,128,1211,76,150,2460,127,237,1647,56,2015-07-01,33f9b49a,52.5896620423616,-96.5606361697156
843,0,228,843,123,476,1680,110,220,1562,43,2015-08-01,33f9b49a,52.5896620423616,-96.5606361697156
500,20,195,520,50,451,1290,79,175,1276,26,2015-09-01,33f9b49a,52.5896620423616,-96.5606361697156
270,0,224,274,61,589,750,8,94,739,18,2015-10-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,330,0,58,589,326,-53,4,496,3,2015-11-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,371,0,38,589,284,-130,-74,313,0,2015-12-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,320,0,16,589,399,-205,-118,204,0,2016-01-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,300,0,17,589,860,-212,-90,187,4,2016-02-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,260,0,24,589,1525,-125,9,316,13,2016-03-01,33f9b49a,52.5896620423616,-96.5606361697156
54,0,320,54,45,589,2098,-64,54,417,26,2016-04-01,33f9b49a,52.5896620423616,-96.5606361697156
993,0,370,993,67,589,2249,41,162,759,64,2016-05-01,33f9b49a,52.5896620423616,-96.5606361697156
963,132,400,1095,78,362,2396,95,204,1236,68,2016-06-01,33f9b49a,52.5896620423616,-96.5606361697156
684,367,380,1051,55,196,2159,127,231,1671,65,2016-07-01,33f9b49a,52.5896620423616,-96.5606361697156
910,0,410,910,104,273,1872,113,219,1557,49,2016-08-01,33f9b49a,52.5896620423616,-96.5606361697156
526,0,400,526,73,435,1201,78,163,1208,30,2016-09-01,33f9b49a,52.5896620423616,-96.5606361697156
211,0,390,211,44,589,476,2,72,741,9,2016-10-01,33f9b49a,52.5896620423616,-96.5606361697156
44,0,410,44,42,589,380,-28,39,553,5,2016-11-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,400,0,27,589,294,-197,-135,191,0,2016-12-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,350,0,17,589,398,-203,-113,218,0,2017-01-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,300,0,11,589,939,-192,-85,207,4,2017-02-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,250,0,22,589,1496,-166,-32,256,7,2017-03-01,33f9b49a,52.5896620423616,-96.5606361697156
163,0,230,163,27,589,2074,-52,64,455,29,2017-04-01,33f9b49a,52.5896620423616,-96.5606361697156
894,0,190,894,28,589,2161,28,133,664,57,2017-05-01,33f9b49a,52.5896620423616,-96.5606361697156
829,181,150,1010,54,277,2034,93,200,1143,63,2017-06-01,33f9b49a,52.5896620423616,-96.5606361697156
542,732,80,1274,46,173,2590,120,241,1571,81,2017-07-01,33f9b49a,52.5896620423616,-96.5606361697156
502,520,-180,1022,48,129,2171,99,219,1415,71,2017-08-01,33f9b49a,52.5896620423616,-96.5606361697156
563,0,-100,563,95,469,1292,74,165,1170,36,2017-09-01,33f9b49a,52.5896620423616,-96.5606361697156
329,0,-80,329,47,584,680,2,86,691,20,2017-10-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,30,0,36,584,395,-129,-51,318,5,2017-11-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,0,0,17,584,321,-215,-140,179,0,2017-12-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,-10,0,18,584,410,-243,-142,156,1,2018-01-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,-20,0,10,584,986,-281,-140,90,2,2018-02-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,-70,0,17,584,1543,-165,-26,232,11,2018-03-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,-100,0,9,584,2352,-105,29,338,26,2018-04-01,33f9b49a,52.5896620423616,-96.5606361697156
1029,0,-100,1029,38,589,2489,38,178,801,73,2018-05-01,33f9b49a,52.5896620423616,-96.5606361697156
890,175,-110,1065,62,288,2160,111,216,1346,73,2018-06-01,33f9b49a,52.5896620423616,-96.5606361697156
598,521,-120,1119,51,176,2180,126,235,1635,59,2018-07-01,33f9b49a,52.5896620423616,-96.5606361697156
613,362,-150,975,60,131,2188,106,216,1520,67,2018-08-01,33f9b49a,52.5896620423616,-96.5606361697156
313,0,140,313,100,589,1238,40,124,1185,21,2018-09-01,33f9b49a,52.5896620423616,-96.5606361697156
65,0,260,65,60,589,659,-31,43,582,10,2018-10-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,270,0,28,589,390,-132,-67,313,1,2018-11-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,250,0,20,589,313,-163,-99,238,-1,2018-12-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,280,0,34,589,468,-262,-161,124,0,2019-01-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,250,0,13,589,951,-276,-153,106,2,2019-02-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,170,0,14,589,1501,-156,-22,247,11,2019-03-01,33f9b49a,52.5896620423616,-96.5606361697156
98,0,130,98,16,589,2076,-55,56,381,28,2019-04-01,33f9b49a,52.5896620423616,-96.5606361697156
991,0,120,991,41,589,2533,16,128,554,53,2019-05-01,33f9b49a,52.5896620423616,-96.5606361697156
707,540,-170,1247,35,217,2637,110,213,1086,84,2019-06-01,33f9b49a,52.5896620423616,-96.5606361697156
488,835,-220,1323,44,150,2494,140,246,1625,73,2019-07-01,33f9b49a,52.5896620423616,-96.5606361697156
846,195,-200,1041,86,116,1989,114,220,1467,54,2019-08-01,33f9b49a,52.5896620423616,-96.5606361697156
470,88,-240,558,47,97,1287,78,165,1175,30,2019-09-01,33f9b49a,52.5896620423616,-96.5606361697156
160,0,220,160,120,589,589,-23,58,636,9,2019-10-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,220,0,23,589,423,-116,-48,333,1,2019-11-01,33f9b49a,52.5896620423616,-96.5606361697156
0,0,180,0,14,589,288,-194,-122,192,0,2019-12-01,33f9b49a,52.5896620423616,-96.5606361697156
