aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,300,0,16,362,273,-310,-216,83,0,2015-01-01,345add1b,58.39841420216,-94.3055136447161
0,0,241,0,7,362,695,-352,-266,36,1,2015-02-01,345add1b,58.39841420216,-94.3055136447161
0,0,195,0,12,362,1450,-252,-144,140,0,2015-03-01,345add1b,58.39841420216,-94.3055136447161
0,0,163,0,15,362,2131,-142,-45,312,1,2015-04-01,345add1b,58.39841420216,-94.3055136447161
8,0,121,72,18,362,2598,-55,46,395,23,2015-05-01,345add1b,58.39841420216,-94.3055136447161
928,0,203,928,64,362,2251,51,142,829,43,2015-06-01,345add1b,58.39841420216,-94.3055136447161
877,88,275,965,76,211,2130,82,188,1211,43,2015-07-01,345add1b,58.39841420216,-94.3055136447161
566,58,261,625,55,165,1510,87,161,1219,26,2015-08-01,345add1b,58.39841420216,-94.3055136447161
321,0,298,321,71,362,974,49,111,954,14,2015-09-01,345add1b,58.39841420216,-94.3055136447161
1,0,329,8,39,362,469,-38,24,556,4,2015-10-01,345add1b,58.39841420216,-94.3055136447161
0,0,301,0,27,362,264,-135,-65,300,0,2015-11-01,345add1b,58.39841420216,-94.3055136447161
0,0,305,0,26,362,145,-201,-140,214,0,2015-12-01,345add1b,58.39841420216,-94.3055136447161
0,0,290,0,17,362,233,-259,-187,115,1,2016-01-01,345add1b,58.39841420216,-94.3055136447161
0,0,270,0,15,362,728,-305,-205,98,1,2016-02-01,345add1b,58.39841420216,-94.3055136447161
0,0,250,0,17,362,1458,-232,-127,187,2,2016-03-01,345add1b,58.39841420216,-94.3055136447161
0,0,170,0,6,362,2427,-173,-53,303,4,2016-04-01,345add1b,58.39841420216,-94.3055136447161
359,0,100,359,24,362,2360,-24,66,643,19,2016-05-01,345add1b,58.39841420216,-94.3055136447161
672,212,-170,884,16,133,2576,50,154,968,55,2016-06-01,345add1b,58.39841420216,-94.3055136447161
558,294,-150,852,54,92,2173,91,194,1415,45,2016-07-01,345add1b,58.39841420216,-94.3055136447161
629,0,-90,629,68,113,1664,81,174,1332,36,2016-08-01,345add1b,58.39841420216,-94.3055136447161
292,0,270,292,122,362,912,45,119,1031,23,2016-09-01,345add1b,58.39841420216,-94.3055136447161
0,0,360,0,51,362,432,-44,0,617,7,2016-10-01,345add1b,58.39841420216,-94.3055136447161
0,0,320,0,24,362,257,-104,-41,342,0,2016-11-01,345add1b,58.39841420216,-94.3055136447161
0,0,250,0,11,362,173,-264,-191,137,0,2016-12-01,345add1b,58.39841420216,-94.3055136447161
0,0,250,0,21,362,224,-258,-180,105,0,2017-01-01,345add1b,58.39841420216,-94.3055136447161
0,0,420,0,52,362,652,-275,-198,124,0,2017-02-01,345add1b,58.39841420216,-94.3055136447161
0,0,570,0,55,362,1441,-255,-147,171,1,2017-03-01,345add1b,58.39841420216,-94.3055136447161
0,0,490,0,13,362,2337,-157,-52,323,5,2017-04-01,345add1b,58.39841420216,-94.3055136447161
