aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-111,0,21,240,330,-107,-9,257,17,2015-01-01,34d54331,54.1283366073993,-118.099939572292
0,0,-104,0,24,240,667,-106,-13,244,17,2015-02-01,34d54331,54.1283366073993,-118.099939572292
2,0,-124,27,24,328,1265,-67,46,311,30,2015-03-01,34d54331,54.1283366073993,-118.099939572292
492,0,-194,603,15,694,1879,-38,83,324,46,2015-04-01,34d54331,54.1283366073993,-118.099939572292
815,346,-353,1161,17,255,2513,8,154,463,74,2015-05-01,34d54331,54.1283366073993,-118.099939572292
622,665,-414,1287,57,177,2572,58,196,683,92,2015-06-01,34d54331,54.1283366073993,-118.099939572292
554,825,-498,1379,54,137,2584,68,213,803,96,2015-07-01,34d54331,54.1283366073993,-118.099939572292
1110,0,-389,1110,123,197,2095,65,204,770,92,2015-08-01,34d54331,54.1283366073993,-118.099939572292
596,0,-304,596,74,302,1286,12,135,583,52,2015-09-01,34d54331,54.1283366073993,-118.099939572292
308,64,-257,377,29,268,799,-10,110,491,46,2015-10-01,34d54331,54.1283366073993,-118.099939572292
0,0,-161,0,56,268,401,-96,1,276,18,2015-11-01,34d54331,54.1283366073993,-118.099939572292
0,0,-146,0,11,268,283,-122,-27,243,13,2015-12-01,34d54331,54.1283366073993,-118.099939572292
0,0,-150,0,33,215,368,-117,-18,273,19,2016-01-01,34d54331,54.1283366073993,-118.099939572292
0,0,-140,0,23,215,738,-82,26,308,31,2016-02-01,34d54331,54.1283366073993,-118.099939572292
17,0,-140,17,29,277,1285,-67,38,324,33,2016-03-01,34d54331,54.1283366073993,-118.099939572292
676,0,-190,676,29,694,1902,-27,101,411,59,2016-04-01,34d54331,54.1283366073993,-118.099939572292
866,152,-220,1018,59,433,2274,9,149,506,68,2016-05-01,34d54331,54.1283366073993,-118.099939572292
959,211,-220,1170,82,250,2382,52,187,708,78,2016-06-01,34d54331,54.1283366073993,-118.099939572292
1031,107,-190,1138,104,204,2206,73,202,902,77,2016-07-01,34d54331,54.1283366073993,-118.099939572292
802,230,-190,1032,79,152,1919,67,202,827,77,2016-08-01,34d54331,54.1283366073993,-118.099939572292
566,90,-190,656,57,130,1320,13,143,615,60,2016-09-01,34d54331,54.1283366073993,-118.099939572292
222,0,-120,222,36,226,658,-27,65,457,28,2016-10-01,34d54331,54.1283366073993,-118.099939572292
10,0,-130,10,29,253,356,-58,39,427,24,2016-11-01,34d54331,54.1283366073993,-118.099939572292
0,0,-140,0,25,253,281,-170,-65,140,12,2016-12-01,34d54331,54.1283366073993,-118.099939572292
0,0,-130,0,36,253,371,-141,-26,193,17,2017-01-01,34d54331,54.1283366073993,-118.099939572292
0,0,-100,0,28,253,789,-128,-19,199,18,2017-02-01,34d54331,54.1283366073993,-118.099939572292
0,0,-70,0,37,253,1292,-112,-8,258,20,2017-03-01,34d54331,54.1283366073993,-118.099939572292
274,0,30,274,37,694,1524,-43,67,370,32,2017-04-01,34d54331,54.1283366073993,-118.099939572292
1042,0,60,1042,55,694,2309,8,153,504,71,2017-05-01,34d54331,54.1283366073993,-118.099939572292
1054,126,60,1180,88,478,2418,43,179,640,81,2017-06-01,34d54331,54.1283366073993,-118.099939572292
1104,238,-40,1342,91,242,2671,65,206,764,93,2017-07-01,34d54331,54.1283366073993,-118.099939572292
759,438,-100,1197,72,171,2220,60,215,751,91,2017-08-01,34d54331,54.1283366073993,-118.099939572292
553,152,-120,705,54,133,1371,23,163,641,63,2017-09-01,34d54331,54.1283366073993,-118.099939572292
329,127,-140,456,32,110,693,-23,86,389,43,2017-10-01,34d54331,54.1283366073993,-118.099939572292
0,0,-160,0,31,110,364,-113,-17,247,15,2017-11-01,34d54331,54.1283366073993,-118.099939572292
0,0,-190,0,24,110,320,-148,-34,206,17,2017-12-01,34d54331,54.1283366073993,-118.099939572292
0,0,-210,0,34,110,345,-130,-28,255,15,2018-01-01,34d54331,54.1283366073993,-118.099939572292
0,0,-180,0,26,110,784,-172,-43,139,16,2018-02-01,34d54331,54.1283366073993,-118.099939572292
0,0,-150,0,35,110,1310,-113,4,224,25,2018-03-01,34d54331,54.1283366073993,-118.099939572292
75,0,-90,75,30,275,1987,-67,60,284,42,2018-04-01,34d54331,54.1283366073993,-118.099939572292
1095,0,-80,1095,57,694,2450,26,169,548,89,2018-05-01,34d54331,54.1283366073993,-118.099939572292
1048,150,-90,1198,83,436,2437,45,175,680,91,2018-06-01,34d54331,54.1283366073993,-118.099939572292
1051,192,-100,1243,93,268,2240,64,211,784,72,2018-07-01,34d54331,54.1283366073993,-118.099939572292
836,323,-130,1159,79,182,2087,56,202,759,92,2018-08-01,34d54331,54.1283366073993,-118.099939572292
584,0,-110,584,63,192,1135,-10,108,463,35,2018-09-01,34d54331,54.1283366073993,-118.099939572292
293,40,-90,333,30,179,793,-37,84,365,40,2018-10-01,34d54331,54.1283366073993,-118.099939572292
0,0,-120,0,29,179,308,-85,7,317,15,2018-11-01,34d54331,54.1283366073993,-118.099939572292
0,0,-130,0,26,179,275,-124,-24,238,16,2018-12-01,34d54331,54.1283366073993,-118.099939572292
0,0,-110,0,46,179,333,-104,3,272,18,2019-01-01,34d54331,54.1283366073993,-118.099939572292
0,0,-80,0,30,179,813,-260,-144,32,11,2019-02-01,34d54331,54.1283366073993,-118.099939572292
0,0,-130,0,16,179,1517,-102,13,191,29,2019-03-01,34d54331,54.1283366073993,-118.099939572292
554,0,-130,554,39,694,1819,-38,83,323,46,2019-04-01,34d54331,54.1283366073993,-118.099939572292
916,60,-120,976,58,590,2267,9,141,484,65,2019-05-01,34d54331,54.1283366073993,-118.099939572292
1030,0,210,1030,177,694,2092,36,165,716,62,2019-06-01,34d54331,54.1283366073993,-118.099939572292
997,0,370,997,135,694,1964,55,189,883,67,2019-07-01,34d54331,54.1283366073993,-118.099939572292
823,0,540,823,136,694,1655,44,179,856,59,2019-08-01,34d54331,54.1283366073993,-118.099939572292
532,0,660,532,97,694,1171,13,144,694,47,2019-09-01,34d54331,54.1283366073993,-118.099939572292
125,0,750,125,51,694,729,-50,62,355,33,2019-10-01,34d54331,54.1283366073993,-118.099939572292
0,0,930,0,85,694,337,-89,9,312,17,2019-11-01,34d54331,54.1283366073993,-118.099939572292
0,0,890,0,25,694,272,-124,-20,235,15,2019-12-01,34d54331,54.1283366073993,-118.099939572292
