aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,889,0,71,455,480,-283,-153,147,0,2015-01-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,843,0,59,455,1069,-331,-182,84,1,2015-02-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,819,0,60,455,1526,-201,-43,241,4,2015-03-01,34ea21fd,50.7559053484218,-83.4828716966443
1,0,818,16,70,455,1841,-84,48,432,16,2015-04-01,34ea21fd,50.7559053484218,-83.4828716966443
896,0,782,896,77,455,2229,12,151,770,43,2015-05-01,34ea21fd,50.7559053484218,-83.4828716966443
882,200,679,1082,63,167,2540,64,200,1120,54,2015-06-01,34ea21fd,50.7559053484218,-83.4828716966443
617,578,521,1195,59,116,2362,112,242,1528,65,2015-07-01,34ea21fd,50.7559053484218,-83.4828716966443
847,0,551,847,117,377,1699,107,222,1524,46,2015-08-01,34ea21fd,50.7559053484218,-83.4828716966443
584,2,456,586,61,375,1533,76,195,1338,32,2015-09-01,34ea21fd,50.7559053484218,-83.4828716966443
209,0,386,218,57,455,779,-12,84,690,14,2015-10-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,276,2,38,455,341,-54,30,602,0,2015-11-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,304,0,78,455,272,-115,-44,457,0,2015-12-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,410,0,103,455,411,-230,-123,228,2,2016-01-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,460,0,74,455,866,-241,-102,199,4,2016-02-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,410,0,39,455,1628,-155,-12,328,10,2016-03-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,370,0,43,455,2069,-97,33,403,18,2016-04-01,34ea21fd,50.7559053484218,-83.4828716966443
833,0,340,833,59,455,2309,10,156,785,49,2016-05-01,34ea21fd,50.7559053484218,-83.4828716966443
925,70,310,995,85,335,2297,66,200,1141,61,2016-06-01,34ea21fd,50.7559053484218,-83.4828716966443
1035,78,300,1113,100,249,2298,112,239,1538,77,2016-07-01,34ea21fd,50.7559053484218,-83.4828716966443
855,52,280,907,86,211,1760,112,237,1591,67,2016-08-01,34ea21fd,50.7559053484218,-83.4828716966443
565,0,250,565,83,434,1286,76,183,1256,35,2016-09-01,34ea21fd,50.7559053484218,-83.4828716966443
283,0,220,283,64,455,632,10,96,776,16,2016-10-01,34ea21fd,50.7559053484218,-83.4828716966443
14,0,210,14,70,455,350,-40,41,625,8,2016-11-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,190,0,62,455,311,-190,-101,283,0,2016-12-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,170,0,58,455,368,-202,-112,233,0,2017-01-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,160,0,44,455,817,-209,-80,243,4,2017-02-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,140,0,40,455,1604,-186,-38,263,9,2017-03-01,34ea21fd,50.7559053484218,-83.4828716966443
89,0,120,89,45,455,1883,-63,66,483,25,2017-04-01,34ea21fd,50.7559053484218,-83.4828716966443
708,0,140,708,59,455,2140,11,124,765,41,2017-05-01,34ea21fd,50.7559053484218,-83.4828716966443
933,72,150,1005,85,332,2384,76,202,1156,60,2017-06-01,34ea21fd,50.7559053484218,-83.4828716966443
1088,149,140,1237,98,172,2642,98,236,1376,98,2017-07-01,34ea21fd,50.7559053484218,-83.4828716966443
826,28,140,854,86,159,1882,83,204,1337,59,2017-08-01,34ea21fd,50.7559053484218,-83.4828716966443
507,0,140,507,82,434,1217,69,181,1260,35,2017-09-01,34ea21fd,50.7559053484218,-83.4828716966443
276,0,130,276,65,455,769,15,102,831,26,2017-10-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,140,0,70,455,409,-106,-25,421,5,2017-11-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,120,0,59,455,388,-234,-130,244,0,2017-12-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,110,0,58,455,501,-253,-135,187,2,2018-01-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,100,0,44,455,899,-270,-119,169,3,2018-02-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,80,0,39,455,1595,-197,-39,244,8,2018-03-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,80,0,43,455,2284,-128,15,319,19,2018-04-01,34ea21fd,50.7559053484218,-83.4828716966443
937,0,60,937,60,455,2320,18,181,793,53,2018-05-01,34ea21fd,50.7559053484218,-83.4828716966443
1028,146,-40,1174,82,204,2748,73,214,1108,82,2018-06-01,34ea21fd,50.7559053484218,-83.4828716966443
1014,199,-70,1213,99,130,2393,119,252,1583,88,2018-07-01,34ea21fd,50.7559053484218,-83.4828716966443
827,181,-90,1008,84,98,2015,100,238,1490,69,2018-08-01,34ea21fd,50.7559053484218,-83.4828716966443
528,0,-100,528,82,346,1224,58,175,1195,30,2018-09-01,34ea21fd,50.7559053484218,-83.4828716966443
141,0,-80,141,66,455,542,-17,49,635,9,2018-10-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,-60,0,69,455,357,-119,-48,411,2,2018-11-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,-90,0,46,455,342,-178,-74,313,0,2018-12-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,-120,0,46,455,481,-283,-157,111,1,2019-01-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,120,0,83,455,906,-266,-119,128,3,2019-02-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,100,0,40,455,1474,-175,-31,229,9,2019-03-01,34ea21fd,50.7559053484218,-83.4828716966443
21,0,150,21,60,455,2094,-80,49,375,23,2019-04-01,34ea21fd,50.7559053484218,-83.4828716966443
832,0,110,832,49,455,2171,0,136,616,47,2019-05-01,34ea21fd,50.7559053484218,-83.4828716966443
932,111,70,1043,78,263,2368,68,202,1080,60,2019-06-01,34ea21fd,50.7559053484218,-83.4828716966443
836,419,-120,1255,76,147,2275,123,256,1536,83,2019-07-01,34ea21fd,50.7559053484218,-83.4828716966443
670,366,-180,1036,66,107,1924,99,230,1432,59,2019-08-01,34ea21fd,50.7559053484218,-83.4828716966443
531,0,-180,531,83,360,1257,60,168,1149,28,2019-09-01,34ea21fd,50.7559053484218,-83.4828716966443
323,0,-240,323,41,430,774,7,92,711,20,2019-10-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,-300,0,50,430,424,-108,-31,355,2,2019-11-01,34ea21fd,50.7559053484218,-83.4828716966443
0,0,-270,0,60,430,337,-194,-87,227,0,2019-12-01,34ea21fd,50.7559053484218,-83.4828716966443
