aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-364,0,13,239,235,-300,-201,109,0,2015-01-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-351,0,8,239,656,-344,-248,30,3,2015-02-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-317,0,19,239,1372,-244,-119,148,2,2015-03-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-199,0,46,239,2125,-146,-31,273,7,2015-04-01,3894012c,58.7133635658269,-98.3264334164839
70,0,-220,240,14,450,2743,-58,68,359,34,2015-05-01,3894012c,58.7133635658269,-98.3264334164839
1118,0,-156,1118,65,450,2563,48,163,815,55,2015-06-01,3894012c,58.7133635658269,-98.3264334164839
841,258,-166,1099,59,166,2205,88,198,1151,58,2015-07-01,3894012c,58.7133635658269,-98.3264334164839
340,425,-219,766,30,115,1445,88,176,1139,44,2015-08-01,3894012c,58.7133635658269,-98.3264334164839
352,0,-224,352,38,126,1013,34,108,869,17,2015-09-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-231,7,40,171,440,-44,23,524,6,2015-10-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-215,0,29,171,238,-149,-78,291,0,2015-11-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-225,0,10,171,110,-208,-149,240,0,2015-12-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-210,0,16,146,194,-254,-178,112,0,2016-01-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-190,0,12,146,671,-294,-188,94,2,2016-02-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-170,0,18,146,1343,-222,-108,157,3,2016-03-01,3894012c,58.7133635658269,-98.3264334164839
0,0,-160,0,23,146,2240,-169,-35,209,7,2016-04-01,3894012c,58.7133635658269,-98.3264334164839
666,0,-220,666,32,450,2331,-23,87,505,28,2016-05-01,3894012c,58.7133635658269,-98.3264334164839
839,259,-270,1098,50,166,2470,50,166,796,62,2016-06-01,3894012c,58.7133635658269,-98.3264334164839
733,375,-250,1108,72,115,2086,99,201,1142,60,2016-07-01,3894012c,58.7133635658269,-98.3264334164839
603,302,-230,905,61,89,1671,81,180,1048,48,2016-08-01,3894012c,58.7133635658269,-98.3264334164839
501,0,-230,501,53,89,911,34,116,773,24,2016-09-01,3894012c,58.7133635658269,-98.3264334164839
