aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,284,0,31,584,208,-192,-96,242,0,2015-01-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,380,0,46,584,498,-192,-88,212,1,2015-02-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,384,0,23,584,1180,-120,18,319,15,2015-03-01,389d1b5f,58.0762636853621,-121.411717374803
681,0,306,704,21,1382,1908,-28,103,412,47,2015-04-01,389d1b5f,58.0762636853621,-121.411717374803
899,391,152,1290,19,710,2733,30,187,591,87,2015-05-01,389d1b5f,58.0762636853621,-121.411717374803
752,591,-263,1344,49,425,2619,82,226,984,93,2015-06-01,389d1b5f,58.0762636853621,-121.411717374803
941,344,-258,1285,87,312,2399,97,234,1215,84,2015-07-01,389d1b5f,58.0762636853621,-121.411717374803
768,157,-188,925,77,272,1778,81,215,1141,69,2015-08-01,389d1b5f,58.0762636853621,-121.411717374803
135,411,-272,546,9,224,1301,20,155,799,44,2015-09-01,389d1b5f,58.0762636853621,-121.411717374803
165,65,-296,237,16,212,602,-18,93,597,26,2015-10-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-297,0,22,212,299,-130,-23,297,8,2015-11-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-282,0,25,212,136,-187,-108,232,0,2015-12-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-310,0,13,207,206,-192,-111,238,2,2016-01-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-270,0,36,207,519,-158,-58,287,7,2016-02-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-250,0,29,207,1040,-102,-3,333,16,2016-03-01,389d1b5f,58.0762636853621,-121.411717374803
539,0,-290,539,15,943,1791,-21,92,472,45,2016-04-01,389d1b5f,58.0762636853621,-121.411717374803
836,253,-240,1089,57,695,2286,32,178,676,72,2016-05-01,389d1b5f,58.0762636853621,-121.411717374803
1089,123,-140,1212,106,615,2469,83,220,1045,76,2016-06-01,389d1b5f,58.0762636853621,-121.411717374803
889,302,-140,1191,76,445,2346,105,237,1327,75,2016-07-01,389d1b5f,58.0762636853621,-121.411717374803
873,86,150,959,89,413,1769,91,223,1191,76,2016-08-01,389d1b5f,58.0762636853621,-121.411717374803
588,0,240,588,70,491,1159,29,161,834,47,2016-09-01,389d1b5f,58.0762636853621,-121.411717374803
104,0,250,104,22,531,532,-33,53,507,15,2016-10-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,210,0,15,531,271,-97,-6,398,7,2016-11-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,210,0,23,531,151,-221,-136,123,1,2016-12-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,220,0,26,531,210,-204,-94,178,0,2017-01-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,250,0,26,531,507,-190,-81,163,5,2017-02-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,330,0,43,531,1116,-164,-50,242,6,2017-03-01,389d1b5f,58.0762636853621,-121.411717374803
451,0,260,451,14,1295,1826,-36,82,407,38,2017-04-01,389d1b5f,58.0762636853621,-121.411717374803
936,158,250,1094,49,1050,2313,35,177,649,76,2017-05-01,389d1b5f,58.0762636853621,-121.411717374803
1190,0,390,1190,141,1202,2457,75,199,905,71,2017-06-01,389d1b5f,58.0762636853621,-121.411717374803
1196,8,500,1204,125,1192,2396,96,225,1184,73,2017-07-01,389d1b5f,58.0762636853621,-121.411717374803
714,439,390,1153,12,591,2163,80,239,1104,87,2017-08-01,389d1b5f,58.0762636853621,-121.411717374803
305,343,260,648,13,408,1309,34,186,889,60,2017-09-01,389d1b5f,58.0762636853621,-121.411717374803
289,0,260,289,39,486,605,-21,76,516,29,2017-10-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,370,0,60,486,233,-166,-73,198,6,2017-11-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,340,0,16,486,170,-199,-91,229,1,2017-12-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,380,0,36,486,180,-211,-132,188,0,2018-01-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,420,0,26,486,608,-242,-106,134,5,2018-02-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,490,0,45,486,1203,-157,-25,227,14,2018-03-01,389d1b5f,58.0762636853621,-121.411717374803
92,0,460,92,16,748,1900,-63,63,362,35,2018-04-01,389d1b5f,58.0762636853621,-121.411717374803
1237,0,350,1237,22,1256,2682,40,192,668,119,2018-05-01,389d1b5f,58.0762636853621,-121.411717374803
1090,80,370,1170,102,1137,2203,81,205,905,94,2018-06-01,389d1b5f,58.0762636853621,-121.411717374803
828,477,180,1305,23,528,2402,99,238,1178,102,2018-07-01,389d1b5f,58.0762636853621,-121.411717374803
718,324,150,1042,60,377,1875,81,219,1067,104,2018-08-01,389d1b5f,58.0762636853621,-121.411717374803
235,301,60,536,15,287,1323,-12,128,636,41,2018-09-01,389d1b5f,58.0762636853621,-121.411717374803
67,136,-260,203,4,256,634,-38,73,467,31,2018-10-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-180,0,44,256,215,-113,-42,309,5,2018-11-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-190,0,15,256,148,-181,-93,229,2,2018-12-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-170,0,28,256,173,-200,-100,186,2,2019-01-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-140,0,25,256,586,-247,-129,115,4,2019-02-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,-190,0,1,256,1342,-97,35,291,25,2019-03-01,389d1b5f,58.0762636853621,-121.411717374803
611,0,-260,611,12,764,1799,-32,95,379,46,2019-04-01,389d1b5f,58.0762636853621,-121.411717374803
442,721,-420,1163,5,440,2435,43,178,575,86,2019-05-01,389d1b5f,58.0762636853621,-121.411717374803
907,179,-370,1086,88,373,2207,67,198,1002,65,2019-06-01,389d1b5f,58.0762636853621,-121.411717374803
1151,0,-190,1151,145,603,2283,95,226,1213,76,2019-07-01,389d1b5f,58.0762636853621,-121.411717374803
643,205,-130,848,56,490,1775,64,198,1113,53,2019-08-01,389d1b5f,58.0762636853621,-121.411717374803
534,0,250,534,67,591,1138,38,166,913,44,2019-09-01,389d1b5f,58.0762636853621,-121.411717374803
204,0,260,204,29,645,568,-33,71,529,22,2019-10-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,250,0,23,645,232,-121,-29,283,9,2019-11-01,389d1b5f,58.0762636853621,-121.411717374803
0,0,210,0,15,645,135,-193,-100,187,2,2019-12-01,389d1b5f,58.0762636853621,-121.411717374803
