aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,394,0,38,540,493,-222,-90,217,0,2015-01-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,379,0,33,540,1010,-276,-121,83,7,2015-02-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,306,0,26,540,1456,-118,24,320,17,2015-03-01,390bb03a,49.0735879053174,-92.3992535942755
618,0,199,671,32,602,2074,-44,103,442,41,2015-04-01,390bb03a,49.0735879053174,-92.3992535942755
910,0,317,910,144,602,2067,20,164,819,47,2015-05-01,390bb03a,49.0735879053174,-92.3992535942755
1014,98,306,1112,89,433,2391,82,223,1278,62,2015-06-01,390bb03a,49.0735879053174,-92.3992535942755
1154,111,322,1265,109,316,2411,125,254,1651,70,2015-07-01,390bb03a,49.0735879053174,-92.3992535942755
887,82,303,969,87,259,1931,114,232,1574,53,2015-08-01,390bb03a,49.0735879053174,-92.3992535942755
656,27,228,684,68,245,1644,89,213,1430,41,2015-09-01,390bb03a,49.0735879053174,-92.3992535942755
342,0,215,346,76,602,868,5,118,737,27,2015-10-01,390bb03a,49.0735879053174,-92.3992535942755
6,0,364,21,100,602,380,-37,46,630,3,2015-11-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,383,0,55,602,297,-104,-29,410,0,2015-12-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,320,0,26,602,447,-197,-94,240,0,2016-01-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,300,0,28,602,832,-178,-54,242,5,2016-02-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,360,0,69,602,1447,-89,44,419,17,2016-03-01,390bb03a,49.0735879053174,-92.3992535942755
284,0,380,284,71,602,1833,-47,73,499,28,2016-04-01,390bb03a,49.0735879053174,-92.3992535942755
975,0,330,975,64,602,2207,38,180,803,63,2016-05-01,390bb03a,49.0735879053174,-92.3992535942755
1088,0,330,1088,118,602,2435,93,217,1319,57,2016-06-01,390bb03a,49.0735879053174,-92.3992535942755
1140,67,340,1207,108,486,2496,128,245,1658,80,2016-07-01,390bb03a,49.0735879053174,-92.3992535942755
1003,0,360,1003,112,543,2041,122,241,1691,69,2016-08-01,390bb03a,49.0735879053174,-92.3992535942755
583,0,390,583,102,602,1305,91,186,1352,37,2016-09-01,390bb03a,49.0735879053174,-92.3992535942755
322,0,350,322,49,602,790,22,109,846,26,2016-10-01,390bb03a,49.0735879053174,-92.3992535942755
140,0,300,140,40,602,456,-17,66,646,11,2016-11-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,410,0,81,602,330,-172,-82,254,0,2016-12-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,380,0,37,602,476,-188,-85,280,0,2017-01-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,410,0,47,602,943,-156,-33,292,7,2017-02-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,330,0,24,602,1559,-129,6,309,12,2017-03-01,390bb03a,49.0735879053174,-92.3992535942755
510,0,290,510,59,602,1771,-32,98,543,33,2017-04-01,390bb03a,49.0735879053174,-92.3992535942755
795,76,260,871,60,470,2097,26,152,743,52,2017-05-01,390bb03a,49.0735879053174,-92.3992535942755
1053,43,240,1096,105,419,2253,94,223,1183,68,2017-06-01,390bb03a,49.0735879053174,-92.3992535942755
942,255,190,1197,77,209,2432,119,248,1594,81,2017-07-01,390bb03a,49.0735879053174,-92.3992535942755
920,0,220,920,113,365,1922,98,217,1405,68,2017-08-01,390bb03a,49.0735879053174,-92.3992535942755
563,0,260,563,105,602,1289,81,190,1338,36,2017-09-01,390bb03a,49.0735879053174,-92.3992535942755
377,0,240,377,56,602,848,13,111,776,32,2017-10-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,230,0,36,602,392,-94,-11,396,6,2017-11-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,220,0,40,602,356,-200,-100,216,0,2017-12-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,170,0,24,602,470,-222,-99,220,2,2018-01-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,200,0,38,602,984,-251,-95,152,4,2018-02-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,110,0,17,602,1546,-133,5,259,17,2018-03-01,390bb03a,49.0735879053174,-92.3992535942755
0,0,80,0,17,602,2336,-94,46,333,31,2018-04-01,390bb03a,49.0735879053174,-92.3992535942755
993,0,80,993,75,602,2433,49,207,973,76,2018-05-01,390bb03a,49.0735879053174,-92.3992535942755
1081,42,90,1123,106,530,2491,110,228,1460,88,2018-06-01,390bb03a,49.0735879053174,-92.3992535942755
