aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0.0,0.0,429.59999999999997,0.0,31.0,558.8,486.40000000000003,-212.6,-108.8,222.79999999999998,0.0,2015-01-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,426.6,0.0,32.0,558.8,1013.6,-266.59999999999997,-152.0,92.0,4.0,2015-02-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,351.4,0.0,25.0,558.8,1488.7999999999997,-111.0,2.1999999999999997,316.0,13.0,2015-03-01,398e708a,49.9630957644636,-93.460063517986
573.8,0.0,244.20000000000002,638.8000000000001,25.0,558.8,2099.2000000000003,-37.0,91.8,446.8,37.0,2015-04-01,398e708a,49.9630957644636,-93.460063517986
927.4000000000001,0.0,332.79999999999995,927.4000000000001,117.60000000000001,558.8,2129.6,30.2,155.79999999999998,816.1999999999999,45.0,2015-05-01,398e708a,49.9630957644636,-93.460063517986
1018.6,108.39999999999999,312.2,1126.8,88.0,372.19999999999993,2423.2,93.4,216.0,1305.2,58.0,2015-06-01,398e708a,49.9630957644636,-93.460063517986
1152.8,83.00000000000001,351.20000000000005,1235.8,113.0,293.4,2342.4,140.0,246.20000000000002,1706.6000000000001,65.2,2015-07-01,398e708a,49.9630957644636,-93.460063517986
897.5999999999999,64.6,348.4,962.2,90.0,248.79999999999998,1886.6,126.0,227.0,1605.6000000000001,51.0,2015-08-01,398e708a,49.9630957644636,-93.460063517986
595.0,45.800000000000004,273.0,640.8000000000001,60.0,223.4,1616.6,97.0,197.2,1427.6000000000001,33.2,2015-09-01,398e708a,49.9630957644636,-93.460063517986
321.6,0.0,266.2,325.6,68.0,545.2,851.8000000000001,16.2,103.80000000000001,750.0,23.0,2015-10-01,398e708a,49.9630957644636,-93.460063517986
1.0,0.0,398.59999999999997,7.2,90.0,558.8,349.4,-35.0,30.799999999999997,606.6,1.2,2015-11-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,406.0,0.0,42.0,558.8,317.20000000000005,-106.0,-45.199999999999996,394.0,0.0,2015-12-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,378.0,0.0,22.0,558.8,452.4,-191.6,-110.6,243.2,0.0,2016-01-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,338.0,0.0,24.0,558.8,838.6,-170.6,-75.0,232.0,4.0,2016-02-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,367.99999999999994,0.0,52.800000000000004,558.8,1511.4,-84.8,27.2,401.0,14.0,2016-03-01,398e708a,49.9630957644636,-93.460063517986
259.2,0.0,408.0,259.2,66.0,558.8,1888.7999999999997,-42.0,65.8,500.79999999999995,24.0,2016-04-01,398e708a,49.9630957644636,-93.460063517986
992.9999999999999,0.0,390.0,992.9999999999999,69.8,558.8,2199.4,48.199999999999996,176.0,822.0,62.0,2016-05-01,398e708a,49.9630957644636,-93.460063517986
1093.6,0.0,398.00000000000006,1093.6,117.80000000000001,558.8,2400.2,102.2,212.20000000000002,1326.0,55.2,2016-06-01,398e708a,49.9630957644636,-93.460063517986
1085.1999999999998,124.0,390.0,1209.2,92.0,345.59999999999997,2486.4,141.0,239.0,1698.6000000000001,71.2,2016-07-01,398e708a,49.9630957644636,-93.460063517986
1023.4000000000001,0.0,410.0,1023.4000000000001,109.0,353.20000000000005,2024.6,134.0,236.0,1681.4,63.0,2016-08-01,398e708a,49.9630957644636,-93.460063517986
550.4,0.0,428.0,550.4,96.0,558.8,1206.4,98.0,173.0,1328.6000000000001,26.0,2016-09-01,398e708a,49.9630957644636,-93.460063517986
310.4,0.0,380.0,310.4,41.0,558.8,746.8000000000001,29.0,98.80000000000001,828.1999999999999,19.0,2016-10-01,398e708a,49.9630957644636,-93.460063517986
102.8,0.0,348.0,102.8,37.0,558.8,443.4,-18.0,54.800000000000004,635.2,7.0,2016-11-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,428.0,0.0,62.0,558.8,326.2,-174.0,-99.20000000000002,239.0,0.0,2016-12-01,398e708a,49.9630957644636,-93.460063517986
0.0,0.0,387.99999999999994,0.0,32.0,558.8,445.4,-183.6,-101.8,278.2,0.0,2017-01-01,398e708a,49.9630957644636,-93.460063517986
