aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,268,0,42,99,269,-144,-67,228,6,2015-01-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,370,0,56,99,547,-147,-70,189,9,2015-02-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,326,0,26,99,1180,-81,25,286,25,2015-03-01,39bc2eda,56.5942248029088,-118.243070884553
796,0,241,825,21,545,2018,-23,97,349,51,2015-04-01,39bc2eda,56.5942248029088,-118.243070884553
601,796,-232,1397,20,201,2751,25,175,509,86,2015-05-01,39bc2eda,56.5942248029088,-118.243070884553
553,886,-284,1439,52,139,2685,77,214,865,94,2015-06-01,39bc2eda,56.5942248029088,-118.243070884553
812,592,-267,1403,82,108,2580,89,227,1103,86,2015-07-01,39bc2eda,56.5942248029088,-118.243070884553
772,287,-182,1060,79,88,1935,78,212,1074,72,2015-08-01,39bc2eda,56.5942248029088,-118.243070884553
104,524,-259,628,10,75,1359,20,147,747,45,2015-09-01,39bc2eda,56.5942248029088,-118.243070884553
158,237,-281,402,16,65,739,-10,104,563,36,2015-10-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,-279,0,32,65,356,-112,-15,305,10,2015-11-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,-258,0,29,65,192,-145,-72,230,5,2015-12-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,-250,0,28,65,270,-147,-74,232,10,2016-01-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,-200,0,28,65,545,-112,-29,273,20,2016-02-01,39bc2eda,56.5942248029088,-118.243070884553
0,0,-180,0,27,65,1127,-67,12,317,26,2016-03-01,39bc2eda,56.5942248029088,-118.243070884553
715,0,-210,715,22,545,1913,-14,94,406,56,2016-04-01,39bc2eda,56.5942248029088,-118.243070884553
821,388,-250,1209,46,201,2342,30,172,589,75,2016-05-01,39bc2eda,56.5942248029088,-118.243070884553
826,451,-210,1277,81,139,2390,76,209,925,76,2016-06-01,39bc2eda,56.5942248029088,-118.243070884553
762,471,-190,1233,77,108,2419,98,222,1214,70,2016-07-01,39bc2eda,56.5942248029088,-118.243070884553
