aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,410,0,37,452,481,-258,-124,173,0,2015-01-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,417,0,47,452,982,-311,-149,75,4,2015-02-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,348,0,35,452,1427,-162,-3,271,12,2015-03-01,3bc7cf13,49.7382973271602,-90.3209596553842
40,0,278,158,34,452,2036,-70,77,400,31,2015-04-01,3bc7cf13,49.7382973271602,-90.3209596553842
872,0,422,872,137,452,2125,1,148,737,42,2015-05-01,3bc7cf13,49.7382973271602,-90.3209596553842
973,118,404,1090,81,250,2392,62,212,1151,59,2015-06-01,3bc7cf13,49.7382973271602,-90.3209596553842
1256,82,445,1338,126,189,2457,119,257,1534,82,2015-07-01,3bc7cf13,49.7382973271602,-90.3209596553842
705,187,400,892,67,124,1719,100,225,1483,50,2015-08-01,3bc7cf13,49.7382973271602,-90.3209596553842
618,0,333,618,74,210,1530,72,201,1339,35,2015-09-01,3bc7cf13,49.7382973271602,-90.3209596553842
286,0,310,292,74,452,819,-10,97,677,21,2015-10-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,451,3,108,452,341,-54,32,587,0,2015-11-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,451,0,49,452,274,-127,-44,394,0,2015-12-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,390,0,29,452,404,-223,-112,222,0,2016-01-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,360,0,38,452,874,-215,-80,199,5,2016-02-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,430,0,80,452,1533,-129,23,371,15,2016-03-01,3bc7cf13,49.7382973271602,-90.3209596553842
24,0,440,24,60,452,1956,-77,51,429,24,2016-04-01,3bc7cf13,49.7382973271602,-90.3209596553842
927,0,370,927,53,452,2296,14,163,721,54,2016-05-01,3bc7cf13,49.7382973271602,-90.3209596553842
998,27,350,1025,100,406,2277,72,207,1173,57,2016-06-01,3bc7cf13,49.7382973271602,-90.3209596553842
1144,111,330,1255,104,245,2469,121,250,1536,94,2016-07-01,3bc7cf13,49.7382973271602,-90.3209596553842
963,32,330,995,99,222,1935,109,240,1575,69,2016-08-01,3bc7cf13,49.7382973271602,-90.3209596553842
547,0,340,547,100,452,1254,76,178,1275,37,2016-09-01,3bc7cf13,49.7382973271602,-90.3209596553842
289,0,320,289,55,452,688,8,98,789,22,2016-10-01,3bc7cf13,49.7382973271602,-90.3209596553842
47,0,260,47,32,452,432,-39,54,607,9,2016-11-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,340,0,66,452,311,-192,-94,242,0,2016-12-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,330,0,44,452,428,-207,-99,278,0,2017-01-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,380,0,58,452,893,-191,-61,250,6,2017-02-01,3bc7cf13,49.7382973271602,-90.3209596553842
0,0,310,0,34,452,1549,-165,-12,271,10,2017-03-01,3bc7cf13,49.7382973271602,-90.3209596553842
264,0,270,264,51,452,1767,-56,81,479,27,2017-04-01,3bc7cf13,49.7382973271602,-90.3209596553842
803,0,250,803,61,452,2086,6,135,681,46,2017-05-01,3bc7cf13,49.7382973271602,-90.3209596553842
1000,69,240,1069,93,334,2350,75,212,1124,67,2017-06-01,3bc7cf13,49.7382973271602,-90.3209596553842
938,358,190,1296,80,160,2593,110,250,1438,99,2017-07-01,3bc7cf13,49.7382973271602,-90.3209596553842
948,0,220,948,106,217,1983,83,212,1295,66,2017-08-01,3bc7cf13,49.7382973271602,-90.3209596553842
