aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,164,0,16,157,46,-269,-195,107,0,2015-01-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,145,0,12,157,238,-282,-196,92,0,2015-02-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,136,0,9,157,904,-243,-129,112,4,2015-03-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,199,0,19,157,1791,-129,-23,209,16,2015-04-01,3d8a20ea,66.7718901781845,-126.670231839873
899,0,-161,911,5,368,2539,-8,115,526,44,2015-05-01,3d8a20ea,66.7718901781845,-126.670231839873
602,666,-172,1268,37,135,2356,77,202,880,83,2015-06-01,3d8a20ea,66.7718901781845,-126.670231839873
471,609,-123,1081,45,94,1734,96,201,1049,73,2015-07-01,3d8a20ea,66.7718901781845,-126.670231839873
407,259,-106,667,41,73,1336,63,167,1040,40,2015-08-01,3d8a20ea,66.7718901781845,-126.670231839873
281,0,152,288,56,321,575,-1,81,645,20,2015-09-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,188,0,30,321,283,-67,-13,341,12,2015-10-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,259,0,23,321,70,-197,-126,151,3,2015-11-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,210,0,8,321,14,-246,-174,93,3,2015-12-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,180,0,13,275,40,-258,-182,0,4,2016-01-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,180,0,15,275,278,-254,-172,6,4,2016-02-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,170,0,9,275,863,-227,-121,42,7,2016-03-01,3d8a20ea,66.7718901781845,-126.670231839873
0,0,180,0,12,275,1786,-127,-10,200,14,2016-04-01,3d8a20ea,66.7718901781845,-126.670231839873
765,0,120,765,19,368,2097,-8,103,438,49,2016-05-01,3d8a20ea,66.7718901781845,-126.670231839873
663,588,100,1251,44,135,2472,79,196,794,83,2016-06-01,3d8a20ea,66.7718901781845,-126.670231839873
