aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,136,0,27,336,393,-272,-161,151,0,2015-01-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,148,0,21,336,916,-317,-207,48,3,2015-02-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,129,0,25,336,1488,-187,-48,227,6,2015-03-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,118,0,25,336,1985,-87,39,374,19,2015-04-01,3f70069d,54.0628046289587,-91.6943110756277
825,0,181,838,66,336,2471,-13,110,582,36,2015-05-01,3f70069d,54.0628046289587,-91.6943110756277
866,232,176,1098,66,124,2577,64,187,1035,53,2015-06-01,3f70069d,54.0628046289587,-91.6943110756277
1096,120,224,1216,111,85,2428,115,227,1440,63,2015-07-01,3f70069d,54.0628046289587,-91.6943110756277
670,89,197,759,69,66,1590,101,196,1390,38,2015-08-01,3f70069d,54.0628046289587,-91.6943110756277
420,0,150,420,72,326,1126,64,151,1147,20,2015-09-01,3f70069d,54.0628046289587,-91.6943110756277
100,0,109,135,59,336,692,-18,56,622,10,2015-10-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,204,0,59,336,282,-76,-23,446,0,2015-11-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,180,0,30,336,237,-148,-89,305,0,2015-12-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,190,0,27,336,351,-240,-147,174,0,2016-01-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,170,0,17,336,880,-254,-134,149,2,2016-02-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,150,0,24,336,1523,-171,-28,261,10,2016-03-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,140,0,27,336,2279,-106,24,341,19,2016-04-01,3f70069d,54.0628046289587,-91.6943110756277
810,0,120,810,46,336,2277,10,130,679,47,2016-05-01,3f70069d,54.0628046289587,-91.6943110756277
862,164,100,1026,68,124,2493,67,181,1041,63,2016-06-01,3f70069d,54.0628046289587,-91.6943110756277
893,182,100,1075,90,85,2194,118,218,1431,73,2016-07-01,3f70069d,54.0628046289587,-91.6943110756277
795,71,110,866,82,66,1788,104,201,1372,50,2016-08-01,3f70069d,54.0628046289587,-91.6943110756277
442,0,80,442,74,330,1099,63,139,1079,20,2016-09-01,3f70069d,54.0628046289587,-91.6943110756277
96,0,70,96,57,336,446,-15,42,642,4,2016-10-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,70,0,37,336,354,-59,7,473,2,2016-11-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,60,0,31,336,267,-226,-143,165,0,2016-12-01,3f70069d,54.0628046289587,-91.6943110756277
0,0,0,0,27,336,356,-232,-135,182,0,2017-01-01,3f70069d,54.0628046289587,-91.6943110756277
