aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,16,0,26,248,238,-222,-121,167,1,2015-01-01,3faaf966,58.3181178953543,-114.940262884393
0,0,88,0,31,248,545,-234,-114,145,3,2015-02-01,3faaf966,58.3181178953543,-114.940262884393
0,0,111,0,20,248,1205,-139,12,268,17,2015-03-01,3faaf966,58.3181178953543,-114.940262884393
723,0,55,765,17,824,2203,-41,107,347,52,2015-04-01,3faaf966,58.3181178953543,-114.940262884393
744,574,-200,1319,24,372,2909,21,183,490,92,2015-05-01,3faaf966,58.3181178953543,-114.940262884393
498,966,-273,1465,41,260,2884,83,235,983,102,2015-06-01,3faaf966,58.3181178953543,-114.940262884393
712,514,-250,1225,69,202,2355,105,237,1312,79,2015-07-01,3faaf966,58.3181178953543,-114.940262884393
605,374,-207,979,60,166,1856,92,220,1220,69,2015-08-01,3faaf966,58.3181178953543,-114.940262884393
256,282,-253,538,24,142,1351,30,153,831,42,2015-09-01,3faaf966,58.3181178953543,-114.940262884393
214,16,-273,238,22,139,639,-8,83,582,26,2015-10-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-274,0,23,139,305,-113,-28,343,4,2015-11-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-269,0,24,139,133,-181,-109,221,0,2015-12-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-280,0,23,134,215,-207,-118,175,2,2016-01-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-280,0,19,134,526,-180,-66,215,8,2016-02-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-270,0,21,134,1059,-110,0,302,17,2016-03-01,3faaf966,58.3181178953543,-114.940262884393
544,0,-260,544,18,679,1878,-35,87,362,43,2016-04-01,3faaf966,58.3181178953543,-114.940262884393
756,393,-270,1149,32,353,2379,40,185,614,86,2016-05-01,3faaf966,58.3181178953543,-114.940262884393
558,776,-300,1334,48,251,2641,92,230,1005,96,2016-06-01,3faaf966,58.3181178953543,-114.940262884393
690,552,-290,1242,67,197,2424,116,240,1329,90,2016-07-01,3faaf966,58.3181178953543,-114.940262884393
517,483,-280,1000,51,163,1878,99,220,1190,77,2016-08-01,3faaf966,58.3181178953543,-114.940262884393
377,235,-270,612,37,139,1238,42,155,812,45,2016-09-01,3faaf966,58.3181178953543,-114.940262884393
57,0,-200,57,26,196,512,-23,31,492,17,2016-10-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-180,0,24,196,301,-81,-7,389,5,2016-11-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-160,0,22,196,145,-232,-144,126,2,2016-12-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-130,0,23,196,240,-218,-107,146,0,2017-01-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-100,0,19,196,555,-193,-82,195,6,2017-02-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-60,0,21,196,1298,-167,-47,234,9,2017-03-01,3faaf966,58.3181178953543,-114.940262884393
373,0,10,373,18,714,2120,-44,75,342,43,2017-04-01,3faaf966,58.3181178953543,-114.940262884393
975,229,80,1204,32,486,2511,38,181,574,89,2017-05-01,3faaf966,58.3181178953543,-114.940262884393
641,628,-40,1269,48,304,2653,83,210,934,88,2017-06-01,3faaf966,58.3181178953543,-114.940262884393
716,615,-70,1331,67,227,2633,112,239,1260,94,2017-07-01,3faaf966,58.3181178953543,-114.940262884393
521,674,-130,1195,50,182,2150,97,240,1120,94,2017-08-01,3faaf966,58.3181178953543,-114.940262884393
378,323,-170,701,37,153,1410,48,180,860,59,2017-09-01,3faaf966,58.3181178953543,-114.940262884393
254,26,-180,280,26,149,527,-15,65,502,24,2017-10-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-180,0,24,149,266,-165,-87,224,5,2017-11-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-190,0,22,149,167,-211,-103,180,0,2017-12-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-200,0,23,149,205,-232,-143,146,1,2018-01-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-200,0,19,149,652,-255,-119,120,6,2018-02-01,3faaf966,58.3181178953543,-114.940262884393
0,0,-200,0,21,149,1352,-166,-26,196,16,2018-03-01,3faaf966,58.3181178953543,-114.940262884393
32,0,-130,32,18,196,1982,-81,58,294,35,2018-04-01,3faaf966,58.3181178953543,-114.940262884393
1317,0,-90,1317,32,306,2740,42,196,584,112,2018-05-01,3faaf966,58.3181178953543,-114.940262884393
