aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,299,0,30,326,423,-279,-167,142,0,2015-01-01,408d38b0,53.122319926301,-89.4257118526327
0,0,328,0,35,326,934,-327,-206,48,3,2015-02-01,408d38b0,53.122319926301,-89.4257118526327
0,0,286,0,29,326,1494,-193,-47,219,7,2015-03-01,408d38b0,53.122319926301,-89.4257118526327
0,0,247,0,31,326,1924,-88,40,377,19,2015-04-01,408d38b0,53.122319926301,-89.4257118526327
807,0,377,817,111,326,2363,-7,114,621,35,2015-05-01,408d38b0,53.122319926301,-89.4257118526327
915,180,361,1095,72,120,2549,62,189,1027,55,2015-06-01,408d38b0,53.122319926301,-89.4257118526327
1188,0,478,1188,161,326,2284,118,230,1450,65,2015-07-01,408d38b0,53.122319926301,-89.4257118526327
610,82,416,692,49,184,1578,96,190,1415,28,2015-08-01,408d38b0,53.122319926301,-89.4257118526327
458,0,389,458,78,326,1282,65,158,1176,21,2015-09-01,408d38b0,53.122319926301,-89.4257118526327
114,0,384,148,67,326,718,-19,59,623,11,2015-10-01,408d38b0,53.122319926301,-89.4257118526327
0,0,553,0,110,326,281,-71,-10,481,0,2015-11-01,408d38b0,53.122319926301,-89.4257118526327
0,0,490,0,30,326,254,-147,-83,322,0,2015-12-01,408d38b0,53.122319926301,-89.4257118526327
0,0,430,0,29,326,357,-241,-148,179,0,2016-01-01,408d38b0,53.122319926301,-89.4257118526327
0,0,360,0,15,326,902,-259,-131,152,2,2016-02-01,408d38b0,53.122319926301,-89.4257118526327
0,0,290,0,23,326,1569,-175,-25,267,11,2016-03-01,408d38b0,53.122319926301,-89.4257118526327
0,0,270,0,37,326,2126,-104,25,349,17,2016-04-01,408d38b0,53.122319926301,-89.4257118526327
800,0,240,800,50,326,2245,9,132,685,49,2016-05-01,408d38b0,53.122319926301,-89.4257118526327
894,99,210,993,76,156,2319,69,183,1042,60,2016-06-01,408d38b0,53.122319926301,-89.4257118526327
1009,120,210,1129,100,97,2299,122,222,1437,78,2016-07-01,408d38b0,53.122319926301,-89.4257118526327
811,0,200,811,87,108,1719,101,199,1406,46,2016-08-01,408d38b0,53.122319926301,-89.4257118526327
446,0,200,446,87,326,1116,67,143,1110,22,2016-09-01,408d38b0,53.122319926301,-89.4257118526327
157,0,200,157,62,326,507,-9,54,675,7,2016-10-01,408d38b0,53.122319926301,-89.4257118526327
0,0,180,0,39,326,363,-58,16,493,4,2016-11-01,408d38b0,53.122319926301,-89.4257118526327
0,0,180,0,35,326,281,-222,-137,187,0,2016-12-01,408d38b0,53.122319926301,-89.4257118526327
0,0,160,0,30,326,355,-229,-135,190,0,2017-01-01,408d38b0,53.122319926301,-89.4257118526327
0,0,200,0,35,326,806,-228,-111,191,1,2017-02-01,408d38b0,53.122319926301,-89.4257118526327
0,0,210,0,40,326,1469,-203,-50,215,7,2017-03-01,408d38b0,53.122319926301,-89.4257118526327
16,0,260,16,57,326,1937,-84,46,389,22,2017-04-01,408d38b0,53.122319926301,-89.4257118526327
719,0,270,719,59,326,2230,-4,108,625,42,2017-05-01,408d38b0,53.122319926301,-89.4257118526327
958,34,290,992,92,268,2317,70,183,1002,61,2017-06-01,408d38b0,53.122319926301,-89.4257118526327
824,429,210,1253,71,118,2624,115,221,1315,97,2017-07-01,408d38b0,53.122319926301,-89.4257118526327
394,495,80,889,38,82,2104,84,181,1198,52,2017-08-01,408d38b0,53.122319926301,-89.4257118526327
457,0,130,457,114,326,1153,59,143,1057,29,2017-09-01,408d38b0,53.122319926301,-89.4257118526327
199,0,60,199,34,326,679,-9,61,662,15,2017-10-01,408d38b0,53.122319926301,-89.4257118526327
