aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0.0,0.0,-135.25,0.0,23.0,124.12500000000001,239.0,-214.56249999999997,-108.56250000000001,173.875,2.0,2015-01-01,424c2dbd,58.1987266509633,-112.998973943672
0.0,0.0,-96.25,0.0,22.0,124.12500000000001,592.0,-228.56249999999997,-105.5625,142.4375,4.0,2015-02-01,424c2dbd,58.1987266509633,-112.998973943672
0.0,0.0,-91.24999999999999,0.0,14.0,124.12500000000001,1283.3125000000002,-138.56250000000003,12.4375,264.4375,18.0,2015-03-01,424c2dbd,58.1987266509633,-112.998973943672
502.9375,0.0,-125.12500000000001,616.4374999999999,18.0,556.4375,2234.0,-51.5625,95.4375,346.875,46.0,2015-04-01,424c2dbd,58.1987266509633,-112.998973943672
834.25,420.06250000000006,-252.0,1254.875,31.0,205.0,2897.0,8.4375,170.87500000000003,482.3125,82.0,2015-05-01,424c2dbd,58.1987266509633,-112.998973943672
507.5,899.8124999999999,-283.5625,1407.3125000000002,46.5625,142.0,2906.4375,74.43749999999999,225.4375,985.7499999999999,90.43749999999999,2015-06-01,424c2dbd,58.1987266509633,-112.998973943672
694.0,452.43750000000006,-252.125,1145.8750000000002,70.0,110.0,2274.8749999999995,98.4375,227.4375,1308.1875,69.0,2015-07-01,424c2dbd,58.1987266509633,-112.998973943672
475.0,457.4375,-251.56250000000003,933.0,48.0,90.0,1819.5624999999998,87.4375,213.43749999999997,1207.1875,64.0,2015-08-01,424c2dbd,58.1987266509633,-112.998973943672
475.625,25.375000000000004,-208.5625,501.4375,49.56249999999999,85.56250000000001,1318.3125,24.4375,149.0,827.3125,39.0,2015-09-01,424c2dbd,58.1987266509633,-112.998973943672
224.0,0.0,-217.0,234.0,27.0,122.12499999999999,634.5625,-11.0,81.0,570.4375,26.0,2015-10-01,424c2dbd,58.1987266509633,-112.998973943672
0.0,0.0,-228.43749999999997,0.0,22.0,122.12499999999999,322.43750000000006,-104.0,-16.125,358.0,5.4375,2015-11-01,424c2dbd,58.1987266509633,-112.998973943672
