aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,346,0,37,337,462,-272,-146,156,0,2015-01-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,370,0,43,337,979,-322,-179,57,4,2015-02-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,317,0,34,337,1468,-184,-27,249,7,2015-03-01,42f5fef1,51.2866964473988,-88.8144872611707
2,0,264,30,35,337,1965,-81,57,379,25,2015-04-01,42f5fef1,51.2866964473988,-88.8144872611707
802,0,423,811,141,337,2211,-2,132,710,35,2015-05-01,42f5fef1,51.2866964473988,-88.8144872611707
974,84,384,1058,85,192,2448,56,199,1100,53,2015-06-01,42f5fef1,51.2866964473988,-88.8144872611707
1192,0,467,1192,150,337,2385,109,238,1513,62,2015-07-01,42f5fef1,51.2866964473988,-88.8144872611707
671,63,423,734,59,229,1560,91,205,1453,34,2015-08-01,42f5fef1,51.2866964473988,-88.8144872611707
530,0,371,530,76,337,1429,67,180,1266,26,2015-09-01,42f5fef1,51.2866964473988,-88.8144872611707
187,0,379,203,73,337,763,-17,77,666,13,2015-10-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,551,0,121,337,291,-69,6,558,0,2015-11-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,494,0,33,337,274,-138,-61,389,0,2015-12-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,430,0,29,337,392,-233,-128,215,1,2016-01-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,380,0,27,337,914,-238,-102,184,6,2016-02-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,340,0,37,337,1618,-157,-1,340,13,2016-03-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,340,0,53,337,2037,-95,39,394,20,2016-04-01,42f5fef1,51.2866964473988,-88.8144872611707
832,0,300,832,57,337,2278,7,146,720,51,2016-05-01,42f5fef1,51.2866964473988,-88.8144872611707
888,91,230,979,77,180,2291,65,194,1115,58,2016-06-01,42f5fef1,51.2866964473988,-88.8144872611707
1114,0,250,1114,120,209,2349,113,231,1523,78,2016-07-01,42f5fef1,51.2866964473988,-88.8144872611707
828,0,270,828,97,298,1766,100,217,1547,53,2016-08-01,42f5fef1,51.2866964473988,-88.8144872611707
469,0,320,469,103,337,1178,67,162,1221,29,2016-09-01,42f5fef1,51.2866964473988,-88.8144872611707
222,0,300,222,60,337,571,0,80,757,13,2016-10-01,42f5fef1,51.2866964473988,-88.8144872611707
2,0,200,2,18,337,388,-57,29,591,6,2016-11-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,180,0,33,337,302,-205,-115,240,0,2016-12-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,160,0,35,337,365,-215,-115,246,0,2017-01-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,140,0,27,337,840,-207,-82,232,5,2017-02-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,120,0,37,337,1527,-188,-28,252,10,2017-03-01,42f5fef1,51.2866964473988,-88.8144872611707
72,0,110,72,45,337,1816,-71,69,452,25,2017-04-01,42f5fef1,51.2866964473988,-88.8144872611707
726,0,130,726,66,337,2153,0,118,670,43,2017-05-01,42f5fef1,51.2866964473988,-88.8144872611707
984,49,120,1033,93,254,2480,70,197,1093,65,2017-06-01,42f5fef1,51.2866964473988,-88.8144872611707
1101,126,120,1227,102,119,2695,101,228,1402,99,2017-07-01,42f5fef1,51.2866964473988,-88.8144872611707
838,21,120,859,87,111,2046,73,191,1271,56,2017-08-01,42f5fef1,51.2866964473988,-88.8144872611707
449,0,110,449,84,337,1179,60,163,1207,34,2017-09-01,42f5fef1,51.2866964473988,-88.8144872611707
247,0,110,247,60,337,765,-3,84,743,25,2017-10-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,120,0,49,337,384,-133,-45,352,4,2017-11-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,100,0,33,337,390,-244,-142,191,0,2017-12-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,90,0,35,337,420,-260,-138,183,1,2018-01-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,80,0,27,337,919,-284,-128,115,4,2018-02-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,70,0,37,337,1545,-195,-26,202,11,2018-03-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,70,0,45,337,2318,-131,23,266,24,2018-04-01,42f5fef1,51.2866964473988,-88.8144872611707
854,0,70,854,66,337,2267,12,169,797,48,2018-05-01,42f5fef1,51.2866964473988,-88.8144872611707
981,57,60,1038,93,239,2406,78,207,1195,69,2018-06-01,42f5fef1,51.2866964473988,-88.8144872611707
1080,109,60,1189,102,126,2316,120,244,1533,82,2018-07-01,42f5fef1,51.2866964473988,-88.8144872611707
866,81,-10,947,87,89,2121,92,217,1479,63,2018-08-01,42f5fef1,51.2866964473988,-88.8144872611707
489,0,-10,489,84,337,1266,45,149,1061,28,2018-09-01,42f5fef1,51.2866964473988,-88.8144872611707
29,0,60,29,61,337,543,-30,29,593,6,2018-10-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-70,0,19,337,352,-144,-67,323,-1,2018-11-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-110,0,19,337,331,-187,-87,270,-1,2018-12-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-140,0,24,337,491,-286,-164,107,1,2019-01-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-70,0,43,337,867,-268,-127,107,4,2019-02-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,40,0,49,337,1408,-177,-22,228,11,2019-03-01,42f5fef1,51.2866964473988,-88.8144872611707
23,0,100,23,50,337,2124,-82,52,328,28,2019-04-01,42f5fef1,51.2866964473988,-88.8144872611707
816,0,60,816,43,337,2291,-9,122,567,43,2019-05-01,42f5fef1,51.2866964473988,-88.8144872611707
1010,103,-50,1113,85,159,2648,71,199,1016,66,2019-06-01,42f5fef1,51.2866964473988,-88.8144872611707
1020,267,-110,1287,101,99,2491,120,242,1460,76,2019-07-01,42f5fef1,51.2866964473988,-88.8144872611707
528,483,-200,1011,53,74,2014,94,214,1332,54,2019-08-01,42f5fef1,51.2866964473988,-88.8144872611707
477,0,-160,477,107,337,1146,52,155,1096,23,2019-09-01,42f5fef1,51.2866964473988,-88.8144872611707
249,0,-100,249,72,337,669,-10,71,656,14,2019-10-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-100,0,39,337,397,-130,-51,321,0,2019-11-01,42f5fef1,51.2866964473988,-88.8144872611707
0,0,-100,0,31,337,329,-204,-101,208,0,2019-12-01,42f5fef1,51.2866964473988,-88.8144872611707
