aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,152,0,21,412,347,-284,-173,112,0,2015-01-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,125,0,13,412,850,-325,-224,39,3,2015-02-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,110,0,20,412,1490,-206,-68,198,5,2015-03-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,102,0,25,412,2054,-104,23,357,14,2015-04-01,44ad75ff,55.8624002138116,-94.5410620411252
853,0,85,879,52,412,2646,-29,107,494,40,2015-05-01,44ad75ff,55.8624002138116,-94.5410620411252
869,211,70,1080,60,152,2513,56,183,987,52,2015-06-01,44ad75ff,55.8624002138116,-94.5410620411252
923,247,94,1171,92,105,2411,102,218,1360,58,2015-07-01,44ad75ff,55.8624002138116,-94.5410620411252
701,0,141,701,76,123,1469,88,190,1329,34,2015-08-01,44ad75ff,55.8624002138116,-94.5410620411252
401,0,195,401,64,327,1019,58,140,1061,21,2015-09-01,44ad75ff,55.8624002138116,-94.5410620411252
40,0,196,79,35,412,628,-26,49,607,8,2015-10-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,213,0,33,412,300,-100,-44,372,0,2015-11-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,193,0,25,412,209,-170,-113,274,0,2015-12-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,160,0,20,412,298,-243,-159,132,1,2016-01-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,140,0,14,412,849,-262,-149,115,3,2016-02-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,130,0,21,412,1498,-181,-49,215,8,2016-03-01,44ad75ff,55.8624002138116,-94.5410620411252
0,0,80,0,16,412,2459,-129,15,315,18,2016-04-01,44ad75ff,55.8624002138116,-94.5410620411252
823,0,-20,823,46,412,2413,2,128,654,45,2016-05-01,44ad75ff,55.8624002138116,-94.5410620411252
