aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-320,0,16,379,339,-278,-169,113,0,2015-01-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-321,0,10,379,827,-325,-222,40,3,2015-02-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-291,0,21,379,1464,-205,-67,208,4,2015-03-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-154,0,52,379,2023,-102,24,355,15,2015-04-01,44db238c,55.8401867680988,-95.3554724215623
903,0,-246,924,21,434,2644,-27,111,482,43,2015-05-01,44db238c,55.8401867680988,-95.3554724215623
991,135,-215,1126,76,202,2523,60,188,988,57,2015-06-01,44db238c,55.8401867680988,-95.3554724215623
740,453,-238,1193,70,127,2374,105,222,1357,62,2015-07-01,44db238c,55.8401867680988,-95.3554724215623
379,369,-285,748,37,95,1497,93,194,1330,39,2015-08-01,44db238c,55.8401867680988,-95.3554724215623
376,37,-288,413,39,86,1029,58,141,1056,22,2015-09-01,44db238c,55.8401867680988,-95.3554724215623
49,0,-313,86,42,357,622,-24,51,617,8,2015-10-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-332,0,38,357,300,-100,-44,374,0,2015-11-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-352,0,14,357,203,-167,-111,275,0,2015-12-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-330,0,20,296,286,-237,-153,141,2,2016-01-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-300,0,16,296,824,-261,-147,120,3,2016-02-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-270,0,21,296,1481,-178,-47,227,8,2016-03-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-240,0,26,296,2413,-125,17,316,19,2016-04-01,44db238c,55.8401867680988,-95.3554724215623
858,0,-240,858,49,434,2418,5,133,667,48,2016-05-01,44db238c,55.8401867680988,-95.3554724215623
841,216,-220,1057,60,160,2514,59,186,1030,71,2016-06-01,44db238c,55.8401867680988,-95.3554724215623
852,205,-170,1057,85,111,2191,105,221,1440,64,2016-07-01,44db238c,55.8401867680988,-95.3554724215623
717,136,-130,853,73,86,1870,87,200,1342,50,2016-08-01,44db238c,55.8401867680988,-95.3554724215623
458,0,-110,458,53,131,1028,49,144,1023,29,2016-09-01,44db238c,55.8401867680988,-95.3554724215623
11,0,-90,11,43,209,401,-28,20,636,5,2016-10-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-70,0,36,209,334,-71,-9,376,1,2016-11-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-60,0,25,209,233,-246,-172,142,0,2016-12-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-60,0,20,209,285,-235,-148,134,0,2017-01-01,44db238c,55.8401867680988,-95.3554724215623
0,0,0,0,16,209,776,-233,-143,139,1,2017-02-01,44db238c,55.8401867680988,-95.3554724215623
0,0,220,0,58,209,1440,-220,-87,194,5,2017-03-01,44db238c,55.8401867680988,-95.3554724215623
0,0,200,0,26,209,2137,-109,21,356,18,2017-04-01,44db238c,55.8401867680988,-95.3554724215623
708,0,200,708,49,434,2243,-7,103,607,44,2017-05-01,44db238c,55.8401867680988,-95.3554724215623
828,133,230,961,60,206,2247,58,179,997,63,2017-06-01,44db238c,55.8401867680988,-95.3554724215623
873,414,180,1287,84,128,2583,95,233,1316,87,2017-07-01,44db238c,55.8401867680988,-95.3554724215623
726,256,150,982,73,95,2098,77,207,1225,71,2017-08-01,44db238c,55.8401867680988,-95.3554724215623
514,30,130,544,53,88,1183,50,146,962,33,2017-09-01,44db238c,55.8401867680988,-95.3554724215623
49,0,90,49,42,271,477,-26,40,628,6,2017-10-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-30,0,36,271,365,-182,-104,234,3,2017-11-01,44db238c,55.8401867680988,-95.3554724215623
0,0,0,0,25,271,244,-264,-176,134,0,2017-12-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-70,0,20,271,347,-276,-186,100,1,2018-01-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-60,0,16,271,823,-315,-195,78,2,2018-02-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-60,0,21,271,1556,-212,-78,184,7,2018-03-01,44db238c,55.8401867680988,-95.3554724215623
0,0,0,0,26,271,2296,-159,-7,289,18,2018-04-01,44db238c,55.8401867680988,-95.3554724215623
965,0,-100,965,48,434,2614,-4,145,617,57,2018-05-01,44db238c,55.8401867680988,-95.3554724215623
840,231,-120,1071,60,160,2349,76,198,1111,75,2018-06-01,44db238c,55.8401867680988,-95.3554724215623
848,309,-110,1157,84,111,2369,106,222,1407,74,2018-07-01,44db238c,55.8401867680988,-95.3554724215623
720,97,-70,817,73,86,1815,81,194,1312,51,2018-08-01,44db238c,55.8401867680988,-95.3554724215623
319,0,60,319,53,270,1169,10,94,841,22,2018-09-01,44db238c,55.8401867680988,-95.3554724215623
0,0,120,0,42,270,666,-67,5,514,7,2018-10-01,44db238c,55.8401867680988,-95.3554724215623
0,0,150,0,36,270,315,-183,-110,244,-1,2018-11-01,44db238c,55.8401867680988,-95.3554724215623
0,0,140,0,25,270,229,-211,-135,174,-1,2018-12-01,44db238c,55.8401867680988,-95.3554724215623
0,0,130,0,23,270,372,-303,-200,79,1,2019-01-01,44db238c,55.8401867680988,-95.3554724215623
0,0,80,0,10,270,835,-295,-181,84,2,2019-02-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-70,0,9,270,1450,-183,-42,222,8,2019-03-01,44db238c,55.8401867680988,-95.3554724215623
0,0,-140,0,13,270,2177,-93,37,307,24,2019-04-01,44db238c,55.8401867680988,-95.3554724215623
871,0,-210,871,30,434,2380,-12,111,513,43,2019-05-01,44db238c,55.8401867680988,-95.3554724215623
695,548,-330,1243,42,160,2590,77,204,963,77,2019-06-01,44db238c,55.8401867680988,-95.3554724215623
914,441,-320,1355,91,111,2415,117,237,1321,84,2019-07-01,44db238c,55.8401867680988,-95.3554724215623
781,0,360,781,180,434,1490,82,196,1318,37,2019-08-01,44db238c,55.8401867680988,-95.3554724215623
476,115,280,591,29,237,1321,56,144,938,34,2019-09-01,44db238c,55.8401867680988,-95.3554724215623
55,0,410,55,71,434,573,-32,41,573,8,2019-10-01,44db238c,55.8401867680988,-95.3554724215623
0,0,380,0,28,434,341,-158,-84,252,0,2019-11-01,44db238c,55.8401867680988,-95.3554724215623
0,0,300,0,17,434,230,-248,-157,135,0,2019-12-01,44db238c,55.8401867680988,-95.3554724215623
