aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-64,0,31,252,142,-218,-131,190,0,2015-01-01,46ac7765,60.9651055809659,-121.204219613384
0,0,225,0,42,252,410,-220,-119,131,5,2015-02-01,46ac7765,60.9651055809659,-121.204219613384
0,0,195,0,19,252,1084,-167,-32,198,13,2015-03-01,46ac7765,60.9651055809659,-121.204219613384
53,0,157,176,18,563,1820,-56,67,326,37,2015-04-01,46ac7765,60.9651055809659,-121.204219613384
1201,0,-142,1201,18,563,2791,10,167,505,78,2015-05-01,46ac7765,60.9651055809659,-121.204219613384
797,551,-236,1349,46,207,2732,74,216,926,89,2015-06-01,46ac7765,60.9651055809659,-121.204219613384
791,312,-202,1103,77,143,2125,97,214,1170,71,2015-07-01,46ac7765,60.9651055809659,-121.204219613384
784,41,-122,825,81,131,1660,75,194,1082,57,2015-08-01,46ac7765,60.9651055809659,-121.204219613384
121,334,-229,455,10,104,990,13,128,709,37,2015-09-01,46ac7765,60.9651055809659,-121.204219613384
9,0,-263,35,17,168,446,-32,39,504,14,2015-10-01,46ac7765,60.9651055809659,-121.204219613384
0,0,-295,0,25,168,190,-150,-66,227,6,2015-11-01,46ac7765,60.9651055809659,-121.204219613384
0,0,-304,0,25,168,80,-210,-139,174,0,2015-12-01,46ac7765,60.9651055809659,-121.204219613384
0,0,-320,0,17,130,139,-199,-131,129,5,2016-01-01,46ac7765,60.9651055809659,-121.204219613384
0,0,-240,0,28,130,448,-178,-88,149,10,2016-02-01,46ac7765,60.9651055809659,-121.204219613384
0,0,-210,0,23,130,1026,-145,-39,202,17,2016-03-01,46ac7765,60.9651055809659,-121.204219613384
70,0,-200,70,15,281,1708,-56,53,336,28,2016-04-01,46ac7765,60.9651055809659,-121.204219613384
1037,0,-180,1037,49,563,2321,23,161,557,69,2016-05-01,46ac7765,60.9651055809659,-121.204219613384
1125,169,-140,1294,88,273,2698,79,215,925,89,2016-06-01,46ac7765,60.9651055809659,-121.204219613384
782,387,-140,1169,71,168,2248,101,229,1192,75,2016-07-01,46ac7765,60.9651055809659,-121.204219613384
809,99,-80,908,82,134,1720,80,206,1053,61,2016-08-01,46ac7765,60.9651055809659,-121.204219613384
552,0,110,552,63,180,1012,18,140,699,39,2016-09-01,46ac7765,60.9651055809659,-121.204219613384
0,0,110,0,25,180,452,-49,8,418,15,2016-10-01,46ac7765,60.9651055809659,-121.204219613384
0,0,80,0,19,180,228,-128,-46,239,8,2016-11-01,46ac7765,60.9651055809659,-121.204219613384
0,0,80,0,22,180,81,-244,-165,92,4,2016-12-01,46ac7765,60.9651055809659,-121.204219613384
0,0,90,0,25,180,148,-223,-123,112,4,2017-01-01,46ac7765,60.9651055809659,-121.204219613384
0,0,100,0,22,180,393,-204,-107,133,10,2017-02-01,46ac7765,60.9651055809659,-121.204219613384
0,0,140,0,31,180,1079,-207,-90,152,8,2017-03-01,46ac7765,60.9651055809659,-121.204219613384
32,0,110,32,14,260,2009,-67,48,300,32,2017-04-01,46ac7765,60.9651055809659,-121.204219613384
1036,0,80,1036,44,563,2401,20,157,532,70,2017-05-01,46ac7765,60.9651055809659,-121.204219613384
1077,18,190,1095,110,532,2266,73,196,873,64,2017-06-01,46ac7765,60.9651055809659,-121.204219613384
1087,81,250,1168,101,404,2303,93,221,1127,71,2017-07-01,46ac7765,60.9651055809659,-121.204219613384
468,666,100,1134,28,197,2122,74,227,984,84,2017-08-01,46ac7765,60.9651055809659,-121.204219613384
269,347,-220,616,22,139,1202,25,164,730,51,2017-09-01,46ac7765,60.9651055809659,-121.204219613384
32,0,-160,32,38,203,486,-39,35,439,19,2017-10-01,46ac7765,60.9651055809659,-121.204219613384
0,0,140,0,52,203,175,-202,-121,127,7,2017-11-01,46ac7765,60.9651055809659,-121.204219613384
0,0,150,0,18,203,93,-217,-117,132,4,2017-12-01,46ac7765,60.9651055809659,-121.204219613384
0,0,190,0,31,203,121,-227,-159,102,2,2018-01-01,46ac7765,60.9651055809659,-121.204219613384
0,0,180,0,22,203,478,-259,-128,92,9,2018-02-01,46ac7765,60.9651055809659,-121.204219613384
0,0,220,0,33,203,1209,-198,-64,132,13,2018-03-01,46ac7765,60.9651055809659,-121.204219613384
0,0,200,0,16,203,1948,-92,28,290,27,2018-04-01,46ac7765,60.9651055809659,-121.204219613384
