aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,873,0,70,512,494,-276,-150,158,0,2015-01-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,824,0,54,512,1068,-323,-180,110,0,2015-02-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,801,0,60,512,1513,-193,-44,262,3,2015-03-01,46dda6a7,50.3686714147015,-81.7784842692341
1,0,800,21,66,512,1835,-78,50,456,15,2015-04-01,46dda6a7,50.3686714147015,-81.7784842692341
903,0,760,903,73,512,2171,24,156,820,43,2015-05-01,46dda6a7,50.3686714147015,-81.7784842692341
880,183,664,1063,60,197,2451,71,199,1151,52,2015-06-01,46dda6a7,50.3686714147015,-81.7784842692341
681,503,511,1184,65,134,2280,122,240,1563,65,2015-07-01,46dda6a7,50.3686714147015,-81.7784842692341
879,0,531,879,112,320,1677,122,224,1557,52,2015-08-01,46dda6a7,50.3686714147015,-81.7784842692341
613,0,422,613,69,366,1556,86,195,1350,35,2015-09-01,46dda6a7,50.3686714147015,-81.7784842692341
227,0,344,233,62,512,784,-5,86,711,15,2015-10-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,240,4,41,512,377,-44,36,628,0,2015-11-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,274,0,84,512,291,-101,-40,499,0,2015-12-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,410,0,113,512,417,-218,-117,247,1,2016-01-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,480,0,77,512,824,-230,-97,219,2,2016-02-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,430,0,41,512,1566,-147,-15,342,9,2016-03-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,400,0,42,512,2078,-91,29,407,17,2016-04-01,46dda6a7,50.3686714147015,-81.7784842692341
837,0,360,837,55,512,2333,18,155,809,47,2016-05-01,46dda6a7,50.3686714147015,-81.7784842692341
902,90,330,992,79,357,2212,76,201,1164,58,2016-06-01,46dda6a7,50.3686714147015,-81.7784842692341
1071,38,310,1109,109,319,2229,121,239,1573,73,2016-07-01,46dda6a7,50.3686714147015,-81.7784842692341
859,82,290,941,83,248,1750,127,240,1614,71,2016-08-01,46dda6a7,50.3686714147015,-81.7784842692341
604,0,240,604,93,512,1343,84,184,1265,37,2016-09-01,46dda6a7,50.3686714147015,-81.7784842692341
304,0,210,304,70,512,675,19,98,795,17,2016-10-01,46dda6a7,50.3686714147015,-81.7784842692341
28,0,200,28,74,512,327,-32,42,627,8,2016-11-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,180,0,65,512,321,-176,-97,303,0,2016-12-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,160,0,57,512,395,-189,-107,271,0,2017-01-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,150,0,41,512,817,-199,-77,269,2,2017-02-01,46dda6a7,50.3686714147015,-81.7784842692341
0,0,130,0,40,512,1613,-176,-40,284,8,2017-03-01,46dda6a7,50.3686714147015,-81.7784842692341
147,0,110,147,42,512,1831,-53,67,517,23,2017-04-01,46dda6a7,50.3686714147015,-81.7784842692341
663,0,130,663,55,512,1952,22,123,809,33,2017-05-01,46dda6a7,50.3686714147015,-81.7784842692341
895,81,150,976,80,373,2260,86,201,1202,56,2017-06-01,46dda6a7,50.3686714147015,-81.7784842692341
1159,109,140,1268,110,255,2621,109,238,1403,91,2017-07-01,46dda6a7,50.3686714147015,-81.7784842692341
817,34,160,851,84,233,1749,98,207,1374,59,2017-08-01,46dda6a7,50.3686714147015,-81.7784842692341
537,0,140,537,91,512,1255,79,183,1283,36,2017-09-01,46dda6a7,50.3686714147015,-81.7784842692341
