aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,617,0,36,553,487,-268,-134,174,0,2015-01-01,48910de8,50.0716507192499,-86.7969268749268
0,0,598,0,43,553,1012,-311,-164,93,2,2015-02-01,48910de8,50.0716507192499,-86.7969268749268
0,0,510,0,24,553,1427,-184,-26,273,5,2015-03-01,48910de8,50.0716507192499,-86.7969268749268
3,0,465,39,43,553,1911,-75,59,436,20,2015-04-01,48910de8,50.0716507192499,-86.7969268749268
844,0,613,844,144,553,2153,4,143,759,38,2015-05-01,48910de8,50.0716507192499,-86.7969268749268
942,106,552,1048,80,371,2478,55,198,1122,49,2015-06-01,48910de8,50.0716507192499,-86.7969268749268
1119,74,562,1193,110,301,2547,99,232,1502,54,2015-07-01,48910de8,50.0716507192499,-86.7969268749268
678,45,498,723,68,269,1626,88,206,1501,29,2015-08-01,48910de8,50.0716507192499,-86.7969268749268
545,0,386,545,72,412,1529,70,188,1356,23,2015-09-01,48910de8,50.0716507192499,-86.7969268749268
205,0,360,214,78,553,785,-16,86,710,12,2015-10-01,48910de8,50.0716507192499,-86.7969268749268
0,0,483,2,112,553,350,-57,23,618,0,2015-11-01,48910de8,50.0716507192499,-86.7969268749268
0,0,526,0,73,553,254,-118,-39,465,0,2015-12-01,48910de8,50.0716507192499,-86.7969268749268
0,0,490,0,42,553,420,-224,-108,256,0,2016-01-01,48910de8,50.0716507192499,-86.7969268749268
0,0,440,0,32,553,896,-223,-88,244,4,2016-02-01,48910de8,50.0716507192499,-86.7969268749268
0,0,400,0,32,553,1577,-147,2,395,9,2016-03-01,48910de8,50.0716507192499,-86.7969268749268
0,0,390,0,48,553,2058,-87,41,446,20,2016-04-01,48910de8,50.0716507192499,-86.7969268749268
829,0,350,829,75,553,2305,7,151,769,45,2016-05-01,48910de8,50.0716507192499,-86.7969268749268
929,60,330,989,87,449,2340,60,197,1129,57,2016-06-01,48910de8,50.0716507192499,-86.7969268749268
996,80,340,1076,94,349,2401,101,228,1544,68,2016-07-01,48910de8,50.0716507192499,-86.7969268749268
802,0,350,802,92,425,1801,95,221,1625,46,2016-08-01,48910de8,50.0716507192499,-86.7969268749268
502,0,360,502,103,553,1275,72,174,1297,29,2016-09-01,48910de8,50.0716507192499,-86.7969268749268
247,0,340,247,73,553,648,5,95,816,16,2016-10-01,48910de8,50.0716507192499,-86.7969268749268
8,0,290,8,54,553,413,-46,41,673,4,2016-11-01,48910de8,50.0716507192499,-86.7969268749268
0,0,260,0,48,553,327,-186,-89,301,0,2016-12-01,48910de8,50.0716507192499,-86.7969268749268
0,0,240,0,43,553,379,-201,-93,291,0,2017-01-01,48910de8,50.0716507192499,-86.7969268749268
0,0,220,0,33,553,800,-192,-64,294,3,2017-02-01,48910de8,50.0716507192499,-86.7969268749268
0,0,190,0,30,553,1554,-177,-25,302,7,2017-03-01,48910de8,50.0716507192499,-86.7969268749268
154,0,170,154,49,553,1835,-58,73,539,25,2017-04-01,48910de8,50.0716507192499,-86.7969268749268
701,0,190,701,76,553,2100,1,123,739,36,2017-05-01,48910de8,50.0716507192499,-86.7969268749268
952,48,190,1000,90,470,2447,67,199,1152,62,2017-06-01,48910de8,50.0716507192499,-86.7969268749268
1023,134,200,1157,89,291,2645,89,224,1425,83,2017-07-01,48910de8,50.0716507192499,-86.7969268749268
786,0,220,786,93,384,1935,67,191,1341,44,2017-08-01,48910de8,50.0716507192499,-86.7969268749268
440,0,230,440,94,553,1201,63,173,1306,26,2017-09-01,48910de8,50.0716507192499,-86.7969268749268
250,0,250,250,82,553,806,5,101,844,23,2017-10-01,48910de8,50.0716507192499,-86.7969268749268
0,0,240,0,62,553,398,-112,-27,435,2,2017-11-01,48910de8,50.0716507192499,-86.7969268749268
0,0,210,0,47,553,409,-228,-119,242,0,2017-12-01,48910de8,50.0716507192499,-86.7969268749268
0,0,200,0,44,553,465,-246,-118,226,1,2018-01-01,48910de8,50.0716507192499,-86.7969268749268
0,0,170,0,30,553,910,-258,-106,188,2,2018-02-01,48910de8,50.0716507192499,-86.7969268749268
0,0,150,0,30,553,1589,-187,-26,251,9,2018-03-01,48910de8,50.0716507192499,-86.7969268749268
0,0,160,0,47,553,2283,-118,23,319,22,2018-04-01,48910de8,50.0716507192499,-86.7969268749268
863,0,140,863,75,553,2336,15,174,854,51,2018-05-01,48910de8,50.0716507192499,-86.7969268749268
993,60,130,1053,94,450,2530,70,208,1219,68,2018-06-01,48910de8,50.0716507192499,-86.7969268749268
1008,113,150,1121,91,307,2327,108,240,1550,63,2018-07-01,48910de8,50.0716507192499,-86.7969268749268
877,10,140,887,92,300,2062,86,220,1569,48,2018-08-01,48910de8,50.0716507192499,-86.7969268749268
469,0,150,469,100,553,1294,54,163,1222,25,2018-09-01,48910de8,50.0716507192499,-86.7969268749268
98,0,210,98,79,553,541,-24,50,674,7,2018-10-01,48910de8,50.0716507192499,-86.7969268749268
0,0,180,0,56,553,358,-124,-50,395,-1,2018-11-01,48910de8,50.0716507192499,-86.7969268749268
0,0,150,0,44,553,351,-172,-63,335,0,2018-12-01,48910de8,50.0716507192499,-86.7969268749268
0,0,90,0,31,553,496,-282,-149,128,0,2019-01-01,48910de8,50.0716507192499,-86.7969268749268
0,0,230,0,71,553,857,-258,-114,147,2,2019-02-01,48910de8,50.0716507192499,-86.7969268749268
0,0,200,0,29,553,1448,-174,-22,252,9,2019-03-01,48910de8,50.0716507192499,-86.7969268749268
24,0,270,24,68,553,1906,-78,52,380,23,2019-04-01,48910de8,50.0716507192499,-86.7969268749268
740,0,240,740,67,553,2136,-17,121,604,37,2019-05-01,48910de8,50.0716507192499,-86.7969268749268
904,187,130,1091,57,231,2660,61,200,1031,61,2019-06-01,48910de8,50.0716507192499,-86.7969268749268
809,470,-150,1279,77,152,2635,108,241,1461,70,2019-07-01,48910de8,50.0716507192499,-86.7969268749268
687,291,-230,978,69,116,2065,83,216,1376,47,2019-08-01,48910de8,50.0716507192499,-86.7969268749268
458,0,-210,458,113,553,1114,54,162,1175,20,2019-09-01,48910de8,50.0716507192499,-86.7969268749268
276,0,-170,276,75,553,762,-9,83,698,14,2019-10-01,48910de8,50.0716507192499,-86.7969268749268
0,0,-170,0,52,553,433,-116,-34,367,0,2019-11-01,48910de8,50.0716507192499,-86.7969268749268
0,0,-110,0,60,553,330,-189,-78,251,0,2019-12-01,48910de8,50.0716507192499,-86.7969268749268
