aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,127,0,49,1015,579,-207,-82,273,0,2015-01-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,74,0,38,1015,1126,-243,-127,191,0,2015-02-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,-136,0,30,1015,1690,-125,-12,367,3,2015-03-01,48ec6eb0,46.3860275154367,-80.7369352969111
529,0,-123,555,59,1015,2038,-21,89,615,22,2015-04-01,48ec6eb0,46.3860275154367,-80.7369352969111
1003,50,-90,1052,85,929,2120,68,197,1115,53,2015-05-01,48ec6eb0,46.3860275154367,-80.7369352969111
909,148,43,1058,72,707,2351,99,215,1434,47,2015-06-01,48ec6eb0,46.3860275154367,-80.7369352969111
922,396,55,1319,60,352,2525,129,252,1677,68,2015-07-01,48ec6eb0,46.3860275154367,-80.7369352969111
794,259,-47,1054,73,249,1879,136,234,1567,66,2015-08-01,48ec6eb0,46.3860275154367,-80.7369352969111
655,120,-155,775,65,215,1630,110,217,1480,48,2015-09-01,48ec6eb0,46.3860275154367,-80.7369352969111
327,0,-160,327,99,828,945,29,119,912,16,2015-10-01,48ec6eb0,46.3860275154367,-80.7369352969111
80,0,-196,83,77,1015,564,-7,77,792,3,2015-11-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,140,1,119,1015,348,-45,13,683,0,2015-12-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,120,0,58,1015,501,-150,-53,343,0,2016-01-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,160,0,74,1015,876,-148,-38,337,2,2016-02-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,220,0,84,1015,1454,-73,33,500,13,2016-03-01,48ec6eb0,46.3860275154367,-80.7369352969111
438,0,240,438,68,1015,2128,-37,73,465,29,2016-04-01,48ec6eb0,46.3860275154367,-80.7369352969111
1073,0,170,1073,58,1015,2431,54,184,885,64,2016-05-01,48ec6eb0,46.3860275154367,-80.7369352969111
1039,307,-140,1346,54,487,2669,103,226,1171,81,2016-06-01,48ec6eb0,46.3860275154367,-80.7369352969111
838,532,-180,1370,69,301,2462,146,258,1650,77,2016-07-01,48ec6eb0,46.3860275154367,-80.7369352969111
859,288,-220,1147,82,224,1987,152,259,1789,71,2016-08-01,48ec6eb0,46.3860275154367,-80.7369352969111
828,0,-230,828,104,383,1579,108,212,1390,45,2016-09-01,48ec6eb0,46.3860275154367,-80.7369352969111
428,0,-230,428,95,855,896,45,132,961,25,2016-10-01,48ec6eb0,46.3860275154367,-80.7369352969111
160,0,-270,160,73,1015,544,-6,77,745,12,2016-11-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,-210,0,81,1015,404,-109,-36,402,3,2016-12-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,-150,0,75,1015,533,-123,-36,433,0,2017-01-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,150,0,84,1015,819,-116,-11,427,5,2017-02-01,48ec6eb0,46.3860275154367,-80.7369352969111
0,0,150,0,61,1015,1544,-102,-4,380,12,2017-03-01,48ec6eb0,46.3860275154367,-80.7369352969111
532,0,190,532,84,1015,1623,5,114,723,31,2017-04-01,48ec6eb0,46.3860275154367,-80.7369352969111
833,30,200,863,79,963,1876,53,158,905,43,2017-05-01,48ec6eb0,46.3860275154367,-80.7369352969111
