aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,287,0,15,334,79,-304,-219,71,1,2015-01-01,4b11b711,65.4020031053423,-115.462704462255
0,0,274,0,11,334,298,-316,-209,65,2,2015-02-01,4b11b711,65.4020031053423,-115.462704462255
0,0,266,0,14,334,993,-268,-148,92,4,2015-03-01,4b11b711,65.4020031053423,-115.462704462255
0,0,206,0,4,334,1981,-180,-63,176,9,2015-04-01,4b11b711,65.4020031053423,-115.462704462255
456,0,64,601,8,509,2566,-34,74,413,34,2015-05-01,4b11b711,65.4020031053423,-115.462704462255
765,479,-365,1244,18,187,2484,66,174,757,73,2015-06-01,4b11b711,65.4020031053423,-115.462704462255
318,799,-358,1117,27,130,1950,90,183,939,69,2015-07-01,4b11b711,65.4020031053423,-115.462704462255
778,0,-130,778,84,154,1380,80,167,1005,48,2015-08-01,4b11b711,65.4020031053423,-115.462704462255
333,0,286,339,51,304,885,10,78,647,21,2015-09-01,4b11b711,65.4020031053423,-115.462704462255
0,0,315,0,31,304,370,-93,-44,334,4,2015-10-01,4b11b711,65.4020031053423,-115.462704462255
0,0,482,0,39,304,89,-203,-128,180,0,2015-11-01,4b11b711,65.4020031053423,-115.462704462255
0,0,489,0,19,304,43,-258,-186,103,1,2015-12-01,4b11b711,65.4020031053423,-115.462704462255
0,0,400,0,10,249,78,-277,-196,69,1,2016-01-01,4b11b711,65.4020031053423,-115.462704462255
0,0,340,0,7,249,338,-314,-217,75,2,2016-02-01,4b11b711,65.4020031053423,-115.462704462255
0,0,280,0,8,249,999,-247,-122,110,4,2016-03-01,4b11b711,65.4020031053423,-115.462704462255
0,0,250,0,9,249,2049,-192,-71,185,6,2016-04-01,4b11b711,65.4020031053423,-115.462704462255
552,0,190,552,22,509,2159,-18,68,449,30,2016-05-01,4b11b711,65.4020031053423,-115.462704462255
824,321,110,1145,36,187,2330,72,171,760,70,2016-06-01,4b11b711,65.4020031053423,-115.462704462255
410,821,90,1231,37,130,2166,99,201,1008,84,2016-07-01,4b11b711,65.4020031053423,-115.462704462255
405,435,-170,840,40,100,1641,73,169,958,48,2016-08-01,4b11b711,65.4020031053423,-115.462704462255
392,0,-110,392,45,139,869,12,81,649,22,2016-09-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-220,0,9,139,377,-90,-50,385,6,2016-10-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-250,0,22,139,84,-176,-105,182,1,2016-11-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-310,0,13,139,46,-289,-222,72,1,2016-12-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-240,0,25,139,73,-300,-201,56,1,2017-01-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-150,0,17,139,262,-295,-217,73,2,2017-02-01,4b11b711,65.4020031053423,-115.462704462255
0,0,190,0,25,139,955,-276,-175,97,3,2017-03-01,4b11b711,65.4020031053423,-115.462704462255
0,0,140,0,5,139,1916,-188,-80,175,8,2017-04-01,4b11b711,65.4020031053423,-115.462704462255
398,0,110,398,17,509,2284,-35,64,399,36,2017-05-01,4b11b711,65.4020031053423,-115.462704462255
937,103,90,1040,32,332,2346,62,157,743,63,2017-06-01,4b11b711,65.4020031053423,-115.462704462255
680,584,150,1264,55,173,2212,93,204,971,74,2017-07-01,4b11b711,65.4020031053423,-115.462704462255
416,614,-110,1030,39,123,1685,88,193,970,61,2017-08-01,4b11b711,65.4020031053423,-115.462704462255
288,174,-200,462,28,97,785,32,100,696,24,2017-09-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-200,0,31,97,335,-85,-33,382,5,2017-10-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-270,0,9,97,92,-248,-179,135,2,2017-11-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-300,0,17,97,44,-262,-177,82,1,2017-12-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-340,0,7,97,81,-295,-226,59,1,2018-01-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-280,0,12,97,236,-329,-230,55,1,2018-02-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-190,0,19,97,902,-277,-166,83,3,2018-03-01,4b11b711,65.4020031053423,-115.462704462255
0,0,-200,0,5,97,1886,-204,-90,178,8,2018-04-01,4b11b711,65.4020031053423,-115.462704462255
33,0,-140,33,14,134,2513,-59,36,369,23,2018-05-01,4b11b711,65.4020031053423,-115.462704462255
1015,0,180,1015,31,428,2254,64,164,829,58,2018-06-01,4b11b711,65.4020031053423,-115.462704462255
785,400,270,1185,57,185,2032,94,195,981,65,2018-07-01,4b11b711,65.4020031053423,-115.462704462255
675,0,420,675,75,217,1242,55,142,904,28,2018-08-01,4b11b711,65.4020031053423,-115.462704462255
15,0,530,15,31,254,824,-40,27,571,14,2018-09-01,4b11b711,65.4020031053423,-115.462704462255
0,0,530,0,22,254,388,-105,-47,345,4,2018-10-01,4b11b711,65.4020031053423,-115.462704462255
0,0,570,0,18,254,91,-222,-156,142,1,2018-11-01,4b11b711,65.4020031053423,-115.462704462255
0,0,580,0,20,254,43,-251,-180,92,2,2018-12-01,4b11b711,65.4020031053423,-115.462704462255
0,0,570,0,19,254,79,-322,-238,57,1,2019-01-01,4b11b711,65.4020031053423,-115.462704462255
0,0,490,0,7,254,303,-324,-228,54,2,2019-02-01,4b11b711,65.4020031053423,-115.462704462255
0,0,470,0,16,254,791,-194,-84,171,6,2019-03-01,4b11b711,65.4020031053423,-115.462704462255
0,0,460,0,12,254,1801,-176,-64,182,9,2019-04-01,4b11b711,65.4020031053423,-115.462704462255
32,0,420,32,11,301,2450,-58,32,327,26,2019-05-01,4b11b711,65.4020031053423,-115.462704462255
974,0,510,974,31,509,2240,39,137,660,53,2019-06-01,4b11b711,65.4020031053423,-115.462704462255
636,384,480,1020,33,187,1932,76,172,963,55,2019-07-01,4b11b711,65.4020031053423,-115.462704462255
590,0,590,590,66,222,1206,48,131,903,29,2019-08-01,4b11b711,65.4020031053423,-115.462704462255
283,67,510,350,26,186,900,24,83,705,21,2019-09-01,4b11b711,65.4020031053423,-115.462704462255
0,0,450,0,29,186,300,-67,-13,419,5,2019-10-01,4b11b711,65.4020031053423,-115.462704462255
0,0,400,0,21,186,96,-194,-121,167,2,2019-11-01,4b11b711,65.4020031053423,-115.462704462255
0,0,370,0,16,186,45,-322,-246,57,1,2019-12-01,4b11b711,65.4020031053423,-115.462704462255
