aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,146,0,28,379,213,-219,-124,139,3,2015-01-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,267,0,40,379,510,-236,-122,108,6,2015-02-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,246,0,17,379,1210,-158,-8,208,17,2015-03-01,4c6cb595,59.2212189610539,-116.580023521327
340,0,187,508,16,889,2133,-53,86,300,47,2015-04-01,4c6cb595,59.2212189610539,-116.580023521327
1037,250,-210,1287,16,460,2852,10,166,432,85,2015-05-01,4c6cb595,59.2212189610539,-116.580023521327
555,849,-312,1404,39,274,2739,69,219,886,94,2015-06-01,4c6cb595,59.2212189610539,-116.580023521327
706,456,-279,1162,67,201,2269,91,218,1187,70,2015-07-01,4c6cb595,59.2212189610539,-116.580023521327
696,234,-200,930,69,161,1803,77,203,1102,62,2015-08-01,4c6cb595,59.2212189610539,-116.580023521327
113,432,-307,544,9,134,1258,17,140,728,42,2015-09-01,4c6cb595,59.2212189610539,-116.580023521327
140,0,-350,181,19,163,556,-19,60,518,22,2015-10-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-362,0,23,163,268,-131,-46,281,5,2015-11-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-358,0,25,163,116,-186,-116,182,2,2015-12-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-390,0,19,131,194,-204,-122,139,5,2016-01-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-380,0,21,131,500,-191,-82,138,9,2016-02-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-360,0,19,131,1096,-128,-17,202,17,2016-03-01,4c6cb595,59.2212189610539,-116.580023521327
188,0,-320,188,15,362,1842,-52,65,343,35,2016-04-01,4c6cb595,59.2212189610539,-116.580023521327
1092,4,-260,1096,38,360,2307,26,166,562,70,2016-05-01,4c6cb595,59.2212189610539,-116.580023521327
690,603,-240,1293,60,240,2615,77,215,947,80,2016-06-01,4c6cb595,59.2212189610539,-116.580023521327
642,520,-230,1162,62,183,2285,100,225,1254,74,2016-07-01,4c6cb595,59.2212189610539,-116.580023521327
574,364,-190,938,57,149,1842,83,206,1136,65,2016-08-01,4c6cb595,59.2212189610539,-116.580023521327
448,153,-160,601,45,126,1141,28,142,742,40,2016-09-01,4c6cb595,59.2212189610539,-116.580023521327
14,0,-110,14,28,147,514,-38,19,453,16,2016-10-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-100,0,22,147,287,-101,-27,303,7,2016-11-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-90,0,21,147,128,-230,-148,109,4,2016-12-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-70,0,22,147,211,-216,-108,129,3,2017-01-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,30,0,18,147,497,-204,-96,128,8,2017-02-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,100,0,22,147,1270,-184,-65,176,9,2017-03-01,4c6cb595,59.2212189610539,-116.580023521327
70,0,100,70,15,269,2140,-62,56,314,40,2017-04-01,4c6cb595,59.2212189610539,-116.580023521327
1126,0,110,1126,36,663,2431,24,163,545,79,2017-05-01,4c6cb595,59.2212189610539,-116.580023521327
936,268,130,1204,67,366,2592,68,194,877,75,2017-06-01,4c6cb595,59.2212189610539,-116.580023521327
800,428,120,1228,71,243,2474,96,222,1174,77,2017-07-01,4c6cb595,59.2212189610539,-116.580023521327
427,728,-90,1155,39,185,2109,82,228,1060,90,2017-08-01,4c6cb595,59.2212189610539,-116.580023521327
318,355,-150,673,30,150,1353,34,166,783,59,2017-09-01,4c6cb595,59.2212189610539,-116.580023521327
128,0,-130,128,33,247,499,-26,47,488,21,2017-10-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-70,0,33,247,242,-182,-106,179,6,2017-11-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,-60,0,20,247,149,-209,-104,149,3,2017-12-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,30,0,24,247,184,-229,-148,119,4,2018-01-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,100,0,18,247,598,-263,-125,96,8,2018-02-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,130,0,22,247,1347,-182,-44,159,16,2018-03-01,4c6cb595,59.2212189610539,-116.580023521327
0,0,140,0,15,247,1925,-93,38,274,31,2018-04-01,4c6cb595,59.2212189610539,-116.580023521327
1172,0,120,1172,30,717,2582,24,170,566,90,2018-05-01,4c6cb595,59.2212189610539,-116.580023521327
856,237,110,1093,59,423,1963,77,202,918,62,2018-06-01,4c6cb595,59.2212189610539,-116.580023521327
647,589,-70,1236,51,263,2367,93,221,1168,80,2018-07-01,4c6cb595,59.2212189610539,-116.580023521327
542,402,-70,944,50,196,1871,70,196,1067,77,2018-08-01,4c6cb595,59.2212189610539,-116.580023521327
325,144,-70,469,31,160,1395,-27,96,573,36,2018-09-01,4c6cb595,59.2212189610539,-116.580023521327
