aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,785,0,48,683,496,-260,-120,200,0,2015-01-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,706,0,47,683,1053,-296,-147,122,0,2015-02-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,613,0,43,683,1428,-176,-21,290,5,2015-03-01,4ce988dd,49.0211401176764,-84.520065312045
16,0,615,89,75,683,1876,-64,64,473,20,2015-04-01,4ce988dd,49.0211401176764,-84.520065312045
879,0,596,879,86,683,2186,16,160,877,38,2015-05-01,4ce988dd,49.0211401176764,-84.520065312045
906,148,550,1053,69,429,2392,62,206,1168,53,2015-06-01,4ce988dd,49.0211401176764,-84.520065312045
909,341,471,1250,75,229,2542,99,243,1509,63,2015-07-01,4ce988dd,49.0211401176764,-84.520065312045
827,0,433,827,88,233,1702,92,221,1506,41,2015-08-01,4ce988dd,49.0211401176764,-84.520065312045
565,27,289,591,58,222,1562,70,199,1384,28,2015-09-01,4ce988dd,49.0211401176764,-84.520065312045
232,0,228,237,67,622,812,-11,96,745,14,2015-10-01,4ce988dd,49.0211401176764,-84.520065312045
1,0,169,6,73,683,438,-48,42,662,0,2015-11-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,305,0,104,683,266,-95,-17,521,0,2015-12-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,270,0,54,683,431,-208,-91,274,0,2016-01-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,280,0,57,683,830,-203,-71,258,4,2016-02-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,270,0,57,683,1445,-130,9,406,13,2016-03-01,4ce988dd,49.0211401176764,-84.520065312045
20,0,290,20,64,683,2069,-77,48,456,25,2016-04-01,4ce988dd,49.0211401176764,-84.520065312045
880,0,260,880,70,683,2341,12,164,805,51,2016-05-01,4ce988dd,49.0211401176764,-84.520065312045
932,135,220,1067,74,451,2378,63,211,1152,69,2016-06-01,4ce988dd,49.0211401176764,-84.520065312045
1043,95,230,1138,101,363,2390,99,242,1554,76,2016-07-01,4ce988dd,49.0211401176764,-84.520065312045
884,0,260,884,102,445,1838,97,238,1663,60,2016-08-01,4ce988dd,49.0211401176764,-84.520065312045
571,0,280,571,111,683,1362,71,190,1334,32,2016-09-01,4ce988dd,49.0211401176764,-84.520065312045
295,0,280,295,64,683,736,10,110,846,19,2016-10-01,4ce988dd,49.0211401176764,-84.520065312045
27,0,240,27,70,683,448,-39,55,710,6,2016-11-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,250,0,67,683,336,-164,-70,330,1,2016-12-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,230,0,55,683,395,-180,-77,316,0,2017-01-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,270,0,66,683,756,-172,-47,320,5,2017-02-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,230,0,46,683,1557,-157,-19,314,11,2017-03-01,4ce988dd,49.0211401176764,-84.520065312045
372,0,200,372,72,683,1779,-41,85,571,31,2017-04-01,4ce988dd,49.0211401176764,-84.520065312045
724,0,220,724,76,683,1993,11,134,790,40,2017-05-01,4ce988dd,49.0211401176764,-84.520065312045
969,65,250,1034,90,571,2349,73,212,1187,67,2017-06-01,4ce988dd,49.0211401176764,-84.520065312045
1112,83,300,1195,106,463,2581,87,237,1429,83,2017-07-01,4ce988dd,49.0211401176764,-84.520065312045
797,0,410,797,118,683,1815,68,203,1376,45,2017-08-01,4ce988dd,49.0211401176764,-84.520065312045
512,0,380,512,68,683,1325,60,190,1342,28,2017-09-01,4ce988dd,49.0211401176764,-84.520065312045
298,0,460,298,103,683,859,13,117,889,26,2017-10-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,440,0,82,683,398,-97,-11,467,5,2017-11-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,420,0,63,683,418,-208,-98,265,0,2017-12-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,370,0,52,683,521,-226,-101,246,2,2018-01-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,330,0,45,683,889,-230,-85,220,4,2018-02-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,270,0,39,683,1606,-169,-20,262,11,2018-03-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,290,0,62,683,2258,-107,30,344,23,2018-04-01,4ce988dd,49.0211401176764,-84.520065312045
947,0,250,947,74,683,2401,23,189,895,64,2018-05-01,4ce988dd,49.0211401176764,-84.520065312045
991,155,200,1146,76,416,2639,70,222,1219,84,2018-06-01,4ce988dd,49.0211401176764,-84.520065312045
931,301,140,1232,78,226,2426,107,256,1554,79,2018-07-01,4ce988dd,49.0211401176764,-84.520065312045
822,118,90,940,82,180,1991,88,237,1601,55,2018-08-01,4ce988dd,49.0211401176764,-84.520065312045
499,0,60,499,91,546,1242,56,181,1306,28,2018-09-01,4ce988dd,49.0211401176764,-84.520065312045
182,0,170,182,104,683,554,-18,65,702,12,2018-10-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,190,0,86,683,385,-109,-36,433,3,2018-11-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,190,0,63,683,368,-154,-44,362,3,2018-12-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,140,0,43,683,495,-270,-136,135,1,2019-01-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,300,0,102,683,853,-240,-96,161,3,2019-02-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,260,0,46,683,1480,-160,-19,243,11,2019-03-01,4ce988dd,49.0211401176764,-84.520065312045
86,0,290,86,72,683,1903,-65,64,393,28,2019-04-01,4ce988dd,49.0211401176764,-84.520065312045
748,0,290,748,77,683,1999,-15,129,617,40,2019-05-01,4ce988dd,49.0211401176764,-84.520065312045
1023,93,290,1116,87,523,2557,61,212,1033,70,2019-06-01,4ce988dd,49.0211401176764,-84.520065312045
761,626,160,1387,51,243,2664,108,258,1437,88,2019-07-01,4ce988dd,49.0211401176764,-84.520065312045
861,131,110,992,85,187,2026,76,224,1393,49,2019-08-01,4ce988dd,49.0211401176764,-84.520065312045
490,0,110,490,114,683,1170,53,176,1231,23,2019-09-01,4ce988dd,49.0211401176764,-84.520065312045
347,0,60,347,51,683,853,-3,99,708,20,2019-10-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,-120,0,70,683,470,-106,-21,367,3,2019-11-01,4ce988dd,49.0211401176764,-84.520065312045
0,0,-60,0,71,683,325,-170,-58,262,2,2019-12-01,4ce988dd,49.0211401176764,-84.520065312045
