aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,175,0,54,570,147,-124,-33,317,4,2015-01-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,160,0,26,570,435,-135,-19,295,8,2015-02-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,167,0,24,570,1010,-92,41,362,20,2015-03-01,4d348a0d,58.0752865116228,-129.990754306396
139,0,132,270,19,570,1518,-46,70,406,31,2015-04-01,4d348a0d,58.0752865116228,-129.990754306396
948,27,-180,975,5,523,2254,5,159,575,65,2015-05-01,4d348a0d,58.0752865116228,-129.990754306396
672,370,-234,1042,38,209,2134,44,191,854,67,2015-06-01,4d348a0d,58.0752865116228,-129.990754306396
936,0,-73,936,106,282,1754,69,193,1011,61,2015-07-01,4d348a0d,58.0752865116228,-129.990754306396
700,0,289,700,91,447,1299,60,180,973,53,2015-08-01,4d348a0d,58.0752865116228,-129.990754306396
371,0,329,375,61,570,960,8,114,707,29,2015-09-01,4d348a0d,58.0752865116228,-129.990754306396
163,0,338,173,39,570,542,-13,77,575,23,2015-10-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,345,0,29,570,215,-111,-13,285,13,2015-11-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,281,0,26,570,121,-165,-78,226,3,2015-12-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,250,0,37,570,168,-131,-37,269,11,2016-01-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,240,0,29,570,404,-109,6,319,16,2016-02-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,220,0,19,570,944,-90,50,363,25,2016-03-01,4d348a0d,58.0752865116228,-129.990754306396
390,0,110,390,15,570,1348,-40,86,473,38,2016-04-01,4d348a0d,58.0752865116228,-129.990754306396
724,114,-140,838,31,373,1845,2,147,570,61,2016-05-01,4d348a0d,58.0752865116228,-129.990754306396
610,431,-180,1041,45,194,2295,40,188,816,70,2016-06-01,4d348a0d,58.0752865116228,-129.990754306396
660,244,-160,904,64,138,1706,65,202,1030,63,2016-07-01,4d348a0d,58.0752865116228,-129.990754306396
527,271,-170,798,52,108,1491,61,199,985,64,2016-08-01,4d348a0d,58.0752865116228,-129.990754306396
437,0,-150,437,60,242,938,13,132,748,37,2016-09-01,4d348a0d,58.0752865116228,-129.990754306396
73,0,-150,73,35,368,641,-35,50,464,23,2016-10-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,-150,0,34,368,210,-88,2,360,13,2016-11-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,-130,0,34,368,145,-193,-97,129,4,2016-12-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,-120,0,37,368,213,-150,-46,182,9,2017-01-01,4d348a0d,58.0752865116228,-129.990754306396
0,0,-120,0,22,368,573,-156,-26,157,12,2017-02-01,4d348a0d,58.0752865116228,-129.990754306396
