aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-104,0,24,275,198,-226,-131,123,4,2015-01-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-76,0,20,275,519,-242,-129,98,6,2015-02-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-68,0,19,275,1214,-167,-23,194,15,2015-03-01,4d7e5a05,59.6405085732428,-114.470572884993
39,0,-62,162,18,491,2153,-65,71,300,39,2015-04-01,4d7e5a05,59.6405085732428,-114.470572884993
1230,8,-110,1238,28,478,2859,5,154,423,77,2015-05-01,4d7e5a05,59.6405085732428,-114.470572884993
694,665,-153,1359,42,181,2753,72,211,899,87,2015-06-01,4d7e5a05,59.6405085732428,-114.470572884993
646,425,-131,1071,62,125,2167,98,209,1228,62,2015-07-01,4d7e5a05,59.6405085732428,-114.470572884993
477,424,-132,901,47,97,1789,85,198,1136,58,2015-08-01,4d7e5a05,59.6405085732428,-114.470572884993
371,121,-158,492,37,80,1254,21,131,750,36,2015-09-01,4d7e5a05,59.6405085732428,-114.470572884993
62,0,-177,110,29,239,512,-22,48,519,17,2015-10-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-194,0,29,239,261,-124,-49,303,3,2015-11-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-195,0,20,239,105,-194,-125,188,0,2015-12-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-180,0,23,172,178,-206,-122,119,6,2016-01-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-150,0,18,172,518,-191,-83,140,9,2016-02-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-140,0,19,172,1065,-139,-26,203,15,2016-03-01,4d7e5a05,59.6405085732428,-114.470572884993
41,0,-110,41,18,246,1741,-65,50,317,27,2016-04-01,4d7e5a05,59.6405085732428,-114.470572884993
1035,0,-110,1035,30,491,2240,28,155,544,64,2016-05-01,4d7e5a05,59.6405085732428,-114.470572884993
708,548,-150,1256,42,181,2588,82,209,931,71,2016-06-01,4d7e5a05,59.6405085732428,-114.470572884993
641,482,-140,1123,62,125,2183,108,220,1254,63,2016-07-01,4d7e5a05,59.6405085732428,-114.470572884993
466,474,-160,940,46,97,1876,90,201,1129,57,2016-08-01,4d7e5a05,59.6405085732428,-114.470572884993
399,171,-180,570,40,80,1075,33,134,747,33,2016-09-01,4d7e5a05,59.6405085732428,-114.470572884993
8,0,-140,8,30,97,486,-40,11,470,14,2016-10-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-130,0,28,97,254,-97,-30,316,5,2016-11-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-100,0,20,97,119,-240,-160,110,3,2016-12-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-80,0,23,97,205,-218,-112,99,5,2017-01-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-70,0,17,97,497,-198,-96,140,8,2017-02-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-60,0,19,97,1241,-190,-74,178,7,2017-03-01,4d7e5a05,59.6405085732428,-114.470572884993
23,0,20,23,18,146,2178,-72,42,297,35,2017-04-01,4d7e5a05,59.6405085732428,-114.470572884993
1082,0,-20,1082,30,491,2454,23,151,515,70,2017-05-01,4d7e5a05,59.6405085732428,-114.470572884993
708,477,-60,1185,42,181,2613,72,189,885,73,2017-06-01,4d7e5a05,59.6405085732428,-114.470572884993
642,544,-80,1186,62,125,2392,103,219,1203,75,2017-07-01,4d7e5a05,59.6405085732428,-114.470572884993
464,660,-140,1124,46,97,2049,92,223,1063,81,2017-08-01,4d7e5a05,59.6405085732428,-114.470572884993
398,243,-200,641,40,80,1325,40,156,784,47,2017-09-01,4d7e5a05,59.6405085732428,-114.470572884993
71,0,-180,71,30,145,452,-28,37,479,16,2017-10-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-180,0,28,145,225,-181,-110,197,5,2017-11-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-170,0,20,145,132,-221,-115,140,1,2017-12-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-140,0,23,145,183,-232,-150,99,4,2018-01-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-120,0,17,145,579,-255,-126,96,8,2018-02-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-110,0,19,145,1290,-188,-56,148,13,2018-03-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-80,0,18,145,1866,-103,25,276,25,2018-04-01,4d7e5a05,59.6405085732428,-114.470572884993
1085,0,-100,1085,30,491,2467,20,156,514,72,2018-05-01,4d7e5a05,59.6405085732428,-114.470572884993
708,334,-100,1042,42,181,2030,83,197,979,57,2018-06-01,4d7e5a05,59.6405085732428,-114.470572884993
639,559,-120,1198,61,125,2361,101,214,1180,75,2018-07-01,4d7e5a05,59.6405085732428,-114.470572884993
465,446,-130,911,46,97,1881,74,190,1065,65,2018-08-01,4d7e5a05,59.6405085732428,-114.470572884993
384,13,-90,397,40,94,1299,-21,85,617,31,2018-09-01,4d7e5a05,59.6405085732428,-114.470572884993
10,0,30,10,30,112,660,-53,26,409,22,2018-10-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,0,0,28,112,201,-142,-88,237,1,2018-11-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,60,0,20,112,114,-202,-121,132,3,2018-12-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,100,0,28,112,191,-239,-142,100,5,2019-01-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-60,0,6,112,582,-275,-160,61,6,2019-02-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,-140,0,6,112,1204,-104,26,253,26,2019-03-01,4d7e5a05,59.6405085732428,-114.470572884993
285,0,-140,285,18,459,1787,-49,70,329,39,2019-04-01,4d7e5a05,59.6405085732428,-114.470572884993
927,112,-230,1039,13,286,2676,7,126,423,63,2019-05-01,4d7e5a05,59.6405085732428,-114.470572884993
645,433,-180,1078,55,160,2412,62,182,921,60,2019-06-01,4d7e5a05,59.6405085732428,-114.470572884993
566,513,-190,1079,55,115,2285,92,204,1218,57,2019-07-01,4d7e5a05,59.6405085732428,-114.470572884993
679,20,130,699,71,110,1516,66,176,1148,35,2019-08-01,4d7e5a05,59.6405085732428,-114.470572884993
441,0,240,441,64,276,1064,36,133,875,29,2019-09-01,4d7e5a05,59.6405085732428,-114.470572884993
55,0,270,55,30,331,567,-34,38,454,19,2019-10-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,250,0,19,331,222,-134,-64,257,4,2019-11-01,4d7e5a05,59.6405085732428,-114.470572884993
0,0,260,0,19,331,126,-244,-155,106,3,2019-12-01,4d7e5a05,59.6405085732428,-114.470572884993
