aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-122,0,15,156,416,-157,-8,280,10,2015-01-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-130,0,21,156,744,-138,-12,284,10,2015-02-01,4dd63a74,52.5278680442855,-114.553515334756
8,0,-153,63,15,274,1415,-80,74,385,30,2015-03-01,4dd63a74,52.5278680442855,-114.553515334756
692,0,-185,748,18,416,1990,-54,115,405,48,2015-04-01,4dd63a74,52.5278680442855,-114.553515334756
398,871,-332,1270,17,235,2714,0,176,596,72,2015-05-01,4dd63a74,52.5278680442855,-114.553515334756
693,621,-386,1314,66,170,2530,65,225,937,91,2015-06-01,4dd63a74,52.5278680442855,-114.553515334756
660,701,-467,1360,66,134,2544,78,238,1115,89,2015-07-01,4dd63a74,52.5278680442855,-114.553515334756
883,287,-401,1170,91,112,2236,71,233,1032,91,2015-08-01,4dd63a74,52.5278680442855,-114.553515334756
613,0,-302,613,80,260,1341,21,167,794,51,2015-09-01,4dd63a74,52.5278680442855,-114.553515334756
333,167,-254,500,27,188,904,-8,154,636,53,2015-10-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-195,0,30,188,471,-95,32,360,18,2015-11-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-215,0,8,188,348,-130,-13,282,11,2015-12-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-260,0,12,156,428,-154,-17,304,13,2016-01-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-310,0,8,156,868,-100,29,353,23,2016-02-01,4dd63a74,52.5278680442855,-114.553515334756
23,0,-350,23,11,176,1388,-77,54,377,31,2016-03-01,4dd63a74,52.5278680442855,-114.553515334756
757,0,-400,757,16,176,2019,-31,130,525,62,2016-04-01,4dd63a74,52.5278680442855,-114.553515334756
666,468,-400,1134,65,138,2428,17,177,680,68,2016-05-01,4dd63a74,52.5278680442855,-114.553515334756
672,628,-460,1300,68,114,2734,58,213,927,81,2016-06-01,4dd63a74,52.5278680442855,-114.553515334756
1179,0,-370,1179,127,142,2448,80,219,1183,66,2016-07-01,4dd63a74,52.5278680442855,-114.553515334756
535,572,-370,1107,54,117,2054,74,223,1074,73,2016-08-01,4dd63a74,52.5278680442855,-114.553515334756
482,204,-360,686,49,99,1438,26,170,812,58,2016-09-01,4dd63a74,52.5278680442855,-114.553515334756
315,0,-190,315,62,375,736,-21,98,626,25,2016-10-01,4dd63a74,52.5278680442855,-114.553515334756
96,24,-220,120,8,358,461,-45,75,504,23,2016-11-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-220,0,13,358,337,-179,-57,171,10,2016-12-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-230,0,16,358,445,-199,-46,206,11,2017-01-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-200,0,28,358,851,-145,-21,253,12,2017-02-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-80,0,42,358,1421,-104,24,347,17,2017-03-01,4dd63a74,52.5278680442855,-114.553515334756
433,0,220,433,59,726,1654,-42,86,495,28,2017-04-01,4dd63a74,52.5278680442855,-114.553515334756
962,208,190,1170,43,369,2506,10,180,650,76,2017-05-01,4dd63a74,52.5278680442855,-114.553515334756
1141,131,200,1272,111,282,2507,54,207,880,75,2017-06-01,4dd63a74,52.5278680442855,-114.553515334756
694,802,-150,1496,64,191,2763,87,251,1023,85,2017-07-01,4dd63a74,52.5278680442855,-114.553515334756
247,1008,-290,1255,21,147,2352,71,240,988,89,2017-08-01,4dd63a74,52.5278680442855,-114.553515334756
317,433,-340,750,31,120,1447,30,187,812,61,2017-09-01,4dd63a74,52.5278680442855,-114.553515334756
425,137,-280,562,43,102,778,-29,117,491,46,2017-10-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-260,0,20,102,441,-103,11,344,14,2017-11-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-270,0,12,102,381,-154,-30,228,14,2017-12-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-290,0,16,102,451,-165,-23,294,12,2018-01-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-310,0,17,102,878,-212,-64,153,12,2018-02-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-260,0,30,102,1375,-127,13,297,19,2018-03-01,4dd63a74,52.5278680442855,-114.553515334756
129,0,-180,129,25,261,2049,-74,78,390,40,2018-04-01,4dd63a74,52.5278680442855,-114.553515334756
1175,0,-160,1175,47,386,2473,36,200,772,100,2018-05-01,4dd63a74,52.5278680442855,-114.553515334756
992,291,-170,1283,88,227,2677,56,204,920,91,2018-06-01,4dd63a74,52.5278680442855,-114.553515334756
756,568,-250,1324,73,166,2499,74,233,1083,73,2018-07-01,4dd63a74,52.5278680442855,-114.553515334756
524,653,-300,1177,52,132,2237,65,226,1018,103,2018-08-01,4dd63a74,52.5278680442855,-114.553515334756
603,0,-200,603,80,286,1181,8,135,666,29,2018-09-01,4dd63a74,52.5278680442855,-114.553515334756
295,141,-160,436,24,218,886,-42,116,491,37,2018-10-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-170,0,12,218,383,-95,15,384,13,2018-11-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-160,0,22,218,338,-126,-8,275,15,2018-12-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-180,0,15,218,398,-143,7,295,13,2019-01-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-190,0,20,218,909,-273,-137,73,7,2019-02-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,-200,0,14,218,1544,-125,18,256,21,2019-03-01,4dd63a74,52.5278680442855,-114.553515334756
648,0,-150,648,40,678,1896,-42,106,431,44,2019-04-01,4dd63a74,52.5278680442855,-114.553515334756
871,156,-110,1027,61,438,2295,4,156,625,58,2019-05-01,4dd63a74,52.5278680442855,-114.553515334756
1071,0,220,1071,154,726,2367,44,189,983,53,2019-06-01,4dd63a74,52.5278680442855,-114.553515334756
1047,0,370,1047,131,726,2178,65,210,1198,54,2019-07-01,4dd63a74,52.5278680442855,-114.553515334756
839,57,490,896,78,628,1831,61,210,1137,58,2019-08-01,4dd63a74,52.5278680442855,-114.553515334756
609,0,550,609,69,672,1323,27,174,918,45,2019-09-01,4dd63a74,52.5278680442855,-114.553515334756
329,20,580,349,31,642,921,-57,94,428,36,2019-10-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,710,0,51,642,423,-99,21,368,13,2019-11-01,4dd63a74,52.5278680442855,-114.553515334756
0,0,700,0,17,642,330,-138,-13,267,12,2019-12-01,4dd63a74,52.5278680442855,-114.553515334756
